city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Agartala,Tripura,Tripura,2020,11,78.43184824902724,sparse,35.7,101.87794285714286,sparse,36.5,2.5360674157303373,sparse,37.1,9.339063670411985,sparse,37.1,12.875936329588015,sparse,37.1,11.583970037453184,sparse,37.1,0.8184082397003746,sparse,37.1,6.30438202247191,sparse,37.1,4.786554307116104,sparse,37.1,0.0,sparse,37.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.36683520599250935,sparse,37.1,213.7222471910113,sparse,37.1,68.44719101123594,sparse,37.1,23.170037453183518,sparse,37.1,,insufficient,0.0,0.0,sparse,37.1,,insufficient,20.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2020,12,74.63704851752021,sparse,49.9,107.40215924426451,sparse,49.8,6.737123655913979,good,50.0,13.204798387096773,good,50.0,22.8955376344086,good,50.0,12.741599462365592,good,50.0,1.1958333333333333,good,50.0,10.357956989247311,good,50.0,10.372782258064516,good,50.0,2.0146837146702556,sparse,49.9,,insufficient,0.0,,insufficient,2.4,,insufficient,2.6,,insufficient,0.0,,insufficient,0.0,0.26269972451790635,sparse,48.8,160.11659779614325,sparse,48.8,54.56458677685951,sparse,48.8,14.636680440771348,sparse,48.8,,insufficient,0.0,0.0,good,50.0,804.1422910216719,sparse,43.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,1,97.46317142857143,sparse,47.0,134.79594864479313,sparse,47.1,5.905247524752475,sparse,47.5,15.568090523338046,sparse,47.5,23.960311173974542,sparse,47.5,14.16970297029703,sparse,47.5,1.3203394625176803,sparse,47.5,11.074214992927864,sparse,47.5,11.141838755304104,sparse,47.5,0.5321468926553672,sparse,47.6,,insufficient,0.0,,insufficient,1.2,,insufficient,2.3,,insufficient,0.0,,insufficient,0.0,0.2902401129943503,sparse,47.6,159.47531073446325,sparse,47.6,54.42475988700564,sparse,47.6,13.79934065934066,sparse,42.8,,insufficient,15.2,1.4144271570014144e-05,sparse,47.5,805.5486466165415,sparse,44.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,2,78.37689024390245,sparse,48.8,112.66681607418855,sparse,48.1,5.046666666666667,good,50.0,17.190308641975307,sparse,48.2,24.24059523809524,good,50.0,16.48060185185185,sparse,48.2,1.2041964285714286,good,50.0,11.72577380952381,good,50.0,24.798125,good,50.0,0.5737946428571429,good,50.0,,insufficient,0.0,,insufficient,2.8,,insufficient,3.5,,insufficient,0.0,,insufficient,0.0,0.31572916666666667,good,50.0,141.21065476190475,good,50.0,42.912916666666675,good,50.0,14.296666666666667,good,50.0,124.4057738095238,good,50.0,0.0,good,50.0,792.6656925996203,sparse,39.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,3,85.61213533834588,sparse,44.7,136.3502262443439,sparse,44.6,2.010361111111111,sparse,48.4,12.213597222222221,sparse,48.4,13.951875000000001,sparse,48.4,18.504055555555556,sparse,48.4,0.84025,sparse,48.4,7.168958333333334,sparse,48.4,29.20123611111111,sparse,48.4,0.2949791376912378,sparse,48.3,,insufficient,0.0,,insufficient,1.3,,insufficient,17.7,,insufficient,0.0,,insufficient,0.0,0.4613611111111111,sparse,48.4,174.90915277777776,sparse,48.4,51.74300000000001,sparse,48.4,23.501875,sparse,48.4,31.068680851063828,sparse,47.4,8.333333333333334e-05,sparse,48.4,840.4086412213741,sparse,44.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,4,41.38683098591549,sparse,49.3,89.91308988764044,sparse,49.4,0.5118321678321679,sparse,49.7,8.946839160839161,sparse,49.7,9.339342657342657,sparse,49.7,18.266405594405594,sparse,49.7,0.5576083916083917,sparse,49.7,4.663328671328671,sparse,49.7,41.10773109243698,sparse,49.6,0.4795524475524475,sparse,49.7,,insufficient,0.0,,insufficient,2.2,,insufficient,8.0,,insufficient,0.0,,insufficient,0.0,0.5379440559440559,sparse,49.7,185.61500699300697,sparse,49.7,53.247132867132876,sparse,49.7,27.719286713286714,sparse,49.7,1.2734237288135595,sparse,41.0,9.790209790209791e-05,sparse,49.7,854.8763110307415,sparse,38.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,5,22.237830459770116,sparse,46.8,38.526700434153405,sparse,46.4,0.5317916666666667,sparse,48.4,4.6739389736477115,sparse,48.5,5.257569444444444,sparse,48.4,17.253176144244108,sparse,48.5,0.2657975034674064,sparse,48.5,3.4526490984743408,sparse,48.5,22.886110325318246,sparse,47.5,0.18351388888888892,sparse,48.4,,insufficient,0.0,,insufficient,1.7,,insufficient,18.0,,insufficient,0.0,,insufficient,0.0,0.43233009708737863,sparse,48.5,151.52511789181693,sparse,48.5,49.56933425797503,sparse,48.5,23.190970873786412,sparse,48.5,12.967857142857142,sparse,48.0,0.0019972260748959783,sparse,48.5,819.8564171974522,sparse,42.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,6,18.852349823321557,sparse,39.3,26.245116279069766,sparse,38.8,0.3488317107093185,sparse,49.9,2.8202920723226703,sparse,49.9,3.176091794158553,sparse,49.9,17.197830319888734,sparse,49.9,0.17650904033379694,sparse,49.9,3.8705841446453406,sparse,49.9,12.584979137691239,sparse,49.9,0.2127538247566064,sparse,49.9,,insufficient,0.0,,insufficient,1.0,,insufficient,3.2,,insufficient,0.0,,insufficient,0.0,0.46158553546592496,sparse,49.9,138.1398748261474,sparse,49.9,63.26176634214186,sparse,49.9,22.915062586926286,sparse,49.9,113.12230876216968,sparse,49.9,0.004283727399165508,sparse,49.9,845.5580607814761,sparse,48.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,7,9.160929292929293,sparse,33.3,19.410186440677965,sparse,39.7,0.3790418353576248,sparse,49.8,2.230472334682861,sparse,49.8,2.6328032345013477,sparse,49.9,18.216145552560647,sparse,49.9,0.14342318059299192,sparse,49.9,11.41739541160594,sparse,49.8,7.791653116531165,sparse,49.6,0.4142737430167598,sparse,48.1,,insufficient,0.0,,insufficient,1.5,,insufficient,3.4,,insufficient,0.0,,insufficient,0.0,0.41970760233918125,sparse,46.0,130.96716374269008,sparse,46.0,59.98090643274854,sparse,46.0,22.18764619883041,sparse,46.0,112.65876832844575,sparse,45.8,0.004366576819407008,sparse,49.9,837.171263650546,sparse,43.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
Agartala,Tripura,Tripura,2021,8,10.837647058823528,sparse,45.7,26.633883058470765,sparse,44.8,0.48802419354838705,good,50.0,2.869220430107527,good,50.0,3.450174731182796,good,50.0,18.62689516129032,good,50.0,0.17884408602150537,good,50.0,10.79040322580645,good,50.0,9.401438645980255,sparse,47.6,,insufficient,15.2,,insufficient,0.0,,insufficient,0.5,,insufficient,1.1,,insufficient,0.0,,insufficient,0.0,0.3214311594202899,sparse,37.1,109.22461956521738,sparse,37.1,50.46880434782609,sparse,37.1,18.072626811594205,sparse,37.1,159.99298913043478,sparse,37.1,0.0015994623655913977,good,50.0,805.7557712765957,sparse,25.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,2
