city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Aizawl,Mizoram,Mizoram,2020,3,39.103670886075946,good,63.7,47.523396624472575,good,63.7,4.034705882352941,good,66.3,0.7333333333333333,good,63.3,5.6697363083164305,good,66.3,5.856653144016227,good,66.3,0.45525354969574033,good,66.3,25.72237322515213,good,66.3,6.645144230769231,good,55.9,2.774586956521739,good,61.8,3.307755555555555,good,60.5,0.3564601769911504,sparse,45.6,0.6346629213483146,sparse,47.8,,insufficient,0.0,1.1174847870182556,good,66.3,183.77026369168357,good,66.3,53.42474645030426,good,66.3,21.862760736196318,good,65.7,320.1706153846154,sparse,43.7,0.09815950920245399,good,65.7,881.926957403651,good,66.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,4,22.258228279386714,good,81.5,27.72614886731392,good,85.8,8.02081005586592,good,99.4,0.2891164095371669,good,99.0,10.731352859135287,good,99.6,6.848549511854951,good,99.6,0.29368200836820085,good,99.6,21.865578800557884,good,99.6,6.145584677419355,good,68.9,4.744433962264151,good,88.3,5.138050314465408,good,88.3,0.21058637083993662,good,87.6,0.3968611987381704,good,88.1,,insufficient,0.0,1.5968898488120948,good,64.3,187.93144708423324,good,64.3,55.38241900647947,good,64.3,23.124859611231095,good,64.3,304.64415625000004,sparse,44.4,0.054184100418410035,good,99.6,882.3530453563716,good,64.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,5,12.085765069551778,good,87.0,16.510843195266276,good,90.9,11.718921832884098,good,99.7,0.3556891891891892,good,99.5,15.779245283018868,good,99.7,9.345390835579515,good,99.7,0.2752830188679245,good,99.7,19.59725067385445,good,99.7,2.141019417475728,sparse,27.7,7.665123239436619,good,76.3,8.308151408450705,good,76.3,0.25772222222222224,good,72.6,0.47960216998191685,good,74.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.0,good,99.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,6,4.151483253588516,good,58.1,10.522445255474452,good,76.1,12.003361344537815,good,99.2,0.22647226173541965,good,97.6,15.860811188811189,good,99.3,7.084629370629371,good,99.3,0.1682097902097902,good,99.3,23.283767507002803,good,99.2,2.5066929133858267,good,52.9,12.979794238683128,sparse,33.8,13.213621399176954,sparse,33.8,0.11100961538461539,sparse,28.9,0.2824657534246575,sparse,30.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.0,good,70.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,7,,insufficient,14.8,9.957683168316832,good,67.9,12.536516220028208,good,95.3,0.22982352941176476,good,91.4,16.633399153737656,good,95.3,4.413737658674189,good,95.3,0.131311706629055,good,95.3,30.03984485190409,good,95.3,2.495141955835962,good,85.2,1.5112790697674419,good,80.9,1.5139368770764121,good,80.9,,insufficient,5.8,,insufficient,6.3,,insufficient,0.0,,insufficient,11.3,,insufficient,11.3,,insufficient,11.3,,insufficient,0.0,,insufficient,11.4,,insufficient,0.0,,insufficient,10.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,8,,insufficient,19.5,11.775629139072848,good,60.9,12.337973733583489,good,71.6,0.374862579281184,good,63.6,16.489455909943718,good,71.6,9.75030018761726,good,71.6,0.23527204502814258,good,71.6,68.37068441064639,good,70.7,4.4751969981238275,good,71.6,0.0,good,71.6,0.0,good,71.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.5528134556574924,sparse,44.0,156.1063608562691,sparse,44.0,88.50318042813456,sparse,44.0,,insufficient,0.0,,insufficient,5.8,,insufficient,0.0,883.0584969325151,sparse,43.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,9,,insufficient,17.4,10.01154738878143,good,71.8,12.357598187311178,good,91.9,0.19876923076923078,good,81.2,16.32126888217523,good,91.9,16.2354833836858,good,91.9,0.2237009063444109,good,91.9,32.81166163141994,good,91.9,4.470075528700906,good,91.9,0.3363182527301093,good,89.0,0.3331201248049922,good,89.0,,insufficient,6.7,,insufficient,1.4,,insufficient,0.0,,insufficient,17.9,,insufficient,17.9,,insufficient,17.9,,insufficient,0.0,,insufficient,17.9,,insufficient,0.0,,insufficient,17.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,10,,insufficient,0.7,,insufficient,5.2,,insufficient,7.1,,insufficient,6.7,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,0.0,,insufficient,7.1,,insufficient,0.0,,insufficient,7.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,11,15.400788732394366,sparse,49.3,28.663348314606743,good,61.8,12.029470198675497,good,62.9,0.4418303571428571,good,62.2,16.26646799116998,good,62.9,4.390772626931568,good,62.9,0.2815011037527594,good,62.9,,insufficient,21.2,2.421941489361702,good,52.2,0.0,good,62.9,,insufficient,1.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Aizawl,Mizoram,Mizoram,2020,12,21.573792093704245,good,91.8,36.60903663500679,good,99.1,11.864422043010753,good,100.0,0.6628225806451613,good,100.0,15.43741935483871,good,100.0,6.909431009957325,good,94.5,0.26637096774193547,good,100.0,17.400201612903224,good,100.0,1.860945205479452,good,98.1,0.016155913978494627,good,100.0,,insufficient,13.6,0.09405172413793103,sparse,31.2,,insufficient,16.5,,insufficient,0.0,0.8683080808080809,good,53.2,107.73116161616161,good,53.2,41.68957070707071,good,53.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
