city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Ankleshwar,Gujarat,Gujarat,2019,2,71.4221243523316,good,86.2,149.27026272577996,good,90.6,8.42392446633826,good,90.6,25.218098360655738,good,90.8,33.61988524590164,good,90.8,26.402280991735537,good,90.0,0.8953442622950819,good,90.8,50.6186393442623,good,90.8,14.292864238410596,good,89.9,10.077339901477833,good,90.6,66.47226973684211,good,90.5,0.527970297029703,good,90.2,0.19772652388797365,good,90.3,0.10849087893864016,good,89.7,0.85172131147541,good,90.8,164.08798360655737,good,90.8,32.86149180327869,good,90.8,,insufficient,0.0,136.25874371859297,good,59.2,0.0,good,90.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,3,63.10006954102921,good,96.6,137.0953685674548,good,96.6,3.9747572815533982,good,96.9,12.794244105409154,good,96.9,16.770083217753122,good,96.9,35.43227080394922,good,95.3,0.905880721220527,good,96.9,37.743287101248264,good,96.9,14.828967921896794,good,96.4,3.912912621359223,good,96.9,51.49176144244105,good,96.9,0.37115117891816923,good,96.9,0.12906944444444446,good,96.8,0.10326388888888888,good,96.8,0.7923855755894592,good,96.9,161.055839112344,good,96.9,29.52169209431345,good,96.9,,insufficient,0.0,154.08519455252917,good,69.1,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,4,49.09475035663338,good,97.4,104.4062913907285,good,83.9,26.46125368731564,good,94.2,24.405390279823273,good,94.3,50.79839469808542,good,94.3,21.306378066378066,good,96.2,0.4946657183499289,good,97.6,10.775655375552283,good,94.3,19.46724422442244,good,84.2,5.216618911174785,good,96.9,84.81116045845272,good,96.9,1.0006303724928365,good,96.9,0.24756834532374097,good,96.5,0.21152080344332855,good,96.8,0.9487339971550498,good,97.6,192.37965860597438,good,97.6,36.511706970128024,good,97.6,,insufficient,0.0,168.71370297029702,good,70.1,0.0,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,5,33.774622770919066,good,98.0,93.0598076923077,good,97.8,7.151123287671233,good,98.1,8.184534246575343,good,98.1,15.229876712328766,good,98.1,12.982113259668507,good,97.3,0.45474692202462375,good,98.3,10.318301369863015,good,98.1,28.164589041095894,good,98.1,6.035702592087312,good,98.5,118.98397540983605,good,98.4,2.4330968622100957,good,98.5,0.6193169398907103,good,98.4,1.2828285714285714,good,94.1,1.286734693877551,good,98.8,198.66151020408165,good,98.8,49.212925170068026,good,98.8,,insufficient,0.0,131.11114832535887,good,84.3,0.0,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,6,28.69302222222222,good,93.8,72.32630338733432,good,94.3,18.82634897360704,good,94.7,4.166304985337243,good,94.7,22.930190615835777,good,94.7,14.426290322580645,good,94.7,0.7646480938416422,good,94.7,33.92966275659824,good,94.7,23.372668665667167,good,92.6,5.32121522693997,good,94.9,117.02453879941434,good,94.9,3.4772767203513903,good,94.9,0.6920058565153734,good,94.9,1.7899999999999998,good,94.9,2.1069984447900465,good,89.3,211.93878693623643,good,89.3,58.8537134502924,good,95.0,,insufficient,0.0,101.88421828908555,good,94.2,0.07154970760233918,good,95.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,7,27.091888217522662,good,89.0,61.400902366863896,good,90.9,23.42652046783626,good,91.9,5.199912408759124,good,92.1,28.20338213762811,good,91.8,15.864452662721892,good,90.9,1.2909710144927535,good,92.7,19.967649635036498,good,92.1,16.156363636363636,good,91.7,5.9275947521865895,good,92.2,99.36889212827988,good,92.2,2.3981632653061227,good,92.2,0.2532848837209302,good,92.5,1.3486191860465115,good,92.5,3.1778550724637684,good,92.7,244.62199999999999,good,92.7,82.61979797979798,good,79.8,,insufficient,0.0,87.27242028985508,good,92.7,0.1430869565217391,good,92.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,8,21.44254700854701,good,78.6,57.03290375203915,good,82.4,9.969424,good,84.0,25.602076677316298,good,84.1,19.770976,good,84.0,16.15248407643312,good,84.4,1.33815873015873,good,84.7,8.07347687400319,good,84.3,14.562375601926165,good,83.7,5.009684908789387,good,81.0,146.31149253731343,good,81.0,1.9598344370860927,good,81.2,0.43865566037735854,good,57.0,0.6905410821643287,good,67.1,3.104952380952381,good,84.7,255.31838095238098,good,84.7,91.0788492063492,sparse,33.9,,insufficient,0.0,74.00885532591414,good,84.5,0.2725714285714286,good,84.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,9,20.800381231671555,good,94.7,53.53299856527977,good,96.8,12.605597122302157,good,96.5,21.270758226037195,good,97.1,18.513022922636104,good,96.9,18.587191977077364,good,96.9,1.4885142857142857,good,97.2,16.61403433476395,good,97.1,8.071985714285713,good,97.2,4.631914285714286,good,97.2,156.4517142857143,good,97.2,1.4101001430615163,good,97.1,1.3218687589158344,good,97.4,1.1563623395149787,good,97.4,2.903095577746077,good,97.4,224.13847578347577,good,97.5,74.57182022471912,good,61.8,,insufficient,0.0,78.04619658119658,good,97.5,0.12827389443651926,good,97.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,10,47.87349514563107,good,69.2,114.80303846153846,good,69.9,12.190430327868853,good,65.6,11.405983606557378,good,65.6,21.42024590163934,good,65.6,33.758828125,good,68.8,1.906890595009597,good,70.0,15.349263803680982,good,65.7,20.778220502901355,good,69.5,5.84225,good,69.9,47.632080924855494,good,69.8,0.6046859903381643,good,55.6,1.033781190019194,good,70.0,1.0284069097888675,good,70.0,2.775476575121163,good,83.2,155.90633279483038,good,83.2,69.32550888529887,good,83.2,,insufficient,0.0,103.81413223140497,good,81.3,0.007996768982229403,good,83.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ankleshwar,Gujarat,Gujarat,2019,11,81.10190635451505,good,83.1,144.9801873935264,good,81.5,8.377771428571428,good,72.9,6.577862595419846,good,72.8,14.928,good,72.9,51.85820642978004,good,82.1,1.687412935323383,good,83.8,6.04395038167939,good,72.8,27.22298245614035,good,71.2,9.092483333333332,good,83.3,94.89605657237936,good,83.5,1.1198492462311558,good,82.9,1.127154742096506,good,83.5,1.1503494176372713,good,83.5,2.503250414593698,good,83.8,154.7626986754967,good,83.9,72.53165000000001,good,83.3,,insufficient,0.0,89.58579136690646,good,77.2,0.012686567164179105,good,83.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
