city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Araria,Bihar,Bihar,2021,11,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.3,,insufficient,0.3,,insufficient,0.4,,insufficient,0.4,,insufficient,0.3,,insufficient,0.3,,insufficient,0.1,,insufficient,0.1,,insufficient,0.1,,insufficient,0.1,,insufficient,0.0,,insufficient,0.1,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2021,12,117.08025423728814,sparse,47.6,198.03579096045198,sparse,47.6,20.966027397260273,sparse,49.1,80.40904109589042,sparse,49.1,59.59764383561644,sparse,49.1,2.965274725274725,sparse,48.9,,insufficient,9.0,35.65793956043955,sparse,48.9,10.416554054054055,sparse,39.8,1.0494314381270902,sparse,40.2,35.11297658862876,sparse,40.2,2.1448160535117053,sparse,40.2,6.503210702341137,sparse,40.2,,insufficient,0.0,3.5768227424749166,sparse,40.2,0.37014285714285716,sparse,47.0,201.42979999999997,sparse,47.0,77.74499999999999,sparse,49.2,25.264453551912567,sparse,49.2,200.94259562841532,sparse,49.2,0.0,sparse,49.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,1,104.24427546628407,good,93.7,175.84198113207546,good,85.5,14.883257790368273,good,94.9,61.37501404494381,good,95.7,44.43327731092437,good,96.0,2.7350927246790304,good,94.2,,insufficient,9.8,31.19966053748232,good,95.0,53.43891708967851,good,79.4,1.172804314329738,good,87.2,15.907750385208013,good,87.2,0.9478274268104776,good,87.2,2.9841294298921417,good,87.2,,insufficient,0.0,1.4488597842835131,good,87.2,0.4425267993874426,good,87.8,235.148943338438,good,87.8,86.0323801369863,good,78.5,18.2336301369863,sparse,39.2,215.97716080402012,good,53.5,0.0,good,96.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,2,97.71559543230016,good,91.2,168.46597472924188,good,82.4,11.618288590604028,good,88.7,49.555972222222216,good,96.4,34.75832307692307,good,96.7,4.9492006269592475,good,94.9,,insufficient,0.0,16.70664302600473,good,62.9,64.1041812400636,good,93.6,1.2563778162911612,good,85.9,6.675147313691508,good,85.9,0.42851657940663174,good,85.3,1.2516637781629116,good,85.9,,insufficient,0.0,0.5534315424610051,good,85.9,0.5709276729559749,good,94.6,182.6658647798742,good,94.6,,insufficient,3.1,19.438970814132105,good,96.9,199.85757296466974,good,96.9,0.0011764705882352942,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,3,87.192,good,85.3,155.26203100775194,good,86.7,6.803454281567489,good,92.6,44.11165753424657,good,98.1,28.53980848153215,good,98.3,3.3040029985007497,good,89.7,,insufficient,0.0,33.688384831460674,good,95.7,51.06996478873239,good,76.3,0.9973719008264464,good,81.3,4.326214876033057,good,81.3,0.35069139966273183,good,79.7,0.9903488372093024,good,80.9,,insufficient,0.0,0.4763471074380165,good,81.3,0.6483259911894274,good,91.5,160.31155653450807,good,91.5,,insufficient,0.0,32.95382768361581,good,95.2,178.5134817813765,good,99.6,0.002105263157894737,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,4,63.403440453686194,good,73.5,91.40682795698925,good,77.5,0.9658135593220339,good,81.9,15.085336463223788,good,88.8,8.627667185069985,good,89.3,4.626824644549763,good,87.9,,insufficient,0.0,33.4419623233909,good,88.5,62.24264150943396,good,88.3,0.4701576182136603,good,79.3,2.491768826619965,good,79.3,0.14867424242424243,good,73.3,0.4198591549295774,good,78.9,,insufficient,0.0,0.1448511383537653,good,79.3,1.1110076335877863,good,91.0,212.35619847328243,good,91.0,40.04016885553471,good,74.0,27.964580152671754,good,91.0,224.1583816793893,good,91.0,7.633587786259542e-05,good,91.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,5,64.03964150943396,good,71.2,102.78465517241379,good,70.2,0.9966779089376053,good,79.7,18.947696879643388,good,90.5,10.58381443298969,good,91.3,5.316135338345864,good,89.4,,insufficient,14.5,14.881744,good,84.0,61.300152439024394,good,88.2,0.30277777777777776,good,65.3,4.197119341563786,good,65.3,0.2804377880184332,good,58.3,0.5763771186440678,good,63.4,,insufficient,0.0,0.13487654320987658,good,65.3,0.8720735294117647,good,91.4,259.55523529411767,good,91.4,40.88925874125874,good,96.1,27.716251748251754,good,96.1,248.36393006993006,good,96.1,0.05746853146853146,good,96.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,6,49.60370741482966,good,69.3,75.40017999999999,good,69.4,1.9575310834813497,good,78.2,20.088958333333334,good,80.0,11.836050847457628,good,81.9,1.9414312267657994,good,74.7,0.5976400679117148,good,81.8,26.693263888888893,good,80.0,44.8552972027972,good,79.4,0.1899794661190965,good,67.6,6.800841889117043,good,67.6,0.5972765072765073,good,66.8,1.0932142857142857,good,66.1,,insufficient,0.0,0.40301848049281314,good,67.6,0.6756042031523642,good,79.3,247.74621716287214,good,79.3,76.16372168284789,good,85.8,27.750549273021008,good,86.0,157.6231663974152,good,86.0,0.05218093699515347,good,86.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,7,24.133162705667278,good,73.5,59.33726943942134,good,74.3,3.7308169934640527,good,82.3,31.557156398104265,good,85.1,19.221588785046727,good,86.3,5.500366598778004,good,66.0,1.0852523659305993,good,85.2,14.487888888888888,good,72.6,40.4097124600639,good,84.1,0.18735812133072408,good,68.7,4.257612524461839,good,68.7,0.33601190476190473,good,67.7,0.6282956878850102,good,65.5,,insufficient,0.0,0.17759295499021527,good,68.7,0.6532376395534291,good,84.3,234.74419457735246,good,84.3,78.90229607250755,good,89.0,31.086827794561934,good,89.0,190.77190332326285,good,89.0,0.010166163141993959,good,89.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Araria,Bihar,Bihar,2022,8,32.50953722334004,good,66.8,74.96460721868365,good,63.3,4.053726812816189,good,79.7,49.799491803278684,good,82.0,29.09326860841424,good,83.1,21.05852988691438,good,83.2,1.3409546925566345,good,83.1,25.8520110701107,good,72.8,25.95496539792388,good,77.7,0.4124902723735409,good,69.1,2.6854280155642023,good,69.1,0.7251372549019608,good,68.5,0.61272,good,67.2,,insufficient,0.0,1.2277821011673153,good,69.1,0.9128867623604465,good,84.3,218.5639553429027,good,84.3,81.44737984496123,good,86.7,29.413209302325583,good,86.7,116.75336434108527,good,86.7,0.021348837209302328,good,86.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
