city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Arrah,Bihar,Bihar,2021,12,167.82139999999998,sparse,47.0,259.7854857142857,sparse,47.0,6.120336134453781,sparse,48.0,103.76492113564667,sparse,42.6,60.45946540880503,sparse,42.7,20.31497191011236,sparse,47.8,1.302370820668693,sparse,44.2,59.61401114206128,sparse,48.3,32.15318559556786,sparse,48.5,1.4835964912280701,sparse,30.6,56.71618421052632,sparse,30.6,6.2087280701754395,sparse,30.6,2.5053947368421055,sparse,30.6,,insufficient,0.0,4.412368421052632,sparse,30.6,0.2648476454293629,sparse,48.5,176.3596,sparse,47.0,73.53831955922865,sparse,48.8,22.05101928374656,sparse,48.8,35.17402203856749,sparse,48.8,0.0,sparse,48.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,1,98.69189533239037,good,95.0,145.10881720430106,good,87.5,2.919849931787176,good,98.5,105.6238335607094,good,98.5,58.27282608695653,good,98.9,2.167023172905526,good,75.4,1.1701910828025477,good,63.3,46.34518518518519,good,69.0,44.72502311248074,good,87.2,1.1077489768076398,good,98.5,35.14175989085948,good,98.5,2.669002732240437,good,98.4,2.24186301369863,good,98.1,,insufficient,0.0,2.185525238744884,good,98.5,0.2863687150837989,good,96.2,152.34408134642356,good,95.8,75.89880389429763,good,96.6,12.007751396648047,good,96.2,39.383283582089554,good,99.1,0.0,good,99.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,2,76.55655791190864,good,91.2,139.2058823529412,good,91.1,3.4913975155279497,good,95.8,76.682950310559,good,95.8,43.247499999999995,good,96.4,4.5728347826086955,good,85.6,,insufficient,1.8,54.15172025723472,good,92.6,21.27642679900744,good,60.0,0.7854545454545455,good,96.6,37.11063174114021,good,96.6,2.615346687211094,good,96.6,2.7298993288590605,good,88.7,,insufficient,0.0,1.0711556240369802,good,96.6,0.3368098159509203,good,97.0,194.34558823529412,good,96.1,62.81776416539051,good,97.2,17.972266462480857,good,97.2,45.75868300153139,good,97.2,0.0,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,3,65.62611275964392,good,90.6,233.27574840764328,good,84.4,2.444,good,94.8,48.41755304101839,good,95.0,27.392089761570823,good,95.8,6.629764521193092,good,85.6,,insufficient,0.0,71.61439265536723,good,95.2,10.079891472868217,good,86.7,0.7764265536723164,good,95.2,72.61012711864407,good,95.2,8.943149717514125,good,95.2,7.629984202211691,good,85.1,,insufficient,0.0,0.5884180790960452,good,95.2,0.2917158931082982,good,95.6,197.2602683615819,good,95.2,47.329243697478994,good,96.0,32.5145288326301,good,95.6,40.24320728291317,good,96.0,0.0,good,96.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,4,52.635467980295566,good,84.6,248.40995073891625,good,84.6,4.885975422427036,good,90.4,64.60782542113324,good,90.7,37.85463636363636,good,91.7,6.031482558139535,sparse,47.8,,insufficient,0.0,57.69568147013782,good,90.7,,insufficient,0.0,0.6963246554364472,good,90.7,37.19826952526799,good,90.7,5.850092024539877,good,90.6,4.9776554174067495,good,78.2,,insufficient,0.0,0.5810260336906585,good,90.7,0.4274164133738602,good,91.4,196.65458143074582,good,91.2,46.56154078549849,good,91.9,33.51281553398058,good,85.8,46.446069277108435,good,92.2,0.0,good,92.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,5,29.23070287539936,good,84.1,139.76398791540785,good,89.0,1.9997560975609758,good,93.7,46.5689541547278,good,93.8,26.099673295454544,good,94.6,17.162891566265063,sparse,33.5,,insufficient,4.6,20.917718794835007,good,93.7,,insufficient,0.0,0.36968660968660977,good,94.4,15.774430199430201,good,94.4,2.454985754985755,good,94.4,2.646082621082621,good,94.4,,insufficient,0.0,0.7952136752136753,good,94.4,0.9222366522366523,good,93.1,196.26743145743148,good,93.1,70.27297413793104,good,93.5,24.639801418439713,good,94.8,72.52930496453901,good,94.8,0.0,good,94.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,6,27.984297124600637,good,86.9,131.31234449760765,good,87.1,2.5561755952380953,good,93.3,45.49755192878338,good,93.6,25.94570381231672,good,94.7,15.715989583333332,good,53.3,1.1045632530120484,good,92.2,18.4731541218638,good,77.5,,insufficient,0.0,0.3196499238964992,good,91.2,12.146651445966514,good,91.2,2.237256097560975,good,91.1,2.421707317073171,good,91.1,,insufficient,0.0,0.778158295281583,good,91.2,0.9236950146627566,good,94.7,206.62712609970671,good,94.7,73.11162037037037,good,90.0,26.8475730994152,good,95.0,61.784459064327486,good,95.0,0.00014598540145985403,good,95.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,7,15.932423664122137,good,70.4,69.2255028462998,good,70.8,3.282679830747532,good,95.3,30.451464788732395,good,95.4,18.598324022346368,good,96.2,7.245771513353115,good,90.6,1.2599859747545583,good,95.8,9.848636363636365,good,82.8,52.39306382978723,sparse,31.6,0.2133193277310924,good,96.0,9.62266106442577,good,96.0,2.032696629213483,good,95.7,2.221418539325843,good,95.7,,insufficient,0.0,0.680532212885154,good,96.0,0.8962347560975611,good,88.2,208.3528963414634,good,88.2,77.91943217665614,good,85.2,24.905393103448276,good,97.4,66.16204137931035,good,97.4,0.015006896551724137,good,97.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,8,12.95155325443787,good,90.9,37.34139092240117,good,91.8,2.247252440725244,good,96.4,34.57719054242003,good,96.6,20.157694444444445,good,96.8,3.0687538940809973,good,86.3,0.7421407624633432,good,91.7,21.368203342618383,good,96.5,59.01516713091922,good,96.5,0.18157162726008347,good,96.6,6.39230876216968,good,96.6,1.895048678720445,good,96.6,2.054089012517385,good,96.6,,insufficient,0.0,0.7727955493741308,good,96.6,0.8660803324099722,good,97.0,208.7146814404432,good,97.0,73.71351800554017,good,97.0,24.898047091412742,good,97.0,44.53811634349031,good,97.0,0.036703601108033244,good,97.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Arrah,Bihar,Bihar,2022,9,14.208006279434851,good,88.5,53.98925349922239,good,89.3,3.890881057268722,good,94.6,51.84566813509544,good,94.6,30.510102040816328,good,95.3,3.51801261829653,good,88.1,0.7125704809286899,good,83.8,22.986544117647057,good,94.4,64.3615,good,94.4,0.17495601173020528,good,94.7,5.689897360703813,good,94.7,2.2482378854625553,good,94.6,2.1281818181818184,good,94.7,,insufficient,0.0,0.850557184750733,good,94.7,0.7699854014598541,good,95.1,210.7799121522694,good,94.9,80.46141193595342,good,95.4,22.754250363901015,good,95.4,30.956826783114995,good,95.4,0.0,good,95.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
