city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Baddi,Himachal Pradesh,Himachal Pradesh,2022,3,70.77912133891213,good,64.2,181.0407949790795,good,64.2,8.564225941422594,good,64.2,21.42644351464435,good,64.2,18.349414225941423,good,64.2,14.986066945606694,good,64.2,0.6573430962343098,good,64.2,63.691108786610876,good,64.2,31.653807531380753,good,64.2,3.0163598326359837,good,64.2,0.27953974895397493,good,64.2,0.20869565217391306,sparse,37.1,2.8363598326359836,good,64.2,8.366569037656904,good,64.2,,insufficient,0.0,1.4305648535564852,good,64.2,158.89834728033475,good,64.2,34.98169456066945,good,64.2,30.172970711297072,good,64.2,150.31355119825707,good,61.7,0.0,good,64.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,4,59.57583684950773,good,98.8,182.5450070323488,good,98.8,6.8821288515406165,good,99.2,19.160423131170663,good,98.5,15.629440559440559,good,99.3,11.302517482517482,good,99.3,0.6002937062937063,good,99.3,53.29766433566434,good,99.3,48.28165034965035,good,99.3,2.1654812834224595,good,51.9,12.827329545454546,sparse,48.9,,insufficient,10.3,0.9435142857142857,sparse,48.6,6.0488285714285706,sparse,48.6,,insufficient,0.0,1.8109510489510487,good,99.3,163.30685314685317,good,99.3,16.212923076923076,good,99.3,32.34503496503497,good,99.3,205.82795491143318,good,86.2,0.947689075630252,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,5,56.95678224687933,good,96.9,167.5735497237569,good,97.3,2.6063950276243095,good,97.3,13.580171428571429,good,94.1,9.077871148459383,good,96.0,27.187900552486187,good,97.3,0.5536,good,97.4,39.01863448275862,good,97.4,48.54063448275862,good,97.4,0.4915034482758621,good,97.4,55.2765560165975,good,97.2,0.07124760076775433,good,70.0,0.3590199081163859,good,87.8,0.19622296173044923,good,80.8,,insufficient,0.0,1.998689655172414,good,97.4,216.58576551724136,good,97.4,40.618772241992886,good,75.5,32.55402758620689,good,97.4,228.97128824476647,good,83.5,0.0020551724137931036,good,97.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,6,51.90008708272859,good,95.7,172.7128761061947,good,94.2,3.0826055312954876,good,95.4,16.685587808417996,good,95.7,11.335840579710144,good,95.8,26.841681159420293,good,95.8,0.5587536231884057,good,95.8,38.296821480406386,good,95.7,33.6256023222061,good,95.7,,insufficient,1.4,,insufficient,1.4,,insufficient,1.2,,insufficient,1.4,,insufficient,1.0,,insufficient,0.0,1.8047118155619597,good,96.4,176.0165850144092,good,96.4,49.73946298984035,good,95.7,32.93877521613833,good,96.4,197.10628111273792,good,94.9,0.018011527377521614,good,96.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,7,29.24713432835821,good,90.1,88.99802377414561,good,90.5,3.031690363349131,good,85.1,12.514583963691376,good,88.8,8.472488954344625,good,91.3,21.59583952451709,good,90.5,0.5259793814432989,good,91.3,49.81383823529412,good,91.4,45.352511078286554,good,91.0,0.5076430976430977,good,79.8,34.17508417508417,good,79.8,0.08324478178368122,good,70.8,0.16107954545454545,good,71.0,0.15503184713375798,good,63.3,,insufficient,0.0,1.3696938775510203,good,92.2,206.88228862973762,good,92.2,82.20828101644244,good,89.9,31.316579330422122,good,92.3,158.58248908296943,good,92.3,0.26071324599708884,good,92.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,8,33.26889534883721,good,92.5,105.85453488372093,good,92.5,3.253082489146165,good,92.9,15.429812138728325,good,93.0,10.821010101010101,good,93.1,17.186965317919075,good,93.0,0.503030303030303,good,93.1,17.031186685962375,good,92.9,49.98858585858585,good,93.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.224978354978355,good,93.1,171.17494949494952,good,93.1,85.28663999999999,good,84.0,31.131385281385285,good,93.1,158.2068253968254,good,93.1,0.20946608946608947,good,93.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,9,41.45506666666667,good,93.8,109.37087149187593,good,94.0,3.222196193265008,good,94.9,16.474787701317716,good,94.9,11.342379562043796,good,95.1,23.07530701754386,good,95.0,0.5404671532846715,good,95.1,13.335610119047617,good,93.3,60.300072886297386,good,95.3,0.41459349593495937,sparse,34.2,14.002418032786885,sparse,33.9,0.07070754716981133,sparse,29.4,0.14936893203883495,sparse,28.6,0.13329166666666667,sparse,33.3,,insufficient,0.0,1.1962536443148686,good,95.3,166.93233236151605,good,95.3,83.30268057784912,good,86.5,30.583309037900875,good,95.3,135.4030612244898,good,95.3,0.11456268221574342,good,95.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,10,51.14188105117566,good,97.2,118.83015558698727,good,95.0,2.6643324250681197,good,98.7,16.478964577656676,good,98.7,11.019035326086957,good,98.9,27.999496598639453,good,98.8,0.5377989130434783,good,98.9,8.803314037626627,good,92.9,93.39331514324694,good,98.5,0.2356598639455782,good,98.8,18.364795640326975,good,98.7,0.07851002865329512,good,93.8,0.14449081803005007,good,80.5,0.12749648382559775,good,95.6,,insufficient,0.0,1.2784625850340137,good,98.8,169.30398639455782,good,98.8,70.5013812154696,good,97.3,29.30117006802721,good,98.8,133.31882993197277,good,98.8,0.08487074829931973,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,11,82.87824611032532,good,98.2,169.08851694915253,good,98.3,4.281824512534818,good,99.7,25.85469359331476,good,99.7,17.199930458970794,good,99.9,38.948647140864715,good,99.6,0.7034214186369958,good,99.9,17.460724233983285,good,99.7,82.64519553072627,good,99.4,0.39704735376044564,good,99.7,11.49207520891365,good,99.7,0.08492603550295859,good,93.9,0.18657422512234909,good,85.1,0.11853448275862069,good,96.7,,insufficient,0.0,1.134623955431755,good,99.7,169.8632729805014,good,99.7,66.22817548746518,good,99.7,27.36427576601671,good,99.7,114.6709388335704,good,97.6,0.0006963788300835655,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2022,12,140.0623628691983,good,95.6,240.84590973201693,good,95.3,9.89009831460674,good,95.7,34.35515449438202,good,95.7,26.305758426966293,good,95.7,52.040767045454544,good,94.6,0.9830477528089888,good,95.7,26.166249999999998,good,95.7,62.431165730337085,good,95.7,0.45462078651685395,good,95.7,7.237682584269662,good,95.7,0.08755344418052256,good,56.6,0.16662477558348296,good,74.9,0.08059895833333335,good,51.6,,insufficient,0.0,1.0199157303370787,good,95.7,154.40787921348314,good,95.7,72.61661812297734,good,83.1,24.743595505617975,good,95.7,121.69945454545454,good,81.3,0.0,good,95.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2023,1,153.00874354561103,good,78.1,256.19551260504204,good,80.0,32.60145000000001,good,80.6,,insufficient,10.1,7.535334476843912,good,78.4,43.81843333333334,good,80.6,1.0461129568106313,good,80.9,56.4246755407654,good,80.8,42.32466777408638,good,80.9,0.3844973544973545,good,76.2,4.496564748201439,good,74.7,0.0768075117370892,sparse,28.6,0.13290909090909092,sparse,29.6,0.06585152838427948,sparse,30.8,,insufficient,0.0,1.0730398671096346,good,80.9,153.22549833887044,good,80.9,78.21922693266833,good,53.9,23.35048172757475,good,80.9,98.15089500860584,good,78.1,0.011810631229235879,good,80.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2023,2,77.43416918429003,good,98.5,168.84016691957513,good,98.1,2.9564555052790347,good,98.7,24.47581325301205,good,98.8,15.387413533834588,good,99.0,53.37245083207262,good,98.4,0.5409049773755656,good,98.7,21.393343373493977,good,98.8,76.46875,good,98.8,0.028192771084337348,good,98.8,0.5059186746987951,good,98.8,,insufficient,3.4,,insufficient,1.3,,insufficient,6.7,,insufficient,0.0,1.4758734939759037,good,98.8,155.76757530120483,good,98.8,62.62333333333333,good,96.4,26.794397590361438,good,98.8,119.25615963855421,good,98.8,0.00018072289156626507,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baddi,Himachal Pradesh,Himachal Pradesh,2023,3,46.27961432506887,good,97.6,113.67085076708507,good,96.4,2.3302849389416553,good,99.1,17.870881953867027,good,99.1,11.354485094850949,good,99.2,33.65900815217391,good,98.9,0.4478911564625849,good,98.8,17.100732700135683,good,99.1,79.58497964721846,good,99.1,0.016168478260869566,good,98.9,0.5758695652173913,good,98.9,,insufficient,1.7,,insufficient,1.5,,insufficient,14.5,,insufficient,0.0,1.4573541383989144,good,99.1,163.85222523744912,good,99.1,63.37546218487395,good,96.0,28.181221166892804,good,99.1,119.82192672998643,good,99.1,0.07257801899592944,good,99.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
