city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Baghpat,Uttar Pradesh,Uttar Pradesh,2018,7,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,insufficient,7.3,,insufficient,7.4,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,7.9,,insufficient,7.9,,insufficient,0.0,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,insufficient,7.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2018,8,66.46993243243243,sparse,49.7,112.53840970350404,sparse,49.9,2.497237813884786,sparse,45.5,13.425405007363768,sparse,45.6,9.160441826215022,sparse,45.6,5.5422672064777325,sparse,49.8,1.1731393775372125,sparse,49.7,27.264683357879235,sparse,45.6,24.10987854251012,sparse,49.8,0.3739398496240602,sparse,44.7,3.5913533834586464,sparse,44.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.463733153638814,sparse,49.9,191.77504043126686,sparse,49.9,,insufficient,0.0,28.812729110512127,sparse,49.9,95.30760107816712,sparse,49.9,0.016738544474393532,sparse,49.9,739.8500673854447,sparse,49.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2018,9,39.24636896046853,sparse,47.4,98.59649441340781,sparse,49.7,3.5381886227544905,sparse,46.4,8.708243831640058,sparse,47.8,6.641059506531206,sparse,47.8,4.134616977225673,sparse,33.5,1.1883730715287517,sparse,49.5,12.251982507288629,sparse,47.6,25.4635904628331,sparse,49.5,0.32337988826815645,sparse,49.7,3.8560335195530726,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.4658938547486033,sparse,49.7,205.20703910614523,sparse,49.7,,insufficient,0.0,27.451396648044692,sparse,49.7,91.83951117318435,sparse,49.7,0.003840782122905028,sparse,49.7,740.2005446927374,sparse,49.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2018,10,148.38620839363242,sparse,46.4,263.68021707670044,sparse,46.4,14.889011627906976,sparse,46.2,31.71944847605225,sparse,46.3,28.94676342525399,sparse,46.3,12.893531976744185,sparse,46.2,1.7065015015015015,sparse,44.8,31.25760522496371,sparse,46.3,39.62636764705882,sparse,45.7,2.631028985507246,sparse,46.4,2.5635652173913046,sparse,46.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.5589146164978294,sparse,46.4,68.47379160636758,sparse,46.4,,insufficient,0.0,25.680694645441385,sparse,46.4,82.89021707670044,sparse,46.4,0.0,sparse,46.4,740.93499276411,sparse,46.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2018,11,217.52296875,sparse,48.9,315.5779943100996,sparse,48.8,11.18646306818182,sparse,48.9,44.713181818181816,sparse,48.9,32.87191761363636,sparse,48.9,18.312921985815603,sparse,49.0,1.2723954983922832,sparse,43.2,43.33808238636364,sparse,48.9,43.213952702702706,sparse,41.1,2.695113314447592,sparse,49.0,2.113526912181303,sparse,49.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.920934844192635,sparse,49.0,54.49056657223795,sparse,49.0,,insufficient,0.0,23.517797450424933,sparse,49.0,64.58381019830028,sparse,49.0,0.0,sparse,49.0,741.0276203966006,sparse,49.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2018,12,202.22990566037734,sparse,49.9,284.30020215633425,sparse,49.9,23.453463203463205,sparse,46.6,43.975656565656564,sparse,46.6,42.458354978354976,sparse,46.6,25.856010928961748,sparse,49.2,1.0580625,sparse,32.3,55.609062049062054,sparse,46.6,62.669779661016946,sparse,39.7,2.6586234817813765,sparse,49.8,2.115937921727395,sparse,49.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.503711201079622,sparse,49.8,56.734709851551955,sparse,49.8,,insufficient,0.0,22.47539136302294,sparse,49.8,58.503360323886646,sparse,49.8,0.0,sparse,49.8,741.1620512820514,sparse,49.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2019,1,171.0965400843882,sparse,47.8,241.84353023909986,sparse,47.8,9.41010101010101,sparse,39.9,20.712157676348546,sparse,48.6,17.23748271092669,sparse,48.6,12.499965217391305,sparse,38.6,0.4219201995012469,sparse,26.9,41.61958506224066,sparse,48.6,49.948412462908,sparse,45.3,1.9231404958677687,sparse,48.8,1.4672865013774106,sparse,48.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.442617079889807,sparse,48.8,58.59900826446282,sparse,48.8,,insufficient,0.0,22.18517906336088,sparse,48.8,60.37384297520661,sparse,48.8,0.0027548209366391185,sparse,48.8,741.1655096418733,sparse,48.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2019,2,114.5912923076923,sparse,48.4,164.4505076923077,sparse,48.4,6.563104524180967,sparse,47.7,39.497392638036814,sparse,48.5,26.24355828220859,sparse,48.5,12.980970394736843,sparse,45.2,0.7297156398104265,sparse,47.1,44.88101226993865,sparse,48.5,48.50340659340659,sparse,47.4,1.3864475743348983,sparse,47.5,1.6341314553990611,sparse,47.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.7637557251908396,sparse,48.7,59.672122137404585,sparse,48.7,,insufficient,0.0,23.54785496183206,sparse,48.7,62.76908396946565,sparse,48.7,0.0064885496183206106,sparse,48.7,741.0206106870229,sparse,48.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2019,3,83.56361760660248,sparse,48.9,161.56300275482096,sparse,48.8,5.492025518341308,sparse,42.1,30.377762619372444,sparse,49.3,19.86244201909959,sparse,49.3,22.683560709413374,sparse,49.3,0.7505065123010131,sparse,46.4,35.80829467939973,sparse,49.3,33.5151493598862,sparse,47.2,0.8131216216216217,sparse,49.7,0.8114594594594595,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.639581081081081,sparse,49.7,62.80313937753722,sparse,49.7,,insufficient,0.0,25.65584459459459,sparse,49.7,88.68164864864865,sparse,49.7,0.0,sparse,49.7,740.8983108108108,sparse,49.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Baghpat,Uttar Pradesh,Uttar Pradesh,2019,4,88.64490780141844,sparse,49.0,259.0803988603989,sparse,48.8,4.777459138187221,sparse,46.7,32.853489361702124,sparse,49.0,21.14567375886525,sparse,49.0,28.09537695590327,sparse,48.8,0.8816119828815977,sparse,48.7,39.256241134751775,sparse,49.0,80.371713836478,sparse,44.2,1.0237700145560407,sparse,47.7,0.8841921397379914,sparse,47.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.59271186440678,sparse,49.2,74.60994350282485,sparse,49.2,,insufficient,0.0,32.704943502824854,sparse,49.2,98.02450564971753,sparse,49.2,0.0,sparse,49.2,740.4410310734463,sparse,49.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
