city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Ballabgarh,Haryana,Haryana,2019,1,112.06440329218107,sparse,32.7,206.92805785123969,sparse,32.5,30.126900826446285,sparse,32.5,44.46798353909465,sparse,32.7,55.755020576131685,sparse,32.7,8.384291666666666,sparse,32.3,1.482139917695473,sparse,32.7,29.42835443037974,sparse,31.9,9.563168724279837,sparse,32.7,9.135083333333334,sparse,32.3,1.2029460580912865,sparse,32.4,10.767302904564316,sparse,32.4,14.177842323651454,sparse,32.4,6.309336099585063,sparse,32.4,0.7878189300411524,sparse,32.7,211.2937037037037,sparse,32.7,60.24731404958677,sparse,32.5,,insufficient,0.0,,insufficient,16.9,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,2,80.68738333333333,good,89.3,167.69333333333336,good,89.7,33.31455592105263,good,90.5,48.2747385620915,good,91.1,65.84022764227643,good,91.5,8.436801948051947,good,91.7,1.988626817447496,good,92.1,22.940686106346483,good,86.8,10.418042763157894,good,90.5,7.759032815198619,good,86.2,1.1239896373056995,good,86.2,9.030379965457685,good,86.2,12.618031088082901,good,86.2,5.692928942807626,good,85.9,1.0610967741935484,good,92.3,191.13393548387097,good,92.3,66.75316912972086,good,90.6,,insufficient,0.0,301.64827586206894,good,51.8,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,3,99.46650316455695,good,84.9,260.8334433962264,good,85.5,24.353720565149136,good,85.6,38.414968253968254,good,84.7,56.73003100775194,good,86.7,12.341909937888198,good,86.6,1.53,good,86.3,114.61698890649761,good,84.8,17.80384375,good,86.0,3.4124208566108005,good,72.2,0.9502973977695167,good,72.3,10.668122676579927,good,72.3,14.104454887218045,good,71.5,6.436504672897196,good,71.9,2.1498584905660376,good,85.5,213.3703875968992,good,86.7,48.62966453674121,good,84.1,,insufficient,0.0,370.5925842696629,sparse,47.8,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,4,112.15841628959276,good,92.1,296.46050075872535,good,91.5,38.63784638554217,good,92.2,42.40846385542169,good,92.2,54.24344879518071,good,92.2,8.053298192771084,good,92.2,1.3039909638554217,good,92.2,156.2269716088328,good,88.1,20.552484939759033,good,92.2,8.59982258064516,good,86.1,2.8964590163934423,good,84.7,14.279693548387096,good,86.1,13.536887096774192,good,86.1,6.489467741935483,good,86.1,3.0747067669172936,good,92.4,199.06676691729322,good,92.4,32.79790273556231,good,91.4,,insufficient,0.0,422.5604134366925,good,53.8,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,5,109.17463309352517,good,93.4,313.6945348837209,good,92.5,40.47708913649025,good,96.5,43.777089136490254,good,96.5,50.192249999999994,good,96.8,5.837130919220055,good,96.5,1.2510306406685237,good,96.5,66.6955617977528,good,95.7,20.748758716875873,good,96.4,7.123802816901408,good,95.4,2.157348377997179,good,95.3,10.235698166431593,good,95.3,13.651537376586743,good,95.3,5.690634696755994,good,95.3,2.6953835425383543,good,96.4,233.99015299026428,good,96.6,27.13727532097004,good,94.2,,insufficient,0.0,427.2124611973393,good,60.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,6,94.75348611111113,good,100.0,257.8852875175316,good,99.0,18.87811111111111,good,100.0,26.17620833333334,good,100.0,27.49440277777778,good,100.0,9.510222222222223,good,100.0,0.9862222222222223,good,100.0,26.477343532684284,good,99.9,24.47041666666666,good,100.0,5.3241307814992025,good,87.1,0.9538915470494418,good,87.1,5.359904306220096,good,87.1,8.593460925039873,good,87.1,3.268197767145135,good,87.1,9.863597222222221,good,100.0,168.8900138888889,good,100.0,40.68746376811595,good,95.8,,insufficient,0.0,374.9609955752212,good,62.8,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,7,55.48910836762688,good,98.0,190.26987412587417,good,96.1,14.816635135135135,good,99.5,15.843211875843455,good,99.6,20.558960863697706,good,99.6,2.3280189959294435,good,99.1,1.3758355795148247,good,99.7,33.07949105914718,good,97.7,48.04504076086957,good,98.9,3.094410112359551,good,95.7,11.25240168539326,good,95.7,3.120112201963535,good,95.8,5.760266479663395,good,95.8,2.153974719101124,good,95.7,11.637830188679246,good,99.7,141.22654986522912,good,99.7,70.81593575418994,good,96.2,,insufficient,0.0,288.182079002079,good,64.7,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,8,24.200749318801087,good,98.7,74.46317107093185,good,96.6,12.333037634408603,good,100.0,15.315067204301075,good,100.0,19.1959811827957,good,100.0,2.018978494623656,good,100.0,1.4197177419354838,good,100.0,50.92761316872427,good,98.0,37.268140161725064,good,99.7,3.0386083213773314,good,93.7,10.62715925394548,good,93.7,4.002510760401722,good,93.7,7.470286944045911,good,93.7,2.5659253945480636,good,93.7,6.062432795698926,good,100.0,134.93310483870968,good,100.0,77.71819892473118,good,100.0,,insufficient,0.0,322.1815436241611,good,60.1,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,9,27.86552594670406,good,99.0,67.95443356643356,good,99.3,11.102843137254903,good,99.2,29.343692307692304,good,99.3,29.20098039215686,good,99.2,1.507188811188811,good,99.3,1.3631250000000001,good,100.0,121.77279136690647,good,96.5,34.29894150417827,good,99.7,2.8607218045112783,good,92.4,2.3965060240963854,good,92.2,3.0609172932330826,good,92.4,5.321112781954887,good,92.4,2.090496240601504,good,92.4,2.5697222222222225,good,100.0,103.79941666666669,good,100.0,77.33752840909091,good,97.8,,insufficient,0.0,305.4596192893401,good,54.7,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,10,93.29375172413793,good,97.4,222.05377071823204,good,97.3,22.232307692307693,good,99.6,41.101336032388666,good,99.6,43.873967611336035,good,99.6,8.061889338731444,good,99.6,1.3106882591093116,good,99.6,148.41739368998628,good,98.0,18.063202702702704,good,99.5,9.255124309392265,good,97.3,5.2814124293785305,good,95.2,13.12953038674033,good,97.3,15.958977900552485,good,97.3,7.206436464088398,good,97.3,1.3625606469002696,good,99.7,181.27886792452833,good,99.7,55.627004048583,good,99.6,,insufficient,0.0,341.37890052356016,good,51.3,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,11,117.1632656023222,good,95.7,271.1319452449568,good,96.4,33.07450070323488,good,98.8,39.746727528089885,good,98.9,49.6683286516854,good,98.9,14.770918079096045,good,98.3,1.772875175315568,good,99.0,105.05619181946403,good,98.5,16.814154727793696,good,96.9,11.998420310296193,good,98.5,4.242369534555713,good,98.5,19.698081805359664,good,98.5,21.175196506550215,good,95.4,9.543060648801127,good,98.5,4.09249299719888,good,99.2,198.23012605042015,good,99.2,55.24746743849494,good,96.0,,insufficient,0.0,260.16094827586204,sparse,48.3,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2019,12,157.31254335260115,good,93.0,363.41038848920863,good,93.4,33.950568335588635,good,99.3,71.95515561569688,good,99.3,68.77755074424898,good,99.3,5.478073270013568,good,99.1,1.9245540540540542,good,99.5,56.369742895805146,good,99.3,7.274932065217392,good,98.9,4.163913043478261,good,98.9,4.8658152173913045,good,98.9,15.687472826086957,good,98.9,17.840665760869566,good,98.9,8.526847826086957,good,98.9,5.765256756756757,good,99.5,195.09604054054054,good,99.5,75.29404054054054,good,99.5,,insufficient,0.0,221.98798295454543,sparse,47.3,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,1,149.40792944785275,good,87.6,280.6340832049307,good,87.2,21.735402635431917,good,91.8,44.94229868228404,good,91.8,44.23957478005865,good,91.7,6.938313609467454,good,90.9,1.8256842105263156,good,89.4,27.09407624633431,good,91.7,4.82378947368421,good,89.4,6.981696165191741,good,91.1,0.899660766961652,good,91.1,13.52278761061947,good,91.1,16.25094395280236,good,91.1,7.467861356932153,good,91.1,9.47827485380117,good,91.9,198.31299707602338,good,91.9,72.1573274596182,good,91.5,,insufficient,0.0,281.1663363363363,sparse,44.8,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,2,95.7917168141593,good,81.2,257.998634751773,good,81.0,8.699744463373083,good,84.3,10.26199318568995,good,84.3,15.343679727427597,good,84.3,9.249829642248722,good,84.3,1.6979456706281835,good,84.6,10.277342419080068,good,84.3,5.782290598290599,good,84.1,9.14740170940171,good,84.1,0.8004786324786324,good,84.1,10.68054700854701,good,84.1,11.52969230769231,good,84.1,6.036324786324786,good,84.1,15.638709677419357,good,84.6,221.75534804753818,good,84.6,57.619880952380946,good,84.5,,insufficient,18.5,376.07175496688745,sparse,43.4,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,3,40.52234003656307,good,73.5,104.96829981718464,good,73.5,5.279965156794424,good,77.2,20.59349040139616,good,77.0,15.842909407665505,good,77.2,6.337669565217391,good,77.3,0.9477835951134379,good,77.0,15.705818815331012,good,77.2,8.915287769784172,good,74.7,5.553607142857143,good,75.3,18.538125,good,75.3,7.680178571428571,good,75.3,4.2615,good,75.3,6.867142857142857,good,75.3,14.233808695652176,good,77.3,199.35859130434784,good,77.3,60.43978431372549,good,68.5,21.785529411764703,good,68.5,407.0974418604651,sparse,40.5,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,4,46.35851437699681,good,86.9,68.41936507936508,good,87.5,5.232867756315008,good,93.5,16.145334323922736,good,93.5,13.573922734026747,good,93.5,6.595252976190476,good,93.3,1.0637091988130565,good,93.6,19.49596439169139,good,93.6,13.470193164933136,good,93.5,3.187363945578231,good,81.7,13.310412044374011,good,87.6,2.448159851301115,good,74.7,1.0940506329113924,good,76.8,1.1843937007874015,good,88.2,17.57853550295858,good,93.9,227.67223372781064,good,93.9,36.57422839506172,good,90.0,28.940555555555555,good,90.0,453.16218487394946,sparse,49.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,5,47.07238744884038,good,98.5,96.29024556616643,good,98.5,5.082414733969986,good,98.5,6.060626702997276,good,98.7,11.077643051771117,good,98.7,9.9746887966805,good,97.2,1.1844897959183673,good,98.8,8.291880108991826,good,98.7,9.50738775510204,good,98.8,4.218392101551482,good,95.3,15.660126939351198,good,95.3,3.6086036671368125,good,95.3,1.8381241184767279,good,95.3,2.52462962962963,good,94.4,14.004829931972791,good,98.8,193.80717006802723,good,98.8,37.692985915492955,good,95.4,32.41583098591549,good,95.4,427.22533936651587,good,59.4,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,6,62.01668085106383,good,97.9,107.84285106382977,good,97.9,5.121372549019608,good,99.2,4.5469790209790215,good,99.3,9.954691876750699,good,99.2,3.7954289732770747,good,98.8,2.12434965034965,good,99.3,6.912394957983193,good,99.2,52.39434782608696,good,99.0,4.026370056497175,good,98.3,16.277302259887005,good,98.3,4.05752824858757,good,98.3,1.9493776520509194,good,98.2,3.1456497175141243,good,98.3,10.653692307692307,good,99.3,164.46306293706294,good,99.3,55.596378066378065,good,96.2,32.402943722943725,good,96.2,345.31799145299146,good,65.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,7,63.249226361031525,good,93.8,146.07309352517987,good,93.4,7.074391608391608,good,96.1,9.479177126917712,good,96.4,15.770921787709497,good,96.2,9.650406162464986,good,96.0,0.5363496503496503,good,96.1,9.161815642458102,good,96.2,79.66566714490675,good,93.7,2.9199103139013456,good,89.9,10.504588938714496,good,89.9,3.467904468412943,good,87.2,4.182585949177877,good,89.9,1.9771599402092677,good,89.9,11.439075862068965,good,97.4,165.30696551724137,good,97.4,70.1430988023952,good,89.8,30.711377245508977,good,89.8,350.66411085450346,good,58.2,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Ballabgarh,Haryana,Haryana,2020,8,47.52139296187684,good,91.7,119.70008720930232,good,92.5,7.521051175656984,good,97.2,9.437235213204952,good,97.7,15.869600550964186,good,97.6,5.20900826446281,good,97.6,0.9409650349650349,good,96.1,7.395089655172415,good,97.4,64.77167364016736,good,96.4,2.7867616191904045,good,89.7,8.858323353293414,good,89.8,6.565329341317365,good,89.8,4.871541916167664,good,89.8,2.383338323353293,good,89.8,10.503645116918845,good,97.7,154.83486932599723,good,97.7,81.7630407523511,good,85.8,29.23934169278997,good,85.8,282.39441176470586,good,54.8,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
