city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,5,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,insufficient,0.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,6,59.920744101633396,sparse,38.3,144.45701954397396,sparse,42.6,7.190472560975611,sparse,45.6,27.931265243902438,sparse,45.6,35.214047976012,sparse,46.3,9.631920731707318,sparse,45.6,0.8989805097451274,sparse,46.3,0.9976690548780487,sparse,45.6,22.786091081593927,sparse,36.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7333231240428789,sparse,45.3,151.00706422018348,sparse,45.4,51.54844512195122,sparse,45.6,33.8813262195122,sparse,45.6,156.51443778110945,sparse,46.3,0.32002998500749624,sparse,46.3,733.9628506097561,sparse,45.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,7,14.651198428290767,sparse,34.2,47.966074918566775,sparse,41.3,3.834714086471409,sparse,48.2,17.097527932960894,sparse,48.1,21.353096234309625,sparse,48.2,4.324072524407252,sparse,48.2,0.45924686192468617,sparse,48.2,0.22362524407252438,sparse,48.2,20.20408647140865,sparse,48.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7901258741258742,sparse,48.1,179.8921568627451,sparse,48.0,75.64884239888424,sparse,48.2,31.400864714086474,sparse,48.2,173.85817294281728,sparse,48.2,0.4026080892608089,sparse,48.2,735.1904323570433,sparse,48.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,8,28.22578237410072,good,74.7,57.658491921005385,good,74.9,3.098366375892149,good,84.7,12.176629659000792,good,84.7,15.745376685170498,good,84.7,5.179595559080095,good,84.7,0.5738065027755749,good,84.7,2.227126090404441,good,84.7,14.560896114195083,good,84.7,11.424294003868473,sparse,34.7,,insufficient,0.0,4.2213398058252425,sparse,34.6,10.147098646034816,sparse,34.7,,insufficient,0.0,,insufficient,0.0,0.9419298245614035,good,84.3,160.33023828435265,good,84.6,74.70646312450437,good,84.7,30.811173671689136,good,84.7,162.4854242664552,good,84.7,0.13459159397303727,good,84.7,736.0879381443298,good,84.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,9,38.40380952380953,good,93.3,75.96803131991052,good,93.1,3.1029252669039145,good,97.6,11.951615658362988,good,97.6,15.479601706970127,good,97.6,6.2024128113879,good,97.6,0.716081081081081,good,97.6,3.9481091814946616,good,97.6,15.333050605844619,good,97.4,12.102166666666665,good,50.0,,insufficient,0.0,3.6922916666666663,good,50.0,9.594005563282337,sparse,49.9,,insufficient,0.0,,insufficient,0.0,0.8045318084345962,good,97.2,165.16710206995003,good,97.3,78.13199999999999,good,97.6,29.24312455516014,good,97.6,138.8423399715505,good,97.6,0.1198790896159317,good,97.6,738.0763345195729,good,97.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,10,61.24991477272727,good,94.6,131.47038184438043,good,93.3,12.965534633490249,good,99.9,22.835615332885006,good,99.9,39.420672043010754,good,100.0,8.554102219233357,good,99.9,1.164233870967742,good,100.0,3.9808769283746557,good,97.6,13.479798115746972,good,99.9,14.178521505376343,good,50.0,,insufficient,0.0,6.373739612188366,sparse,48.5,14.952757660167133,sparse,48.3,,insufficient,0.0,,insufficient,0.0,0.5325887573964497,good,90.9,131.90334298118668,good,92.9,76.93098989898989,good,99.8,25.228047138047135,good,99.8,124.20433467741935,good,100.0,0.5665524193548386,good,100.0,742.6001077441077,good,99.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,11,62.774157142857135,good,97.2,150.61268571428573,good,97.2,22.593558495821725,good,99.7,37.16404596100279,good,99.7,66.29395543175487,good,99.7,10.786692200557102,good,99.7,1.3859192200557102,good,99.7,5.6202307581227435,good,96.2,14.285519662921349,good,98.9,9.036208333333335,good,50.0,,insufficient,0.0,4.718349514563108,sparse,35.8,12.898593314763229,sparse,49.9,,insufficient,0.0,,insufficient,0.0,0.4278247011952191,good,87.2,102.79029029793735,good,90.9,70.53032729805014,good,99.7,21.15202646239554,good,99.7,111.62658774373259,good,99.7,0.019993036211699164,good,99.7,744.6218802228412,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2022,12,70.17120996441281,good,94.4,161.06613924050632,good,95.6,24.986082191780824,good,98.1,43.04004794520548,good,98.1,74.67701023890785,good,98.5,12.853157534246575,good,98.1,1.2872559726962456,good,98.5,9.58421658637302,good,97.6,6.552267123287672,good,98.1,3.7128965517241386,sparse,48.7,,insufficient,0.0,,insufficient,3.3,,insufficient,15.7,,insufficient,0.0,,insufficient,0.0,0.501656298600311,good,86.4,99.29332089552238,good,90.1,78.17107142857142,good,97.8,15.285480769230766,good,97.8,88.04882593856655,good,98.5,0.012976109215017063,good,98.5,745.0830219780221,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2023,1,53.76039393939394,good,88.7,107.72196523053667,good,88.9,15.274056399132322,good,92.9,31.45268980477223,good,92.9,50.35992784992785,good,93.1,15.249580621836586,good,92.9,1.0022005772005773,good,93.1,10.686155910079767,good,92.7,5.827151120751989,good,92.9,0.8676524390243902,sparse,44.1,,insufficient,0.0,,insufficient,0.7,,insufficient,0.7,,insufficient,0.0,,insufficient,0.0,0.5775299401197604,good,89.8,124.82860946745562,good,90.9,82.79925524222703,good,92.9,12.915401301518438,good,92.9,68.94103896103896,good,93.1,0.0422943722943723,good,93.1,746.8253073029645,good,92.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
Bareilly,Uttar Pradesh,Uttar Pradesh,2023,2,41.41439045183291,good,87.3,100.87583120204604,good,87.3,23.954488961569908,good,91.0,36.1414554374489,good,91.0,66.48162052117263,good,91.4,15.773251633986927,good,91.1,1.0258306188925084,good,91.4,10.460435159443989,good,91.0,8.311177446102818,good,89.7,0.8661295681063123,sparse,44.8,,insufficient,0.0,,insufficient,0.8,,insufficient,0.8,,insufficient,0.0,,insufficient,0.0,0.6156744995648391,good,85.5,116.251345177665,good,87.9,71.38816993464052,good,91.1,19.246862745098042,good,91.1,121.47091205211728,good,91.4,0.03824918566775245,good,91.4,744.1839215686274,good,91.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,2
