city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bathinda,Punjab,Punjab,2018,6,74.71223659889093,good,75.1,124.21449523809524,good,72.9,10.706883116883118,good,74.9,15.47514814814815,good,75.0,23.855946428571425,good,77.8,9.864022556390978,good,73.9,0.5877179962894249,good,74.9,,insufficient,0.0,1.3496125461254613,good,75.3,171.76505535055352,good,75.3,60.28872693726937,good,75.3,34.69651291512915,good,75.3,280.03037664783426,good,73.8,,insufficient,2.6,810.5,good,75.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2018,7,42.06097087378641,good,96.9,85.74832378223496,good,93.8,7.418515950069348,good,96.9,10.695498614958447,good,97.0,17.199327846364884,good,98.0,7.424529085872576,good,97.0,0.47224233983286906,good,96.5,,insufficient,0.0,1.4809185185185185,good,90.7,159.30152592592592,good,90.7,84.87720608575381,good,97.2,34.399925816023746,good,90.6,282.69715877437324,good,96.5,,insufficient,3.5,810.0882849239282,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2018,8,39.46102040816327,good,92.2,72.09128410914927,good,83.7,7.7613722627737225,good,92.1,10.749125364431487,good,92.2,17.554398280802292,good,93.8,7.25140350877193,good,91.9,0.4327098674521355,good,91.3,,insufficient,0.0,1.4127259475218656,good,92.2,152.22569970845478,good,92.2,44.98435860058309,good,92.2,29.892755102040816,good,92.2,225.3224411764706,good,91.4,,insufficient,0.5,811.3057434402332,good,92.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2018,9,45.256991150442474,good,94.2,90.70001692047377,good,82.1,8.176524300441825,good,94.3,11.29710294117647,good,94.4,16.628345120226307,good,98.2,7.086832000000001,good,86.8,0.15602962962962963,good,93.8,,insufficient,0.0,1.4459499263622975,good,94.3,159.35030927835052,good,94.3,70.69133823529413,good,94.4,31.786676470588233,good,94.4,269.5206764705882,good,94.4,,insufficient,0.0,813.8507794117647,good,94.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2018,10,41.16724617524339,good,96.6,113.98474285714286,good,94.1,12.916941678520626,good,94.5,17.935949008498582,good,94.9,26.9394972826087,good,98.9,2.9430999999999994,good,53.8,0.22692086330935252,good,93.4,,insufficient,0.0,1.4653546592489568,good,96.6,198.6526842837274,good,96.6,44.91031988873435,good,96.6,26.601780250347705,good,96.6,295.3909874826147,good,96.6,,insufficient,0.0,815.6167037552154,good,96.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2018,11,54.194969788519636,good,91.9,147.26227769110764,good,89.0,12.792455882352943,good,94.4,18.10743024963289,good,94.6,24.95965957446808,good,97.9,12.139697885196375,good,91.9,0.4012883435582823,good,90.6,,insufficient,0.0,1.5317767988252569,good,94.6,204.87688693098386,good,94.6,57.31396992481202,good,92.4,21.7551248164464,good,94.6,472.86999999999995,good,94.6,,insufficient,0.0,876.2273848439822,good,93.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2018,12,45.12227142857142,good,94.1,112.63703976435936,good,91.3,12.932259887005651,good,95.2,17.906694915254235,good,95.2,29.90218487394958,good,96.0,9.243575667655787,good,90.6,0.5405467625899281,good,93.4,,insufficient,0.0,1.574857142857143,good,94.1,241.48885877318116,good,94.2,63.5079015918958,good,92.9,18.81231098430813,good,94.2,541.8662093352193,good,95.0,,insufficient,0.0,982.9511016949152,good,95.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2019,1,38.96295977011494,good,93.5,95.6342463768116,good,92.7,12.291853932584269,good,95.7,18.65255977496484,good,95.6,29.440376569037657,good,96.4,7.165602836879432,good,94.8,0.6990128755364807,good,94.0,,insufficient,0.0,1.5958757062146893,good,95.2,240.50276836158196,good,95.2,61.284375,good,94.6,18.001117824773416,good,89.0,586.902654494382,good,95.7,,insufficient,0.0,982.9030196629213,good,95.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2019,2,31.522084639498434,good,94.9,101.43433386837881,good,92.7,12.842382445141064,good,94.9,18.041902515723272,good,94.6,29.29007668711656,good,97.0,4.48610248447205,good,95.8,0.9448900169204739,good,87.9,,insufficient,0.0,1.5441692789968653,good,94.9,226.1438775510204,good,94.8,67.21404838709677,good,92.3,20.852474437627812,good,72.8,700.1831211180124,good,95.8,,insufficient,0.0,976.6052639751554,good,95.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bathinda,Punjab,Punjab,2019,3,20.852690647482014,good,93.4,110.42346762589928,good,93.4,14.074486251808972,good,92.9,18.164147398843927,good,93.0,31.05501424501425,good,94.4,6.130129496402878,good,93.4,1.7477473363774734,good,88.3,,insufficient,0.0,0.9993687230989958,good,93.7,234.4455093256815,good,93.7,63.624625360230546,good,93.3,17.936239193083573,good,93.3,836.1293821839081,good,93.5,,insufficient,0.0,977.446417266187,good,93.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
