city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bettiah,Bihar,Bihar,2021,7,6.503343653250774,sparse,43.4,67.77507598784194,sparse,44.2,1.9532456140350878,sparse,46.0,12.883691860465115,sparse,46.2,8.412936046511629,sparse,46.2,3.94600583090379,sparse,46.1,0.5687209302325581,sparse,46.2,35.81252906976744,sparse,46.2,11.60172514619883,sparse,46.0,1.650242718446602,sparse,27.7,164.038786407767,sparse,27.7,27.26004854368932,sparse,27.7,61.249951456310676,sparse,27.7,,insufficient,0.0,20.67121359223301,sparse,27.7,0.5424418604651163,sparse,46.2,156.65843023255815,sparse,46.2,63.67587209302326,sparse,46.2,30.07800872093023,sparse,46.2,84.52665697674418,sparse,46.2,0.0029069767441860465,sparse,46.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2021,8,,insufficient,24.2,,insufficient,19.8,2.5904932735426014,sparse,30.0,13.821228070175438,sparse,30.6,9.344140969162995,sparse,30.5,3.1419819819819823,sparse,29.8,0.32995348837209304,sparse,28.9,36.69469298245614,sparse,30.6,11.164488888888888,sparse,30.2,,insufficient,15.7,,insufficient,15.7,,insufficient,15.7,,insufficient,15.7,,insufficient,0.0,,insufficient,15.7,0.4596759259259259,sparse,29.0,167.09601851851855,sparse,29.0,64.3504366812227,sparse,30.8,29.67451965065502,sparse,30.8,74.59427947598253,sparse,30.8,0.00222707423580786,sparse,30.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2021,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2021,10,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2021,11,,insufficient,0.4,,insufficient,21.7,,insufficient,23.9,,insufficient,24.0,,insufficient,24.0,,insufficient,21.7,,insufficient,22.1,,insufficient,23.9,,insufficient,24.4,,insufficient,24.0,,insufficient,24.0,,insufficient,23.9,,insufficient,23.9,,insufficient,0.0,,insufficient,24.0,,insufficient,15.1,,insufficient,15.1,,insufficient,12.9,,insufficient,24.4,,insufficient,24.4,,insufficient,24.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2021,12,204.28791666666666,sparse,41.9,316.45424590163935,good,82.0,29.264674220963173,good,94.9,82.46764788732395,good,95.4,67.3546338028169,good,95.4,3.3369207772795217,good,89.9,1.107371794871795,good,83.9,62.67632612966601,good,68.4,7.882780898876403,good,95.7,2.2235793357933575,good,72.8,13.0709778597786,good,72.8,1.644195933456562,good,72.7,5.346328413284133,good,72.8,,insufficient,0.0,2.2391143911439113,good,72.8,0.3057806691449814,good,72.3,153.53487850467292,good,71.9,82.08940700808625,sparse,49.9,27.304209138840072,good,76.5,30.088119507908612,good,76.5,0.02381370826010545,good,76.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2022,1,132.5707635009311,good,72.2,217.77521072796935,good,70.2,9.216947368421053,good,63.8,42.10939784946236,good,62.5,29.883283261802575,good,62.6,3.0228547008547006,good,78.6,1.0142777777777778,good,72.6,51.664603960396036,sparse,27.2,17.894817880794704,good,81.2,1.683980198019802,good,67.9,8.131960396039602,good,67.9,3.986302186878728,good,67.6,4.769794871794872,good,52.4,,insufficient,0.0,2.6294257425742575,good,67.9,0.35947368421052633,good,63.8,153.4677052631579,good,63.8,78.48829207920794,good,54.3,25.97861157024793,good,81.3,39.27082644628099,good,81.3,0.00041322314049586776,good,81.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2022,2,117.97577696526508,good,81.4,183.81793960923625,good,83.8,6.910289389067525,good,92.6,36.13864864864865,good,93.6,24.691462639109698,good,93.6,1.8459902597402595,good,91.7,0.9330337078651685,good,92.7,40.65825657894737,good,90.5,31.707324840764333,good,93.5,1.7913171577123048,good,85.9,6.584072790294627,good,85.9,1.459358752166378,good,85.9,4.6558925476603115,good,85.9,,insufficient,0.0,1.6483362218370885,good,85.9,0.43918433931484496,good,91.2,157.23174836601305,good,91.1,66.42031545741324,good,94.3,25.063785488958988,good,94.3,59.62380126182965,good,94.3,0.0007728706624605679,good,94.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2022,3,126.32560296846012,good,72.4,180.16854442344047,good,71.1,3.932557781201849,good,87.2,29.441486068111452,good,86.8,18.678894009216588,good,87.5,1.4411437908496731,good,82.3,0.9522685185185185,good,87.1,44.29431643625192,good,87.5,33.85717791411042,good,87.6,1.698450184501845,good,72.8,6.176014760147601,good,72.8,1.695767097966728,good,72.7,5.491051660516605,good,72.8,,insufficient,0.0,2.215295202952029,good,72.8,0.4734290271132377,good,84.3,129.56894736842105,good,84.3,51.56535168195718,good,87.9,31.656483180428136,good,87.9,68.60984709480122,good,87.9,4.587155963302752e-05,good,87.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bettiah,Bihar,Bihar,2022,4,64.07602836879434,good,58.8,140.19990267639903,good,57.1,2.2746779661016947,good,81.9,27.485685950413224,good,84.0,16.271190082644626,good,84.0,2.6135687732342006,good,74.7,0.8758458961474037,good,82.9,47.88485903814262,good,83.8,33.997475728155344,good,85.8,1.3675714285714284,good,77.8,4.423857142857142,good,77.8,1.216142857142857,good,77.8,4.148517857142857,good,77.8,,insufficient,0.0,1.514017857142857,good,77.8,0.5180198019801979,good,84.2,157.52397689768978,good,84.2,51.03429725363489,good,86.0,31.7062197092084,good,86.0,60.50069466882068,good,86.0,0.0,good,86.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
