city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bhagalpur,Bihar,Bihar,2021,11,140.9257614213198,sparse,27.4,,insufficient,22.0,4.577077747989276,sparse,25.9,99.93776315789474,sparse,26.4,56.199453125,sparse,26.7,,insufficient,17.4,,insufficient,21.9,55.72935064935066,sparse,26.7,,insufficient,21.5,,insufficient,13.9,,insufficient,13.9,,insufficient,13.9,,insufficient,13.9,,insufficient,0.0,,insufficient,13.9,0.5344352617079889,sparse,25.2,205.3067493112948,sparse,25.2,,insufficient,24.1,,insufficient,24.5,44.45798898071625,sparse,25.2,0.000625,sparse,27.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2021,12,138.24334785766158,good,92.5,250.11722303206997,good,92.2,9.2995178197065,good,96.2,87.8171118881119,good,96.1,54.09381450488145,good,96.4,32.98475918367347,good,82.3,2.640816852966466,good,78.2,44.50748226950355,good,94.8,63.18875936719402,good,80.7,1.3441655359565807,sparse,49.5,33.747123473541386,sparse,49.5,2.6040408163265307,sparse,49.4,7.864252717391304,sparse,49.5,,insufficient,0.0,3.932985074626866,sparse,49.5,0.5438646967340591,good,86.4,199.90109984399376,good,86.2,69.96536568213783,good,95.6,23.30550242550242,good,97.0,41.127345807345804,good,97.0,0.0002564102564102564,good,97.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,1,163.9241100786276,good,94.0,295.8999210337401,good,93.6,4.09843837535014,good,96.0,46.3605910652921,good,97.8,27.705563139931737,good,98.5,29.142962169878658,good,94.2,1.200814061054579,good,72.6,33.73282900626678,good,75.1,40.261475964793505,good,99.3,1.2610957004160888,sparse,48.5,18.154285714285717,sparse,48.5,1.4372538141470177,sparse,48.5,4.249278779472953,sparse,48.5,,insufficient,0.0,2.00375866851595,sparse,48.5,0.6677250177179305,good,94.8,185.80743607954545,good,94.6,77.13315831987076,good,83.2,16.96975050573163,good,99.7,44.307383681726236,good,99.7,0.13752528658125424,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,2,109.18251239669421,good,90.0,237.20279301745637,good,89.5,3.0561865793780685,good,90.9,54.19766905330151,good,93.5,30.920315457413253,good,94.3,18.91096642096642,good,90.8,0.3967573696145124,good,65.6,16.696865431103948,good,92.3,58.971701795472285,good,95.3,1.0131455399061031,sparse,47.5,9.617683881064162,sparse,47.5,1.083154574132492,sparse,47.2,3.3858685446009393,sparse,47.5,,insufficient,0.0,1.5596557120500782,sparse,47.5,0.6003309120258273,good,92.2,194.97802907915994,good,92.1,67.3824816849817,good,81.2,20.905205585725366,good,95.9,64.4477657098526,good,95.9,0.30821567106283937,good,95.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,3,96.39090582314881,good,93.5,235.40914801444046,good,93.1,2.06599718111346,good,95.4,44.630812894183606,good,95.9,25.27902234636872,good,96.2,9.738915662650603,good,94.8,0.0034824281150159747,sparse,42.1,36.91750362844702,good,92.6,57.21799721835883,good,96.6,0.24154794520547943,sparse,49.1,10.461561643835617,sparse,49.1,2.10327615780446,sparse,39.2,4.449505494505495,sparse,48.9,,insufficient,0.0,0.9481780821917809,sparse,49.1,0.6467334254143646,good,97.3,178.36350138121546,good,97.3,54.0100693962526,good,96.8,28.02059680777238,good,96.8,84.40741151977794,good,96.8,0.5168184955141476,good,97.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,4,69.54897718332022,good,88.3,239.39498427672956,good,88.3,2.7347725520431765,good,90.1,33.42736762481089,good,91.8,19.936623867069486,good,91.9,14.08038783269962,good,91.3,,insufficient,5.1,23.654365971107545,good,86.5,48.05003790750568,good,91.6,0.6830911330049261,good,56.4,27.15739827373613,good,56.3,2.80268803945746,good,56.3,4.837880710659899,good,54.7,,insufficient,0.0,2.5677928483353885,good,56.3,0.634313725490196,good,92.1,157.68089811320755,good,92.0,62.67305722891567,good,92.2,28.3873343373494,good,92.2,70.12637801204819,good,92.2,0.003456325301204819,good,92.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,5,48.808030075187965,good,89.4,140.44364122137404,good,88.0,3.7837281976744186,good,92.5,34.97183599419448,good,92.6,21.51156678700361,good,93.1,14.632138181818181,good,92.4,1.1317142857142857,sparse,25.9,17.36634844868735,good,84.5,39.99227272727273,good,91.7,2.383124098124098,good,93.1,9.949004329004328,good,93.1,1.2133701250919795,good,91.3,2.357276688453159,good,92.5,,insufficient,0.0,0.6305411255411256,good,93.1,0.7577445255474453,good,92.1,181.58590510948906,good,92.1,67.21395231213872,good,93.0,25.718562138728323,good,93.0,74.89955924855492,good,93.0,0.009703757225433526,good,93.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,6,39.63121664050235,good,88.5,120.03913500404204,good,85.9,6.124146520146521,good,94.8,44.317009482129826,good,95.2,28.221460592913953,good,96.0,13.78372161172161,good,94.8,1.0083163265306123,good,95.3,29.777455089820364,good,92.8,26.226908957415567,good,94.6,4.124589299171062,good,92.2,12.723677467972871,good,92.2,1.8946018376722813,good,90.7,3.176423135464231,good,91.2,,insufficient,0.0,0.5958025621703089,good,92.2,0.7438179035960215,good,90.8,223.0886610558531,good,90.8,71.69049927641099,good,96.0,26.856143270622287,good,96.0,61.046606367583216,good,96.0,0.06784370477568741,good,96.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,7,19.835831548893648,good,94.2,63.145743919885554,good,94.0,6.0768381344307265,good,98.0,33.618139534883724,good,98.3,22.77339029391661,good,98.3,7.327459306440199,good,95.0,0.4779831342234716,good,95.6,28.312025316455696,good,95.6,29.44184936614467,good,90.1,3.8905681040383304,good,98.2,11.05093771389459,good,98.2,1.7341205325858444,good,95.9,2.787539410555175,good,98.1,,insufficient,0.0,0.44954825462012316,good,98.2,0.7398204419889503,good,97.3,246.54346685082874,good,97.3,69.3445044429255,good,98.3,28.069056732740943,good,98.3,52.68557758031442,good,98.3,0.027259056732740945,good,98.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,8,28.636415662650606,good,89.2,59.93992441421012,good,88.9,11.073628571428571,good,94.1,56.404591690544414,good,93.8,38.40698233215548,good,95.1,11.431723338485316,good,87.0,0.5308571428571429,good,94.1,21.435061195104392,good,93.3,38.31634726224784,good,93.3,2.749914772727273,good,94.6,16.029850852272727,good,94.6,3.396785185185185,good,90.7,2.114074074074074,good,90.7,,insufficient,0.0,0.5179261363636364,good,94.6,0.7731951393852751,good,94.0,238.7541535150646,good,93.7,75.70442321302194,good,95.0,26.098138711960367,good,95.0,36.57283793347487,good,95.0,0.056716206652512376,good,95.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,9,24.88934108527132,good,89.6,55.3214843152257,good,90.8,13.52454018826937,good,95.9,44.93370851370851,good,96.2,34.71641726618705,good,96.5,12.8740059347181,good,93.6,0.5839895209580839,good,92.8,21.26758321273517,good,96.0,24.330698016164586,good,94.5,1.040535068691251,good,96.0,17.72711496746204,good,96.0,4.077969320672024,good,95.1,1.223231884057971,good,95.8,,insufficient,0.0,0.5516558206796819,good,96.0,0.7163703159441587,good,94.5,231.84876379690948,good,94.4,80.42633549316054,good,96.5,24.04369330453564,good,96.5,40.502846768336966,good,95.6,0.08022270114942529,good,96.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,10,53.32629811629812,good,82.1,89.20431467964315,good,82.9,14.959114583333333,good,90.3,58.91354120267261,good,90.5,43.27675295857988,good,90.9,14.662354813046939,good,84.5,0.5145901639344261,good,90.2,22.55935412026726,good,90.5,24.978852830188675,good,89.0,1.1420935412026727,good,90.5,16.480749814402376,good,90.5,4.412080838323354,good,89.8,1.1823472429210133,good,90.2,,insufficient,0.0,0.496792873051225,good,90.5,0.7488262548262548,good,87.0,207.29525948876838,good,86.8,71.44261940298509,good,90.1,20.845246268656716,good,90.1,38.75564925373134,good,90.1,0.055784023668639056,good,90.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,11,119.45986965966692,good,95.9,190.97099781500364,good,95.3,7.781262553802009,good,96.8,97.87609949531362,good,96.3,58.32164866810654,good,96.5,10.925568685376662,good,94.0,1.321239970824216,good,95.2,23.855453874538746,good,94.1,27.391021897810216,good,95.1,0.589326164874552,good,96.9,2.957168458781362,good,96.9,2.0512186379928314,good,96.9,1.5825862068965517,good,96.7,,insufficient,0.0,0.7065878136200716,good,96.9,0.8170722977809592,good,97.0,185.94936017253775,good,96.6,60.75239799570509,good,97.0,15.325551575931232,good,96.9,30.429926362297493,good,94.3,0.00035790980672870435,good,97.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Bhagalpur,Bihar,Bihar,2022,12,213.3110242214533,good,97.1,319.695244658856,good,97.5,5.129767759562842,good,98.4,101.89483286908077,good,96.5,58.44801814375437,good,96.3,14.943917828319883,good,91.6,1.5667591950034696,good,96.8,25.96536132140399,good,97.6,37.905820285908774,good,98.7,0.39136332651670075,good,98.6,1.84747102931152,good,98.6,0.9075034199726402,good,98.3,0.9809790209790209,good,96.1,,insufficient,0.0,0.37583503749147923,good,98.6,0.8392385057471264,good,93.5,184.92989920806335,good,93.3,66.66376446562288,good,98.7,16.714622191967322,good,98.7,30.007549353301563,good,98.7,0.0003403675970047651,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
