city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bhiwadi,Rajasthan,Rajasthan,2017,10,229.70732142857145,sparse,45.2,387.94072254335265,sparse,46.5,19.367163323782236,sparse,46.9,94.59607449856733,sparse,46.9,113.95954154727795,sparse,46.9,63.07706586826347,sparse,44.9,1.071919770773639,sparse,46.9,59.994827586206895,sparse,46.8,54.67365217391304,sparse,46.4,2.402126436781609,sparse,46.8,,insufficient,0.0,,insufficient,17.7,0.9185344827586208,sparse,46.8,0.8932276657060518,sparse,46.6,1.1589337175792507,sparse,46.6,177.51152737752162,sparse,46.6,40.226120689655176,sparse,46.8,,insufficient,0.0,,insufficient,15.2,0.0,sparse,46.8,736.9033141210374,sparse,46.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2017,11,227.86976154992547,good,93.2,392.0067555555556,good,93.8,25.843999999999994,good,93.8,80.76786666666666,good,93.8,106.28695716395865,good,94.0,58.70574468085106,good,84.9,1.255414710485133,good,88.8,53.93521481481481,good,93.8,39.23686746987951,good,92.2,2.1156541353383456,good,92.4,,insufficient,0.0,1.139789029535865,sparse,32.9,0.6350810810810811,good,51.4,0.8124242424242425,good,91.7,1.194005934718101,good,93.6,189.77873887240355,good,93.6,48.859035608308616,good,93.6,,insufficient,0.0,571.1532396449703,good,93.9,0.0,good,94.0,758.3262444113265,good,93.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2017,12,194.28695312500003,sparse,34.4,360.7934959349593,sparse,33.1,29.295,sparse,26.3,56.00358974358975,sparse,26.2,,insufficient,0.0,46.242222222222225,sparse,33.9,1.089764705882353,sparse,34.3,18.350161290322582,sparse,25.0,17.906901960784314,sparse,34.3,2.17267942583732,sparse,28.1,1.0930143540669854,sparse,28.1,,insufficient,23.8,1.6833157894736843,sparse,25.5,1.300366492146597,sparse,25.7,0.7098347107438017,sparse,32.5,215.3579338842975,sparse,32.5,61.08455252918288,sparse,34.5,,insufficient,0.0,769.7730350194552,sparse,34.5,0.0,sparse,34.4,781.5962645914396,sparse,34.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,1,171.09481967213114,good,82.0,391.61392426850256,good,78.1,21.551504,good,84.0,43.564896000000005,good,84.0,58.161919999999995,sparse,33.6,44.14796116504855,good,83.1,1.0779491255961844,good,84.5,4.003705035971223,good,74.7,14.097777777777777,good,81.0,2.2464791666666666,good,64.5,1.0050416666666668,good,64.5,0.8056696428571428,good,60.2,0.41454954954954953,good,59.7,0.5344026548672567,good,60.8,0.7996715927750411,good,81.9,220.2404091653028,good,82.1,68.704624,good,84.0,,insufficient,0.0,591.309072,good,84.0,0.0008589951377633712,good,82.9,770.2314832535885,good,84.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,2,149.38340983606557,sparse,45.4,324.86951768488746,sparse,46.3,28.89327205882353,sparse,40.5,61.521003236245946,sparse,46.0,85.85285198555955,sparse,41.2,61.52746835443038,sparse,47.0,0.7328834355828221,sparse,48.5,10.978947368421053,sparse,39.6,19.356137931034485,sparse,43.2,1.2110144927536233,sparse,41.1,2.392572463768116,sparse,41.1,1.3274876847290642,sparse,30.2,0.8436815920398009,sparse,29.9,0.7987254901960784,sparse,30.4,1.0318045112781957,sparse,39.6,224.99946153846153,sparse,38.7,56.88893470790378,sparse,43.3,,insufficient,0.0,579.3931958762887,sparse,43.3,0.0,sparse,43.0,763.896735395189,sparse,43.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,3,157.20260296540363,good,81.6,303.75993344425956,good,80.8,,insufficient,0.0,60.21620320855615,good,75.4,,insufficient,0.0,69.81743137254902,good,68.5,0.7148489666136725,good,84.5,13.744491315136475,good,54.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,4,156.37223183391006,good,80.3,353.8360720130933,good,84.9,,insufficient,0.0,80.61806859205777,good,76.9,,insufficient,0.0,56.201698717948716,good,86.7,0.6099841772151898,good,87.8,11.755508474576272,good,81.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,5,140.8601851851852,good,65.3,375.9262275449102,good,67.3,34.48736641221374,sparse,35.2,86.08209775967413,good,66.0,132.09358778625952,sparse,35.2,48.23764940239043,good,67.5,0.5833595284872298,good,68.4,14.462742980561556,good,62.2,46.52806691449814,sparse,36.2,1.5679411764705884,sparse,36.6,4.854703703703705,sparse,36.3,3.490220588235294,sparse,36.6,2.59625,sparse,36.6,0.7892250922509224,sparse,36.4,0.9218014705882352,sparse,36.6,185.5822794117647,sparse,36.6,19.778713235294116,sparse,36.6,,insufficient,0.0,452.82356617647065,sparse,36.6,0.0,sparse,36.6,753.5249632352942,sparse,36.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,6,107.08636212624585,good,83.6,334.9506301824212,good,83.8,17.691969178082193,good,81.1,26.08615652173913,good,79.9,40.61575959933223,good,83.2,27.75326352530541,good,79.6,0.4259967051070841,good,84.3,13.250843806104129,good,77.4,30.712516891891887,good,82.2,0.5801666666666667,good,83.3,2.9823294509151417,good,83.5,0.2722866894197952,good,81.4,0.3104273504273504,good,81.2,0.17005154639175257,good,80.8,1.1402471169686985,good,84.3,185.48409917355372,good,84.0,45.69260726072608,good,84.2,,insufficient,0.0,435.14673866090715,good,64.3,0.03976973684210526,good,84.4,753.2228006589786,good,84.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Bhiwadi,Rajasthan,Rajasthan,2018,7,62.093177419354845,good,83.3,175.9037239165329,good,83.7,15.365503246753246,good,82.8,25.21972491909385,good,83.1,37.15575342465753,good,88.3,19.09872,good,84.0,0.6524505327245054,good,88.3,17.804736,good,84.0,32.31352180936995,good,83.2,0.4641856925418569,good,88.3,0.4630136986301371,good,88.3,0.48594896331738435,good,84.3,0.4863795853269538,good,84.3,0.4879073482428115,good,84.1,0.8991533546325878,good,84.1,189.5783572567783,good,84.3,74.44374203821656,good,84.4,,insufficient,0.0,93.59968203497615,good,84.5,0.1710790273556231,good,88.4,749.8768312101911,good,84.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
