city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bidar,Karnataka,Karnataka,2021,1,53.3434593837535,good,96.0,114.76651376146788,sparse,29.3,9.90481223922114,good,96.6,26.575827538247566,good,96.6,36.4817107093185,good,96.6,17.059967637540456,sparse,41.5,0.3976966292134831,good,95.7,20.097148817802502,good,96.6,26.303908450704228,good,76.3,,insufficient,15.7,,insufficient,0.0,,insufficient,13.6,,insufficient,15.5,,insufficient,0.0,,insufficient,0.0,,insufficient,19.0,,insufficient,19.0,,insufficient,19.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,2,46.631289640591966,good,70.4,103.4193201754386,good,67.9,2.7307234042553192,good,69.9,19.78453744493392,good,67.6,22.830702127659574,good,69.9,19.663457330415756,good,68.0,0.23886621315192744,good,65.6,15.319212765957449,good,69.9,49.41989071038252,good,54.5,1.0517045454545455,sparse,39.3,,insufficient,0.0,1.1536681222707423,sparse,34.1,1.2773484848484848,sparse,39.3,,insufficient,0.0,,insufficient,0.0,0.7117803030303029,sparse,39.3,1.1507196969696971,sparse,39.3,42.356249999999996,sparse,39.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,3,48.17420743639921,good,68.7,106.09498039215686,good,68.5,2.9453515625,good,68.8,18.72642578125,good,68.8,21.66068359375,good,68.8,21.483114119922632,good,69.5,0.23651416122004362,good,61.7,9.51880859375,good,68.8,48.59311637080868,good,68.1,1.1507312252964426,good,68.0,,insufficient,0.0,2.080429292929293,good,53.2,3.2280039525691704,good,68.0,,insufficient,0.0,,insufficient,0.0,0.6150887573964497,good,68.1,1.1512031558185403,good,68.1,28.325285996055225,good,68.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,4,49.7728125,sparse,31.1,144.4599107142857,sparse,31.1,3.596973684210526,sparse,31.7,18.43337719298246,sparse,31.7,22.028552631578947,sparse,31.7,22.53732456140351,sparse,31.7,,insufficient,24.9,6.070043859649122,sparse,31.7,45.39190909090909,sparse,30.6,1.174590909090909,sparse,30.6,,insufficient,0.0,,insufficient,23.3,4.016954545454546,sparse,30.6,,insufficient,0.0,,insufficient,0.0,0.5350909090909092,sparse,30.6,1.2233636363636362,sparse,30.6,29.674363636363633,sparse,30.6,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,5,30.21813432835821,sparse,36.0,84.71779411764705,sparse,36.6,,insufficient,12.9,8.505781818181818,sparse,37.0,7.592618181818181,sparse,37.0,20.52058394160584,sparse,36.8,0.10208556149732619,sparse,25.1,,insufficient,0.3,29.650985401459852,sparse,36.8,1.3642181818181818,sparse,37.0,,insufficient,0.0,0.8360147601476015,sparse,36.4,3.393699633699634,sparse,36.7,,insufficient,0.0,,insufficient,0.0,0.7631272727272728,sparse,37.0,1.1036000000000001,sparse,37.0,45.1472,sparse,37.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,6,17.981895734597156,good,58.6,41.426880733944955,good,60.6,5.43163076923077,sparse,45.1,8.28535,good,55.6,7.018479262672811,good,60.3,20.360138248847925,good,60.3,0.2368372093023256,good,59.7,47.06295238095239,sparse,43.8,16.125473441108547,good,60.1,2.0027126436781613,good,60.4,,insufficient,0.0,3.4486078886310905,good,59.9,6.533071593533487,good,60.1,,insufficient,0.0,,insufficient,0.0,0.9657011494252873,good,60.4,1.4031034482758622,good,60.4,68.87034482758621,good,60.4,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,7,20.666428571428572,sparse,28.2,31.86911392405063,good,53.1,0.9582086167800453,good,59.3,0.8469383259911895,good,61.0,1.5012134831460673,good,59.8,21.11278825995807,good,64.1,0.8941422594142259,good,64.2,0.26415929203539823,good,60.8,12.931087866108786,good,64.2,1.9113179916317993,good,64.2,,insufficient,0.0,7.049809725158563,good,63.6,7.4119077568134175,good,64.1,,insufficient,0.0,,insufficient,0.0,0.547949790794979,good,64.2,1.0665271966527197,good,64.2,77.54437238493723,good,64.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,8,,insufficient,0.0,32.727448789571696,good,72.2,1.9632167832167833,good,76.9,1.4685480093676817,good,57.4,1.6479636363636365,good,73.9,53.01160344827587,good,78.0,0.8969152542372882,good,79.3,0.9062544169611308,good,76.1,12.077215411558669,good,76.7,7.795881355932203,good,79.3,,insufficient,0.0,6.362410256410256,good,78.6,43.63620512820513,good,78.6,,insufficient,0.0,,insufficient,0.0,0.7417288135593222,good,79.3,1.067915254237288,good,79.3,77.06261016949153,good,79.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,9,,insufficient,0.0,30.828579387186625,sparse,49.9,1.7999488491048596,good,54.3,4.888447368421052,good,52.8,2.9932653061224492,good,54.4,37.511131105398455,good,54.0,0.913137755102041,good,54.4,1.7076530612244898,good,54.4,10.54877551020408,good,54.4,0.7058673469387756,good,54.4,,insufficient,0.0,1.359764397905759,good,53.1,9.960904392764858,good,53.8,,insufficient,0.0,,insufficient,0.0,0.475561224489796,good,54.4,1.1365561224489795,good,54.4,80.66535714285715,good,54.4,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
Bidar,Karnataka,Karnataka,2021,10,,insufficient,0.0,75.61634969325154,sparse,43.8,1.8000000000000003,sparse,45.2,4.8999999999999995,sparse,45.2,3.1000000000000005,sparse,45.2,32.27619047619047,sparse,45.2,0.9101488095238095,sparse,45.2,1.707083333333333,sparse,45.2,20.958392857142854,sparse,45.2,0.8460370370370369,sparse,36.3,,insufficient,0.0,0.09799999999999999,sparse,35.6,2.5579629629629634,sparse,36.3,,insufficient,0.0,,insufficient,0.0,0.5004761904761905,sparse,45.2,0.9193154761904762,sparse,45.2,66.23842261904763,sparse,45.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,1,2021,2021,1
