city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bihar Sharif,Bihar,Bihar,2021,7,20.44433628318584,sparse,30.4,37.097345132743364,sparse,30.4,2.121913043478261,sparse,30.9,55.22991341991342,sparse,31.0,31.084718614718614,sparse,31.0,3.4614718614718614,sparse,31.0,0.44692640692640695,sparse,31.0,21.126549999999998,sparse,26.9,43.685934579439255,sparse,28.8,0.8352422907488988,sparse,30.5,5.612863436123347,sparse,30.5,2.4237885462555067,sparse,30.5,0.6235242290748898,sparse,30.5,,insufficient,0.0,0.9362995594713656,sparse,30.5,0.5021645021645021,sparse,31.0,211.4083982683983,sparse,31.0,71.21787878787879,sparse,31.0,27.885757575757573,sparse,31.0,65.84922077922079,sparse,31.0,0.0,sparse,31.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2021,8,,insufficient,22.6,,insufficient,24.5,2.0869230769230764,sparse,28.0,65.24693779904307,sparse,28.1,36.35861244019139,sparse,28.1,3.6583253588516746,sparse,28.1,0.4869377990430622,sparse,28.1,26.31405128205128,sparse,26.2,,insufficient,0.0,0.7662380952380953,sparse,28.2,6.396571428571429,sparse,28.2,3.061428571428572,sparse,28.2,0.46028571428571435,sparse,28.2,,insufficient,0.0,0.4332857142857143,sparse,28.2,0.2929857819905214,sparse,28.4,239.49639810426538,sparse,28.4,34.481421800947864,sparse,28.4,27.997298578199054,sparse,28.4,82.85232227488152,sparse,28.4,0.0,sparse,28.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2021,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2021,10,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2021,11,,insufficient,7.1,,insufficient,6.8,,insufficient,4.3,,insufficient,4.3,,insufficient,4.3,,insufficient,4.3,,insufficient,7.2,,insufficient,0.3,,insufficient,0.0,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,6.8,,insufficient,0.0,,insufficient,7.1,,insufficient,7.2,,insufficient,7.2,,insufficient,7.2,,insufficient,7.2,,insufficient,7.2,,insufficient,7.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2021,12,167.26163663663664,good,89.5,357.0358636363637,good,88.7,6.444503597122303,good,93.4,121.23165229885056,good,93.5,69.68925287356322,good,93.5,4.877539797395079,good,92.9,,insufficient,5.8,54.088281938325984,good,91.5,,insufficient,0.0,,insufficient,15.7,,insufficient,15.7,,insufficient,15.7,,insufficient,14.9,,insufficient,0.0,,insufficient,15.7,0.28984240687679086,good,93.8,236.68295977011493,good,93.5,49.05909742120344,good,93.8,23.382091690544414,good,93.8,36.42150429799427,good,93.8,0.0,good,93.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2022,1,99.7571860816944,good,88.8,175.47738486842104,good,81.7,6.803893129770992,sparse,35.2,118.41768060836502,sparse,35.3,38.37488272921109,good,63.0,2.8854794520547946,good,88.3,,insufficient,0.0,50.01886535552194,good,88.8,,insufficient,0.0,,insufficient,13.8,,insufficient,13.8,,insufficient,13.8,,insufficient,13.6,,insufficient,0.0,,insufficient,13.8,0.32949579831932774,good,96.0,223.02812061711077,good,95.8,70.23322475570032,good,82.5,18.521613793103448,good,97.4,34.6148275862069,good,97.4,0.0,good,97.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2022,2,73.00329159212879,good,83.2,138.10311151079136,good,82.7,3.542068403908795,good,91.4,108.56183870967742,good,92.3,60.43909822866345,good,92.4,6.586507666098808,good,87.4,0.6726838966202784,good,74.9,7.476329411764705,good,63.2,10.122779783393502,good,82.4,1.4668387096774194,good,92.3,2.3716129032258064,good,92.3,0.9786752827140549,good,92.1,0.6396517412935324,good,89.7,,insufficient,0.0,0.18703225806451615,good,92.3,0.405765306122449,good,87.5,222.72584192439862,good,86.6,41.94882636655948,good,92.6,23.824968454258677,good,94.3,60.83884858044164,good,94.3,0.0,good,94.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2022,3,127.87385273972603,good,78.5,288.9930981067125,good,78.1,1.5776979472140766,good,91.7,96.3741847041847,good,93.1,52.493982683982686,good,93.1,8.263386627906977,good,92.5,0.5275680580762251,good,74.1,5.024301470588235,sparse,36.6,9.267580419580419,good,96.1,1.2248476454293629,good,97.0,1.8464681440443214,good,97.0,0.9971052631578947,good,97.0,0.28744827586206895,good,78.0,,insufficient,0.0,0.10160664819944598,good,97.0,0.4178085991678225,good,96.9,244.5609722222222,good,96.8,26.660750341064123,good,98.5,36.46628164556962,good,84.9,66.82742857142857,good,98.8,0.0,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bihar Sharif,Bihar,Bihar,2022,4,113.33430799220272,good,71.2,356.0052559055118,good,70.6,2.5289268292682925,good,85.4,110.75451162790698,good,89.6,60.70627906976745,good,89.6,3.7118108974358974,good,86.7,0.6618078175895766,good,85.3,6.5379343629343625,good,71.9,15.744866863905324,good,93.9,0.9317835365853658,good,91.1,1.965487804878049,good,91.1,1.3511432926829268,good,91.1,0.519059405940594,good,84.2,,insufficient,0.0,0.1411280487804878,good,91.1,0.5331390134529147,good,92.9,167.76808383233532,good,92.8,39.04839826839827,good,96.2,26.354508076358293,good,94.6,52.091230329041494,good,97.1,0.0,good,97.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
