city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bilaspur,Chhattisgarh,Chhattisgarh,2021,9,,insufficient,24.2,53.59203125,sparse,26.7,5.985125628140703,sparse,27.6,12.817979797979799,sparse,27.5,18.549045226130655,sparse,27.6,8.29286432160804,sparse,27.6,0.7902010050251256,sparse,27.6,0.11213197969543148,sparse,27.4,127.51608040201005,sparse,27.6,80.77442211055276,sparse,27.6,34.08814070351759,sparse,27.6,131.51201005025126,sparse,27.6,0.0,sparse,27.6,977.1523333333334,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2021,10,28.649012345679008,good,98.0,80.35679452054794,good,98.1,6.5614577656675745,good,98.7,12.83851498637602,good,98.7,19.023092643051772,good,98.7,9.803869209809264,good,98.7,0.9911428571428571,good,98.8,0.1475598086124402,good,84.3,148.0530095759234,good,98.3,70.71078911564626,good,98.8,33.68891156462585,good,98.8,160.59255782312925,good,98.8,0.0,good,98.8,976.9067715231787,good,81.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2021,11,26.225732394366194,good,98.6,81.12842253521127,good,98.6,9.659522471910112,good,98.9,15.360575842696628,good,98.9,21.86698033707865,good,98.9,11.236685393258428,good,98.9,1.0286235955056178,good,98.9,0.1340946502057613,good,67.5,133.74489705882354,good,94.4,62.444887640449444,good,98.9,31.196053370786515,good,98.9,132.54330056179776,good,98.9,0.0,good,98.9,979.2289785831961,good,84.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2021,12,25.817920656634747,good,98.3,99.03036935704515,good,98.3,12.41858870967742,good,100.0,14.325416666666667,good,100.0,20.36731182795699,good,100.0,10.86130376344086,good,100.0,0.9660215053763441,good,100.0,0.10182235834609496,good,87.8,192.9991114245416,good,95.3,61.0352688172043,good,100.0,30.729973118279567,good,100.0,117.41658602150538,good,100.0,0.0,good,100.0,753.8166531165311,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2022,1,22.32164051355207,good,94.2,66.21961428571429,good,94.1,13.609972826086958,good,98.9,13.85425850340136,good,98.8,19.62714673913043,good,98.9,9.542598105548038,good,99.3,0.8416102841677943,good,99.3,0.11540055248618786,good,97.3,238.80571234735413,good,99.1,64.91847090663059,good,99.3,30.439959404600813,good,99.3,131.87706359945872,good,99.3,0.0,good,99.3,746.601596752368,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2022,2,23.580825242718447,good,92.0,51.97277147487844,good,91.8,10.27435294117647,good,88.5,13.485042016806723,good,88.5,19.237008403361344,good,88.5,12.002991999999999,good,93.0,0.9558558558558561,good,99.1,0.12173437499999999,good,95.2,238.08052790346906,good,98.7,47.62678678678679,good,99.1,31.93779279279279,good,99.1,165.82615615615615,good,99.1,0.0,good,99.1,750.5438888888889,good,99.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2022,3,23.986500672947507,good,99.9,54.6348010973937,good,98.0,11.089770889487871,good,99.7,13.869892183288409,good,99.7,20.190067385444742,good,99.7,11.591300138312587,good,97.2,1.1243606998654105,good,99.9,0.12090174966352624,good,99.9,226.1057469717362,good,99.9,33.17934051144011,good,99.9,33.21162853297442,good,99.9,178.31619111709287,good,99.9,0.0,good,99.9,751.7542934051144,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2022,4,24.5732281205165,good,96.8,55.7975,good,96.7,8.20221264367816,good,96.7,13.145402298850575,good,96.7,19.60977011494253,good,96.7,7.528550932568149,good,96.8,1.2758022922636103,good,96.9,0.10379360465116279,good,95.6,220.4357367668097,good,97.1,26.609542203147353,good,97.1,33.14216022889843,good,97.1,178.31494992846925,good,97.1,0.0,good,97.1,751.8060228898427,good,97.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2022,5,24.647876106194694,good,91.1,56.78796694214876,good,81.3,8.534771723122239,good,91.3,14.26658321060383,good,91.3,20.94777614138439,good,91.3,7.564844444444445,good,90.7,1.2025625920471281,good,91.3,0.1411764705882353,good,89.1,129.5586786786787,good,89.5,36.29447058823529,good,91.4,33.76186764705882,good,91.4,164.3262794117647,good,91.4,0.0,good,91.4,749.1605588235295,good,91.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Bilaspur,Chhattisgarh,Chhattisgarh,2022,6,24.937676419965577,good,80.7,59.706999999999994,good,80.6,6.79682842287695,good,80.1,13.989688041594453,good,80.1,20.624454072790297,good,80.1,6.916672504378284,good,79.3,1.1380226904376014,good,85.7,0.12983766233766234,good,85.6,88.83825370675453,good,84.3,50.491017770597736,good,86.0,32.9289337641357,good,86.0,153.58166397415187,good,86.0,0.0,good,86.0,747.1474474959613,good,86.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
