city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,5,88.39016326530613,sparse,32.9,283.6173469387755,sparse,32.9,9.562200772200772,sparse,34.8,45.8446332046332,sparse,34.8,32.15837837837838,sparse,34.8,28.401891891891893,sparse,34.8,1.0627027027027027,sparse,34.8,38.90235521235522,sparse,34.8,89.12848360655737,sparse,32.8,,insufficient,24.3,,insufficient,24.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.3069767441860465,sparse,34.7,132.79360465116278,sparse,34.7,33.770310077519376,sparse,34.7,34.06042635658915,sparse,34.7,124.666007751938,sparse,34.7,0.0,sparse,34.7,740.5129069767443,sparse,34.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,6,64.79809230769231,good,90.3,281.3696,good,90.3,1.7966718506998445,good,89.3,33.403736434108524,good,89.6,19.210961240310077,good,89.6,14.618476923076923,good,90.3,0.6960406885758998,good,88.8,27.78711627906977,good,89.6,70.77193798449612,good,89.6,1.300741885625966,good,89.9,4.025316846986089,good,89.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.7476461538461538,good,90.3,213.38166153846157,good,90.3,45.61769230769231,good,90.3,32.9325,good,90.3,120.44655384615383,good,90.3,0.007692307692307693,good,90.3,740.2165384615384,good,90.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,7,36.25368338557993,good,85.8,78.39615264797509,good,86.3,2.1236249999999997,good,86.0,22.773875,good,86.0,13.832046875,good,86.0,5.661674491392801,good,85.9,0.83103125,good,86.0,22.6123125,good,86.0,43.84880877742947,good,85.8,0.5058722741433022,good,86.3,2.7008566978193147,good,86.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.6059501557632399,good,86.3,175.2338629283489,good,86.3,60.13394080996884,good,86.3,30.976347352024927,good,86.3,89.64132398753894,good,86.3,0.16934579439252334,good,86.3,740.0015576323988,good,86.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,8,31.330730253353202,good,90.2,95.2264083457526,good,90.2,1.3402544910179641,good,89.8,16.515940298507463,good,90.1,9.864462686567165,good,90.1,4.666033950617284,good,87.1,1.0220389805097452,good,89.7,21.90510447761194,good,90.1,37.81770897832817,good,86.8,0.4848584202682564,good,90.2,2.1557824143070046,good,90.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.523457526080477,good,90.2,196.0229806259314,good,90.2,61.76266766020864,good,90.2,30.299828614008938,good,90.2,83.87159463487332,good,90.2,0.06520119225037257,good,90.2,740.3811475409836,good,90.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,9,43.803111782477345,good,91.9,,insufficient,9.2,6.20963358778626,good,91.0,28.015735963581182,good,91.5,19.91661608497724,good,91.5,11.896582677165354,good,88.2,1.217207890743551,good,91.5,29.0106373292868,good,91.5,66.62725832012678,good,87.6,1.0675794251134645,good,91.8,4.998426626323752,good,91.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.919108761329305,good,91.9,266.91401812688827,good,91.9,62.550332326283986,good,91.9,29.14476586102719,good,91.9,78.42699395770393,good,91.9,0.11830815709969787,good,91.9,741.047583081571,good,91.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,10,139.76863636363635,good,94.6,,insufficient,0.0,24.505057142857144,good,94.1,50.22148359486447,good,94.2,46.63797432239658,good,94.2,10.832657142857142,good,94.1,1.435674157303371,sparse,47.8,45.37243553008596,good,93.8,61.83279305354559,good,92.9,5.144879432624113,good,94.8,18.378836879432622,good,94.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.8728611898016994,good,94.9,231.82804532577902,good,94.9,49.03838526912182,good,94.9,28.092294617563738,good,94.9,82.54249291784703,good,94.9,0.0,good,94.9,741.807252124646,good,94.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,11,215.17440629470673,good,97.1,325.2128187919463,sparse,41.4,25.665059171597637,good,93.9,50.005575221238935,good,94.2,47.44383480825959,good,94.2,19.10682857142857,good,97.2,1.3555761024182076,good,97.6,50.38961538461539,good,93.9,62.81410662824208,good,96.4,8.206230876216969,good,99.9,36.79725244072524,good,99.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.8476216968011128,good,99.9,248.13873435326843,good,99.9,51.336453407510426,good,99.9,25.138623087621696,good,99.9,56.695521557719054,good,99.9,0.0027816411682892906,good,99.9,742.0267732962448,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2018,12,246.45392022008252,good,97.7,371.7382225237449,good,99.1,41.62022008253095,good,97.7,72.61629986244843,good,97.7,72.59891334250344,good,97.7,19.05797520661157,good,97.6,1.6588655462184876,good,96.0,77.7239448275862,good,97.4,43.565622377622375,good,96.1,8.925725806451613,good,100.0,49.774005376344086,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.6683602150537635,good,100.0,218.7551478494624,good,100.0,53.947916666666664,good,100.0,22.92676747311828,good,100.0,47.37264784946237,good,100.0,0.0,good,100.0,742.2637768817204,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2019,1,193.7530617977528,good,95.7,276.1276890756302,good,96.0,34.691272727272725,good,66.5,57.71419718309859,good,95.4,53.876676056338034,good,95.4,11.826653386454185,good,67.5,1.3012570621468926,good,95.2,55.91007092198581,good,94.8,38.67177622377622,good,96.1,6.142237762237763,good,96.1,28.868937062937064,good,96.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.30766106442577,good,96.0,214.18415966386553,good,96.0,57.21896358543418,good,96.0,22.411547619047617,good,96.0,48.38165266106443,good,96.0,0.019089635854341737,good,96.0,778.3712605042018,good,96.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Bulandshahr,Uttar Pradesh,Uttar Pradesh,2019,2,116.27769817073171,good,97.6,178.29986301369863,good,97.8,16.136478873239437,good,84.5,35.588667687595716,good,97.2,31.95075038284839,good,97.2,6.073725490196078,good,83.5,0.9545125786163523,good,94.6,11.716527131782945,good,96.0,44.4007786259542,good,97.5,3.720958904109589,good,97.8,16.41855403348554,good,97.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.5515677321156773,good,97.8,228.66958904109586,good,97.8,60.40474885844748,good,97.8,23.350083713850836,good,97.8,58.39433789954338,good,97.8,0.02359208523592085,good,97.8,869.1693302891933,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
