city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Buxar,Bihar,Bihar,2021,11,,insufficient,21.2,,insufficient,13.8,33.974736842105266,sparse,26.4,109.06549222797928,sparse,26.8,85.78879581151833,sparse,26.5,5.222582417582418,sparse,25.3,,insufficient,21.1,51.565138121546966,sparse,25.1,43.69067357512953,sparse,26.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.34390374331550805,sparse,26.0,212.197807486631,sparse,26.0,73.35641304347826,sparse,25.6,23.286649484536085,sparse,26.9,62.98757731958763,sparse,26.9,0.0,sparse,26.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2021,12,179.89682403433477,good,62.6,367.375799086758,good,58.9,48.5552466367713,good,59.9,116.55025948103794,good,67.3,96.9290928725702,good,62.2,4.210750507099392,good,66.3,,insufficient,21.2,51.37932270916334,good,67.5,45.98032064128257,good,67.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.5312101910828025,good,63.3,174.8593205944798,good,63.3,76.83480079681274,good,67.5,23.420615384615388,good,69.9,61.10496153846154,good,69.9,0.0,good,69.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,1,154.13284603421462,good,86.4,351.215528330781,good,87.8,31.922975077881613,good,86.3,79.97958923512748,good,94.9,66.80012121212121,good,88.7,3.087647951441578,good,88.6,,insufficient,19.0,36.67770893371758,good,93.3,29.578083916083912,good,96.1,,insufficient,21.6,,insufficient,21.6,,insufficient,21.1,,insufficient,21.1,,insufficient,0.0,,insufficient,21.6,0.7310743801652893,good,97.6,153.5029655172414,good,97.4,78.89302806499262,good,91.0,15.20896694214876,good,97.6,54.40301237964236,good,97.7,0.0,good,98.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,2,116.6330864197531,good,96.4,271.00489827856023,good,95.1,84.46250411861615,good,90.3,73.04196018376722,good,97.2,101.98608087091758,good,95.7,3.0999387442572743,good,97.2,0.9738910505836577,good,76.5,23.512557781201853,good,96.6,47.26277693474962,good,98.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7740695915279878,good,98.4,168.20145234493194,good,98.4,67.40984871406958,good,98.4,20.434432677760967,good,98.4,87.02157337367625,good,98.4,0.0,good,98.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,3,110.70543925233646,good,71.9,266.71780748663105,good,75.4,29.71784810126582,good,63.7,43.274511149228125,good,78.4,46.16795008912656,good,75.4,2.819125,good,75.3,0.9244834710743802,good,65.1,29.280991150442475,good,75.9,22.794888888888885,good,78.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.6380173913043479,good,77.3,187.96571428571428,good,77.2,57.20636054421768,good,79.0,31.563409090909087,good,76.9,113.8948299319728,good,79.0,0.0,good,79.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,4,88.57579545454546,sparse,48.9,357.2050786516854,good,61.8,35.31769620253164,good,54.9,49.02201219512195,good,68.3,47.92498933901919,good,65.1,3.516278026905829,good,61.9,0.9173983739837399,sparse,34.2,24.24518,good,69.4,41.22285148514852,good,70.1,,insufficient,8.6,,insufficient,8.6,,insufficient,8.3,,insufficient,8.2,,insufficient,0.0,,insufficient,8.6,0.9443589743589743,good,70.4,164.2626232741617,good,70.4,43.8258,good,69.4,31.690437499999998,good,66.7,129.68419291338583,good,70.6,0.0,good,70.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,5,69.57849478390462,good,90.2,178.8484769230769,good,87.4,28.785074850299402,good,89.8,30.93497101449275,good,92.7,39.73473684210526,good,91.9,2.474260731319555,good,84.5,2.4132432432432434,good,54.7,26.31755072463768,good,92.7,45.25387843704776,good,92.9,2.027167630057803,good,93.0,5.748598265895954,good,93.0,0.09976878612716762,good,93.0,0.5014222873900294,good,91.7,,insufficient,0.0,0.21835497835497839,good,93.1,1.59344674556213,good,90.9,189.16630177514793,good,90.9,76.88931854199683,good,84.8,28.561890331890332,good,93.1,130.91738816738817,good,93.1,0.0,good,93.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,6,88.85241197183099,good,78.9,208.1214847942755,good,77.6,69.46354251012146,good,68.6,27.62136200716846,good,77.5,70.67394636015325,good,72.5,3.5558608695652176,good,79.9,1.1677234401349073,good,82.4,34.774361158432704,good,81.5,40.18535593220339,good,81.9,2.4446114864864867,good,82.2,6.933783783783783,good,82.2,1.2151700680272106,good,81.7,0.6087263339070568,good,80.7,,insufficient,0.0,0.2635919055649241,good,82.4,1.4503339191564149,good,79.0,168.82660808435853,good,79.0,61.84302867383513,good,77.5,30.374239864864865,good,82.2,101.52814189189189,good,82.2,0.086875,good,82.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,7,44.42586357039187,good,92.6,89.98508270676692,good,89.4,33.49478873239437,good,95.4,21.823753424657536,good,98.1,42.81,good,96.8,3.318260233918129,good,91.9,2.469810040705563,good,99.1,32.506957708049114,good,98.5,24.0776933514247,good,99.1,5.649715061058345,good,99.1,16.023025780189958,good,99.1,6.298308321964529,good,98.5,1.3913369713506138,good,98.5,,insufficient,0.0,0.6157801899592945,good,99.1,1.527334235453315,good,99.3,199.16790257104196,good,99.3,67.07791610284168,good,99.3,26.960906630581867,good,99.3,79.58016238159675,good,99.3,0.009972936400541274,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
Buxar,Bihar,Bihar,2022,8,57.82681362725451,good,67.1,120.07194059405941,good,67.9,7.090105740181269,good,89.0,3.374114285714286,good,94.1,7.242220588235296,good,91.4,4.858094555873925,good,93.8,1.1940281690140846,good,95.4,23.488153409090913,good,94.6,19.369422535211267,good,95.4,3.9709732016925248,good,95.3,11.281440677966103,good,95.2,5.192713068181818,good,94.6,0.9900286944045911,good,93.7,,insufficient,0.0,0.4319322990126939,good,95.3,1.3725570776255707,good,88.3,185.95400914634143,good,88.2,73.82418539325843,good,95.7,24.70481741573034,good,95.7,65.49845505617978,good,95.7,0.011587078651685394,good,95.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2021,2022,1
