city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Chandrapur,Maharashtra,Maharashtra,2015,7,30.886627906976745,sparse,46.2,92.40479548660085,sparse,47.6,1.9248873239436621,sparse,47.7,2.2906901408450704,sparse,47.7,4.179084507042253,sparse,47.7,4.479281690140845,sparse,47.7,0.5519887165021157,sparse,47.6,66.43577464788733,sparse,47.7,5.4069534555712275,sparse,47.6,0.057983074753173484,sparse,47.6,2.0671650211565584,sparse,47.6,1.4376129943502824,sparse,47.6,,insufficient,0.0,,insufficient,0.0,1.2473483779971792,sparse,47.6,2.5328028169014085,sparse,47.7,249.38460563380283,sparse,47.7,55.40852112676057,sparse,47.7,25.333633802816898,sparse,47.7,143.3945633802817,sparse,47.7,0.01607042253521127,sparse,47.7,742.0116056338028,sparse,47.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2015,8,31.4375,sparse,45.2,98.42428785607197,sparse,44.8,5.720277777777778,sparse,41.1,3.6963122923588037,sparse,40.5,7.914257274119449,sparse,43.9,4.760178306092125,sparse,45.2,0.511484794275492,sparse,37.6,106.2754967948718,sparse,41.9,7.9280683506686485,sparse,45.2,1.1581859070464766,sparse,44.8,3.0263622754491015,sparse,44.9,2.5840092879256966,sparse,43.4,,insufficient,0.0,,insufficient,0.0,2.145494011976048,sparse,44.9,2.236127596439169,sparse,45.3,262.6663649851632,sparse,45.3,64.20921364985163,sparse,45.3,28.43658753709199,sparse,45.3,122.14081602373888,sparse,45.3,0.1107566765578635,sparse,45.3,742.175712166172,sparse,45.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2015,9,44.109540636042404,sparse,39.3,144.07610619469025,sparse,39.2,7.5778070175438605,sparse,39.6,4.4950929368029735,sparse,37.4,11.231333333333334,sparse,39.6,5.053866432337434,sparse,39.5,0.5666549912434325,sparse,39.7,19.813887915936952,sparse,39.7,15.002451838879159,sparse,39.7,0.06658493870402801,sparse,39.7,3.161436077057793,sparse,39.7,2.939334500875657,sparse,39.7,,insufficient,0.0,,insufficient,0.0,2.480910683012259,sparse,39.7,1.975288966725044,sparse,39.7,224.05663747810857,sparse,39.7,59.469544658493874,sparse,39.7,29.604395796847637,sparse,39.7,174.70176882661997,sparse,39.7,0.033450087565674254,sparse,39.7,742.3983187390543,sparse,39.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2015,10,98.61392405063292,sparse,42.5,202.20032051282053,sparse,41.9,6.426593059936908,sparse,42.6,3.8109328968903435,sparse,41.1,9.682034700315457,sparse,42.6,4.446808846761454,sparse,42.5,0.740410094637224,sparse,42.6,15.945876777251184,sparse,42.5,18.477413249211356,sparse,42.6,0.051753554502369674,sparse,42.5,1.8242654028436018,sparse,42.5,1.8864398734177215,sparse,42.5,,insufficient,0.0,,insufficient,0.0,1.6736334913112163,sparse,42.5,1.5223028391167193,sparse,42.6,185.1465141955836,sparse,42.6,54.84446372239748,sparse,42.6,29.172618296529972,sparse,42.6,159.19577287066247,sparse,42.6,0.001309148264984227,sparse,42.6,742.9455047318612,sparse,42.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2015,11,73.81566068515498,sparse,42.6,146.73409461663948,sparse,42.6,9.222947882736156,sparse,42.6,4.9162014134275624,sparse,39.3,12.738338762214983,sparse,42.6,3.7035830618892507,sparse,42.6,0.8166449511400653,sparse,42.6,20.429609120521175,sparse,42.6,25.495423452768726,sparse,42.6,0.03659609120521173,sparse,42.6,0.8492182410423452,sparse,42.6,1.0748208469055376,sparse,42.6,,insufficient,0.0,,insufficient,0.0,0.979071661237785,sparse,42.6,1.6472475570032572,sparse,42.6,186.57677524429968,sparse,42.6,51.39662866449511,sparse,42.6,29.193729641693807,sparse,42.6,152.64285016286644,sparse,42.6,0.0,sparse,42.6,743.1406677524429,sparse,42.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2015,12,68.71195652173913,sparse,49.5,173.27853260869566,sparse,49.5,12.9034375,sparse,49.5,11.760027855153204,sparse,48.3,23.79122116689281,sparse,49.5,5.560733695652174,sparse,49.5,0.9003663500678425,sparse,49.5,24.136200814111263,sparse,49.5,24.992333785617365,sparse,49.5,0.027530529172320215,sparse,49.5,0.5026051560379918,sparse,49.5,0.6998505434782608,sparse,49.5,,insufficient,0.0,,insufficient,0.0,0.6351017639077341,sparse,49.5,1.7057278911564626,sparse,49.4,195.74271117166217,sparse,49.3,49.69610884353742,sparse,49.4,28.06365122615804,sparse,49.3,125.4327111716621,sparse,49.3,0.0,sparse,49.5,743.3493596730245,sparse,49.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2016,1,69.18068965517242,sparse,48.7,141.80275862068964,sparse,48.7,13.365413223140497,sparse,48.8,25.89038781163435,sparse,48.5,39.028443526170804,sparse,48.8,5.877682758620689,sparse,48.7,0.8360881542699724,sparse,48.8,29.39254820936639,sparse,48.8,18.78077134986226,sparse,48.8,0.019917241379310346,sparse,48.7,0.31093793103448275,sparse,48.7,0.3803172413793104,sparse,48.7,,insufficient,0.0,,insufficient,0.0,0.34226206896551725,sparse,48.7,1.7466391184573002,sparse,48.8,199.5982206896552,sparse,48.7,43.960331034482756,sparse,48.7,26.44358620689655,sparse,48.7,132.718524137931,sparse,48.7,0.0,sparse,48.7,743.337848275862,sparse,48.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2016,2,72.98672566371681,sparse,48.7,147.93657817109144,sparse,48.7,10.7944395280236,sparse,48.7,18.24593423019432,sparse,48.1,28.629054652880352,sparse,48.6,6.346919642857143,sparse,48.3,0.8017751479289941,sparse,48.6,33.861955555555554,sparse,48.5,18.78670118343195,sparse,48.6,0.014159292035398232,sparse,48.7,0.24663716814159292,sparse,48.7,0.2654572271386431,sparse,48.7,,insufficient,0.0,,insufficient,0.0,0.23967551622418878,sparse,48.7,2.147581120943953,sparse,48.7,197.75578171091448,sparse,48.7,42.52672566371681,sparse,48.7,26.33532448377581,sparse,48.7,142.15706489675514,sparse,48.7,0.00196165191740413,sparse,48.7,743.1297050147492,sparse,48.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2016,3,59.3109243697479,sparse,48.0,140.42436974789916,sparse,48.0,6.255798319327732,sparse,48.0,6.835266106442577,sparse,48.0,13.090728291316525,sparse,48.0,7.612830985915494,sparse,47.7,0.6903370786516854,sparse,47.8,35.56035014005603,sparse,48.0,14.804639321074966,sparse,47.5,0.010854341736694677,sparse,48.0,0.2133473389355742,sparse,48.0,0.30135854341736695,sparse,48.0,,insufficient,0.0,,insufficient,0.0,0.27897759103641456,sparse,48.0,2.0494817927170867,sparse,48.0,196.84840336134454,sparse,48.0,41.03170868347339,sparse,48.0,28.657128851540616,sparse,48.0,170.6198599439776,sparse,48.0,0.005491573033707865,sparse,47.8,742.9114145658264,sparse,48.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
Chandrapur,Maharashtra,Maharashtra,2016,4,54.72701726844584,sparse,44.2,138.6422018348624,sparse,45.4,4.6842966360856275,sparse,45.4,4.9155520995334365,sparse,44.7,9.512935779816512,sparse,45.4,8.681620795107035,sparse,45.4,0.6719724770642203,sparse,45.4,45.5054128440367,sparse,45.4,8.807619047619047,sparse,45.2,0.007018348623853211,sparse,45.4,0.17669724770642203,sparse,45.4,0.191651376146789,sparse,45.4,,insufficient,0.0,,insufficient,0.0,0.1806880733944954,sparse,45.4,1.9874311926605503,sparse,45.4,206.4963455657492,sparse,45.4,33.87493883792049,sparse,45.4,29.243348623853212,sparse,45.4,184.58718654434253,sparse,45.4,0.004709480122324159,sparse,45.4,742.3998929663609,sparse,45.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,2
