city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Charkhi Dadri,Haryana,Haryana,2020,3,96.92034090909092,sparse,47.3,136.57957627118643,sparse,47.6,9.589197860962566,good,50.3,3.0076630434782605,sparse,49.5,3.3122321428571433,good,60.2,10.136675461741424,good,50.9,0.6166,good,60.5,63.35689839572193,good,50.3,6.610767195767195,good,50.8,5.132616407982262,good,60.6,2.471352549889135,good,60.6,41.01767810026385,good,50.9,28.802664907651717,good,50.9,11.297716186252773,good,60.6,0.936042216358839,good,50.9,210.17577836411607,good,50.9,55.37783783783784,sparse,44.8,24.994984984984992,sparse,44.8,331.56036764705874,sparse,36.6,0.0,good,60.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,4,71.6756692913386,good,70.6,138.4880859375,good,71.1,9.350994263862333,good,72.6,1.5076590909090906,good,61.1,2.2349065420560748,good,89.2,7.200803059273423,good,72.6,0.5402647975077882,good,89.2,48.38295857988167,good,70.4,7.598030592734225,good,72.6,5.065669781931464,good,89.2,1.6011682242990652,good,89.2,25.707093690248566,good,72.6,11.051472275334609,good,72.6,4.118878504672897,good,89.2,0.8914446529080675,good,74.0,228.8091181988743,good,74.0,48.11613989637305,good,53.6,29.003026819923367,good,72.5,378.03547337278104,sparse,46.9,0.0,good,89.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,5,83.69107398568019,good,56.3,190.3671101871102,good,64.7,4.72877800407332,good,66.0,1.8871719457013572,good,59.4,1.6796331738437003,good,84.3,4.903817829457364,good,69.4,0.5133545310015898,good,84.5,151.9968514851485,good,67.9,44.347596899224804,good,69.4,5.644801271860096,good,84.5,0.9076470588235294,good,84.5,18.188546511627905,good,69.4,4.8969539078156314,good,67.1,2.3184260731319553,good,84.5,1.0563461538461538,good,69.9,206.78773076923076,good,69.9,33.150574257425745,good,67.9,33.55600775193799,good,69.4,301.3854301075269,good,50.0,0.0,good,84.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,6,75.57577519379845,good,71.7,144.20952741020793,good,73.5,1.0422658610271904,sparse,46.0,3.288728813559322,sparse,49.2,1.3578343949044587,good,87.2,3.0490791896869247,good,75.4,0.4195700636942675,good,87.2,27.746016949152544,sparse,49.2,74.32135185185184,good,75.0,4.961226114649681,good,87.2,0.6252229299363058,good,87.2,12.906455223880597,good,74.4,2.0879847908745246,good,73.1,3.883996815286624,good,87.2,0.8468508287292817,good,75.4,179.64740331491714,good,75.4,52.842157598499064,good,74.0,32.638855534709194,good,74.0,331.23315789473685,sparse,47.5,0.0,good,87.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,7,53.61124767225326,good,72.2,97.47746376811594,good,74.2,3.1919614711033275,good,76.7,8.276777583187389,good,76.7,2.785739910313901,good,89.9,2.1103839441535777,good,77.0,0.42390461997019374,good,90.2,12.245253940455344,good,76.7,52.99716783216783,good,76.9,3.8374776119402987,good,90.1,0.4988805970149254,good,90.1,9.39382096069869,good,61.6,5.419001956947163,good,68.7,3.002985074626866,good,90.1,0.8564746945898778,good,77.0,168.7409947643979,good,77.0,68.51022388059702,good,72.0,31.50319266055046,good,73.3,289.0141494845361,good,52.2,0.0,good,90.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,8,36.97384792626728,good,58.3,59.21705240174672,good,61.6,5.140148936170212,good,63.2,9.20172340425532,good,63.2,5.7340374787052815,good,78.9,5.10044776119403,good,63.0,0.3370748299319728,good,79.0,7.018659574468085,good,63.2,26.888525641025645,good,62.9,2.5848526863084924,good,77.6,0.5495840554592721,good,77.6,2.4355384615384614,good,52.4,19.396052631578943,good,61.3,2.1607105719237434,good,77.6,0.8036673773987207,good,63.0,150.702,good,63.2,79.04891489361704,good,63.2,29.909936170212763,good,63.2,288.35192810457517,sparse,41.1,0.0,good,79.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,9,67.7199173553719,good,67.2,116.33662525879916,good,67.1,5.795499021526418,good,71.0,8.275264187866927,good,71.0,5.948541666666667,good,86.7,3.064618395303327,good,71.0,0.428224,good,86.8,12.782876712328768,good,71.0,49.48544031311154,good,71.0,2.5678080000000003,good,86.8,0.504288,good,86.8,0.8947553816046967,good,71.0,1.2396086105675148,good,71.0,2.7133439999999998,good,86.8,0.6556947162426614,good,71.0,208.5829745596869,good,71.0,64.53597222222223,good,70.0,30.83152777777778,good,70.0,355.1364539007093,sparse,39.2,0.005519999999999999,good,86.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,10,160.92726732673265,good,67.9,280.3103898635477,good,69.0,10.215774134790527,good,73.8,18.46790528233151,good,73.8,14.301236306729264,good,85.9,3.073182640144665,good,74.3,1.122737169517885,good,86.4,42.001876138433516,good,73.8,66.86325454545457,good,73.9,3.939012539184953,good,85.8,0.48736677115987453,good,85.8,1.115,good,73.4,1.0844871794871795,good,73.4,1.8502978056426334,good,85.8,0.41929475587703435,good,74.3,184.51781193490055,good,74.3,42.24284153005465,good,73.8,26.701730418943534,good,73.8,304.6258724832215,sparse,40.1,0.0,good,86.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,11,167.56955145118732,good,52.6,316.66985994397754,sparse,49.6,27.81707808564232,good,55.1,31.473865336658356,good,55.7,29.32049356223176,good,64.7,2.769230769230769,good,56.0,1.3740899357601715,good,64.9,76.01543283582089,sparse,46.5,46.198959390862946,good,54.7,5.752090517241379,good,64.4,2.050237068965518,good,64.4,1.5214366197183098,sparse,49.3,1.6243098591549296,sparse,49.3,2.142521551724138,good,64.4,2.8609411764705883,sparse,47.2,167.4488081395349,sparse,47.8,46.588373983739835,sparse,34.2,20.937276422764228,sparse,34.2,,insufficient,17.1,0.0,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Charkhi Dadri,Haryana,Haryana,2020,12,100.86225947521868,good,92.2,248.42899569583932,good,93.7,21.416284916201118,good,96.2,30.513970390309556,good,99.9,27.09834454912517,good,99.9,3.6917204301075266,good,100.0,1.1098924731182795,good,100.0,64.79725437415881,good,99.9,21.407452316076295,good,98.7,6.282943548387097,good,100.0,31.854825268817212,good,100.0,12.266868279569891,good,100.0,2.0215426251691477,good,99.3,1.5728360215053765,good,100.0,1.4759294436906374,good,99.1,215.4183446404342,good,99.1,67.23895635673624,good,70.8,13.62888045540797,good,70.8,196.85525423728814,sparse,39.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
