city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Chennai,Tamil Nadu,Tamil Nadu,2010,1,,insufficient,0.0,,insufficient,0.0,,insufficient,22.3,,insufficient,11.2,,insufficient,11.2,,insufficient,22.2,,insufficient,22.2,,insufficient,0.0,,insufficient,22.2,,insufficient,1.5,,insufficient,0.9,,insufficient,0.6,,insufficient,0.9,,insufficient,0.7,,insufficient,0.0,,insufficient,22.2,,insufficient,20.7,,insufficient,21.4,,insufficient,22.2,,insufficient,22.2,,insufficient,0.0,,insufficient,22.2,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,2,,insufficient,0.0,,insufficient,0.0,14.517220178665264,sparse,31.5,37.123797872340425,sparse,31.1,,insufficient,20.6,,insufficient,21.4,,insufficient,21.5,,insufficient,0.0,,insufficient,21.6,,insufficient,12.7,,insufficient,11.3,,insufficient,5.7,,insufficient,15.1,,insufficient,8.6,,insufficient,0.0,,insufficient,21.6,,insufficient,18.2,,insufficient,15.1,,insufficient,21.6,,insufficient,21.6,,insufficient,0.0,,insufficient,21.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,3,,insufficient,0.0,,insufficient,0.0,10.489851685393258,sparse,33.2,31.97692687303724,sparse,33.3,,insufficient,22.1,,insufficient,22.2,,insufficient,22.2,,insufficient,0.0,,insufficient,22.2,,insufficient,15.9,,insufficient,18.2,,insufficient,7.2,,insufficient,13.5,,insufficient,12.9,,insufficient,0.0,,insufficient,22.0,,insufficient,22.0,,insufficient,15.2,,insufficient,22.0,,insufficient,22.0,,insufficient,0.0,,insufficient,22.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,4,,insufficient,0.0,,insufficient,0.0,5.627224371373307,sparse,31.9,16.924153771760157,sparse,31.9,,insufficient,21.5,,insufficient,21.2,,insufficient,21.4,,insufficient,0.0,,insufficient,21.4,,insufficient,11.0,,insufficient,12.2,,insufficient,5.4,,insufficient,11.2,,insufficient,9.2,,insufficient,0.0,,insufficient,21.5,,insufficient,21.5,,insufficient,17.5,,insufficient,21.5,,insufficient,21.5,,insufficient,0.0,,insufficient,21.5,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,5,,insufficient,0.0,,insufficient,0.0,21.22032309322034,sparse,28.2,37.00166490486258,sparse,28.3,,insufficient,17.4,,insufficient,18.3,,insufficient,18.4,,insufficient,0.0,,insufficient,18.4,,insufficient,7.1,,insufficient,11.2,,insufficient,2.3,,insufficient,11.1,,insufficient,7.1,,insufficient,0.0,,insufficient,17.6,,insufficient,17.6,,insufficient,17.6,,insufficient,17.6,,insufficient,17.6,,insufficient,0.0,,insufficient,17.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,6,,insufficient,0.0,,insufficient,0.0,,insufficient,17.0,,insufficient,17.0,,insufficient,12.9,,insufficient,12.9,,insufficient,12.9,,insufficient,0.0,,insufficient,12.9,,insufficient,3.5,,insufficient,4.1,,insufficient,0.9,,insufficient,3.9,,insufficient,2.8,,insufficient,0.0,,insufficient,12.9,,insufficient,12.9,,insufficient,12.9,,insufficient,12.9,,insufficient,12.9,,insufficient,0.0,,insufficient,12.9,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,7,,insufficient,0.0,,insufficient,0.0,,insufficient,12.3,,insufficient,11.1,,insufficient,11.1,,insufficient,11.1,,insufficient,11.1,,insufficient,0.0,,insufficient,11.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,11.1,,insufficient,11.1,,insufficient,11.1,,insufficient,11.1,,insufficient,11.1,,insufficient,0.0,,insufficient,11.1,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,8,,insufficient,0.0,,insufficient,0.0,,insufficient,17.3,,insufficient,9.4,,insufficient,7.6,,insufficient,7.5,,insufficient,7.6,,insufficient,0.0,,insufficient,7.7,,insufficient,0.5,,insufficient,2.4,,insufficient,1.1,,insufficient,1.7,,insufficient,0.7,,insufficient,0.0,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.7,,insufficient,7.6,,insufficient,0.0,,insufficient,7.7,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,9,,insufficient,0.0,,insufficient,0.0,5.880697343453511,sparse,32.5,12.447861216730038,sparse,32.5,,insufficient,21.6,,insufficient,21.1,,insufficient,10.6,,insufficient,0.0,,insufficient,21.5,,insufficient,0.2,,insufficient,10.9,,insufficient,2.1,,insufficient,3.3,,insufficient,2.2,,insufficient,0.0,,insufficient,21.6,,insufficient,21.6,,insufficient,21.6,,insufficient,21.6,,insufficient,21.6,,insufficient,0.0,,insufficient,21.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
Chennai,Tamil Nadu,Tamil Nadu,2010,10,,insufficient,0.0,,insufficient,0.0,,insufficient,14.0,,insufficient,12.1,,insufficient,11.6,,insufficient,11.5,,insufficient,1.7,,insufficient,0.0,,insufficient,11.6,,insufficient,0.0,,insufficient,0.3,,insufficient,0.1,,insufficient,0.1,,insufficient,0.0,,insufficient,0.0,,insufficient,11.6,,insufficient,11.6,,insufficient,11.6,,insufficient,11.6,,insufficient,11.6,,insufficient,0.0,,insufficient,11.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,9
