city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Chikkaballapur,Karnataka,Karnataka,2018,6,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.0,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2018,7,12.695996758508915,good,82.9,57.01873786407767,good,83.1,7.052289719626168,good,86.3,35.544439252336446,good,86.3,24.61911214953271,good,86.3,6.815736677115987,good,85.8,0.00044781925343811394,good,68.4,10.335124610591901,good,86.3,9.879518633540373,good,86.6,0.13159468438538205,good,80.9,1.0138975155279504,good,86.6,,insufficient,0.0,,insufficient,10.5,292.6345046439629,good,86.8,62.08425696594427,good,86.8,25.986323529411766,good,86.8,704.9616563467492,good,86.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2018,8,11.257537619699043,good,98.3,51.415075239398085,good,98.3,7.395967302452315,good,98.7,34.924972752043594,good,98.7,24.59129427792916,good,98.7,6.615688949522511,good,98.5,0.0002797687861271676,good,93.0,9.721675749318802,good,98.7,8.60983651226158,good,98.7,0.13836507936507936,good,84.7,0.8084196185286103,good,98.7,,insufficient,0.0,,insufficient,0.0,293.19257493188013,good,98.7,62.565163487738424,good,98.7,26.18950953678474,good,98.7,705.751485013624,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2018,9,16.00078212290503,good,74.6,47.26409683426443,good,74.6,8.131415270018621,good,74.6,38.93039106145252,good,74.6,27.31949720670391,good,74.6,6.10249530956848,good,74.0,0.0003211007462686567,good,74.4,9.237169459962756,good,74.6,11.356118546845124,good,72.6,0.17532128514056225,good,69.2,0.9645996275605214,good,74.6,,insufficient,0.0,,insufficient,0.0,229.62664804469276,good,74.6,59.374115456238364,good,74.6,26.418938547486032,good,74.6,707.522346368715,good,74.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2018,10,28.868621659634318,good,95.6,67.05812849162011,good,96.2,8.109651324965132,good,96.4,41.71712691771269,good,96.4,28.78164574616458,good,96.4,7.54751404494382,good,95.7,0.0003372844036697248,good,73.3,8.752231520223152,good,96.4,15.659971428571428,good,94.1,0.23291545189504373,good,92.2,0.907413073713491,good,96.6,,insufficient,0.0,,insufficient,0.0,151.50880389429764,good,96.6,56.6105702364395,good,96.6,24.841515994436715,good,96.6,709.4118219749652,good,96.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2018,11,30.99890350877193,good,95.0,62.92773448773448,good,96.2,7.6789177489177485,good,96.2,40.84164502164502,good,96.2,27.96663780663781,good,96.2,6.987155297532656,good,95.7,0.00041979827089337173,good,96.4,8.531428571428572,good,96.2,15.458308383233533,good,92.8,0.22530030030030027,good,92.5,0.598590308370044,good,94.6,,insufficient,0.0,,insufficient,0.0,139.91897694524494,good,96.4,61.3071613832853,good,96.4,24.525914985590777,good,96.4,710.4669740634005,good,96.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2018,12,44.42706371191136,good,97.0,81.68337482710928,good,97.2,6.368865836791149,good,97.2,41.174052558782854,good,97.2,27.066113416320885,good,97.2,9.101853388658368,good,97.2,0.0005360921248142644,good,90.5,8.936929460580913,good,97.2,21.253290414878396,good,94.0,0.2202493074792244,good,97.0,0.5289444444444444,good,96.8,,insufficient,0.0,,insufficient,0.0,149.5767634854772,good,97.2,58.93040110650069,good,97.2,25.430573997233747,good,97.2,710.7891977869986,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2019,1,56.220785413744736,good,95.8,122.72540425531915,good,94.8,7.53555090655509,good,96.4,31.906834030683402,good,96.4,23.726541143654114,good,96.4,10.203151260504201,good,96.0,0.000580414878397711,good,94.0,8.86153627311522,good,94.5,19.19596096096096,good,89.5,0.2809776536312849,good,96.2,0.7164664804469274,good,96.2,,insufficient,0.0,,insufficient,0.0,158.756889818689,good,96.4,48.02288702928871,good,96.4,24.591534170153412,good,96.4,711.9722454672245,good,96.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2019,2,38.1788188976378,good,75.6,91.01525590551181,good,75.6,2.9329681274900397,good,74.7,16.216745562130175,good,75.4,10.569092702169623,good,75.4,9.924146825396825,good,75.0,0.00062494,good,74.4,15.922958579881659,good,75.4,18.898667992047713,good,74.9,0.20697095435684645,good,71.7,0.773663967611336,good,73.5,,insufficient,0.0,,insufficient,0.0,171.4109486166008,good,75.3,41.5199209486166,good,75.3,25.054387351778658,good,75.3,710.9250790513834,good,75.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Chikkaballapur,Karnataka,Karnataka,2019,3,41.20948484848485,good,88.7,106.20908408408408,good,89.5,6.991799100449775,good,89.7,23.788725637181408,good,89.7,18.33284857571214,good,89.7,10.559344512195123,good,88.2,0.0006650496688741722,good,81.2,19.381994002998503,good,89.7,21.34926493108729,good,87.8,0.1773587786259542,good,88.0,1.0643051359516618,good,89.0,,insufficient,0.0,,insufficient,0.0,172.29581709145427,good,89.7,33.428380809595204,good,89.7,25.71442278860569,good,89.7,709.7010194902549,good,89.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
