city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Coimbatore,Tamil Nadu,Tamil Nadu,2019,6,34.27972375690608,sparse,25.1,44.39677419354838,sparse,25.8,7.084127358490567,sparse,29.4,6.924198113207546,sparse,29.4,13.957382075471699,sparse,29.4,11.075400943396227,sparse,29.4,1.1102122641509433,sparse,29.4,12.242405660377358,sparse,29.4,23.90995283018868,sparse,29.4,0.012334905660377359,sparse,29.4,0.07804245283018867,sparse,29.4,,insufficient,0.0,,insufficient,9.9,,insufficient,0.0,,insufficient,0.0,16.190353773584906,sparse,29.4,76.33240566037736,sparse,29.4,73.38051886792452,sparse,29.4,26.814976415094343,sparse,29.4,243.92115566037734,sparse,29.4,4.489929245283019,sparse,29.4,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2019,7,30.917253634894998,sparse,41.6,41.45776357827476,sparse,42.1,10.84156334231806,sparse,49.9,13.703283783783784,sparse,49.7,24.006253369272237,sparse,49.9,9.826913746630728,sparse,49.9,1.221698113207547,sparse,49.9,28.591444622792938,sparse,41.9,20.111698113207545,sparse,49.9,0.03761455525606469,sparse,49.9,0.16954177897574124,sparse,49.9,,insufficient,0.0,0.09321752265861029,sparse,44.5,,insufficient,0.0,,insufficient,0.0,14.932916666666667,sparse,45.2,77.25528273809525,sparse,45.2,76.41260416666667,sparse,45.2,25.605595238095237,sparse,45.2,215.74616071428574,sparse,45.2,0.0,sparse,49.9,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2019,8,23.12887348353553,sparse,38.8,30.76151202749141,sparse,39.1,9.391838440111421,sparse,48.3,8.581727019498608,sparse,48.3,17.860361613351877,sparse,48.3,9.15778859527121,sparse,48.3,1.4323643949930458,sparse,48.3,25.18015544041451,sparse,38.9,18.192865090403334,sparse,48.3,0.0202086230876217,sparse,48.3,0.015535465924895688,sparse,48.3,,insufficient,0.0,0.07829614604462476,sparse,33.1,,insufficient,0.0,,insufficient,0.0,14.946662011173183,sparse,48.1,78.33998603351955,sparse,48.1,79.83263966480446,sparse,48.1,24.703547486033518,sparse,48.1,196.26067039106147,sparse,48.1,0.0,sparse,48.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2019,9,22.076873015873016,sparse,43.8,30.863380726698264,sparse,44.0,8.49276811594203,sparse,47.9,8.29368804664723,sparse,47.6,16.675571635311144,sparse,48.0,9.177641099855283,sparse,48.0,1.5913748191027497,sparse,48.0,3.142044117647059,sparse,47.2,18.48643895348837,sparse,47.8,0.013675832127351663,sparse,48.0,0.13081041968162085,sparse,48.0,,insufficient,0.0,0.06525735294117647,sparse,37.8,,insufficient,0.0,,insufficient,0.0,11.75413043478261,sparse,47.9,103.59849275362318,sparse,47.9,72.4618695652174,sparse,47.9,25.786304347826086,sparse,47.9,205.70888405797103,sparse,47.9,0.0,sparse,48.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2019,10,24.848905472636815,sparse,40.5,31.16498371335505,sparse,41.3,8.461827956989247,good,50.0,12.855623306233063,sparse,49.6,21.03491935483871,good,50.0,10.377258064516129,good,50.0,1.7808602150537636,good,50.0,5.039675036927622,sparse,45.5,30.135411605937925,sparse,49.8,0.006384408602150538,good,50.0,0.05651881720430107,good,50.0,,insufficient,0.0,0.06715827338129497,sparse,37.4,,insufficient,0.0,,insufficient,0.0,7.783978494623655,good,50.0,174.46510752688172,good,50.0,70.03819892473118,good,50.0,26.21875,good,50.0,204.64709677419356,good,50.0,0.0,good,50.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2019,11,36.150162748643766,sparse,38.4,46.33222816399287,sparse,39.0,10.807653631284916,sparse,49.7,25.022587412587416,sparse,49.7,35.54828451882845,sparse,49.8,12.228784916201116,sparse,49.7,0.6059693165969317,sparse,49.8,4.2428479999999995,sparse,43.4,34.81333798882682,sparse,49.7,0.0006276150627615063,sparse,49.8,0.005118549511854951,sparse,49.8,,insufficient,0.0,0.06531313131313131,sparse,34.4,,insufficient,0.0,,insufficient,0.0,7.162022315202232,sparse,49.8,232.28126917712694,sparse,49.8,69.90039051603905,sparse,49.8,26.295090655509064,sparse,49.8,187.45115760111574,sparse,49.8,0.0,sparse,49.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2019,12,37.20547231270359,sparse,41.3,47.448287560581576,sparse,41.6,19.715096685082873,sparse,48.7,29.848611670020116,sparse,33.4,25.252145985401462,sparse,46.0,6.614342560553633,sparse,38.8,0.7178344827586208,sparse,48.7,,insufficient,21.4,35.02398110661269,sparse,49.8,0.01358974358974359,sparse,49.8,0.004412955465587044,sparse,49.8,,insufficient,0.0,0.046973995271867616,sparse,28.4,,insufficient,0.0,,insufficient,0.0,7.534480431848853,sparse,49.8,256.46269905533063,sparse,49.8,72.9542375168691,sparse,49.8,24.9395951417004,sparse,49.8,159.12130904183533,sparse,49.8,0.0,sparse,49.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2020,1,37.61763081395349,sparse,46.2,50.36718208092485,sparse,46.5,4.669644808743169,sparse,49.2,44.814034782608694,sparse,38.6,40.46360123647604,sparse,43.5,8.270717423133235,sparse,45.9,0.2613418079096045,sparse,47.6,,insufficient,9.1,40.83790983606557,sparse,49.2,0.011106557377049181,sparse,49.2,0.00036885245901639344,sparse,49.2,,insufficient,0.0,,insufficient,14.2,,insufficient,0.0,,insufficient,0.0,7.255505464480875,sparse,49.2,247.19107923497268,sparse,49.2,64.71127049180328,sparse,49.2,26.048374316939896,sparse,49.2,203.91908469945358,sparse,49.2,0.0,sparse,49.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2020,2,39.869100609756096,sparse,47.1,52.64572298325724,sparse,47.2,0.5762232415902141,sparse,47.0,35.08312599681021,sparse,45.0,35.55113057324841,sparse,45.1,10.66576923076923,sparse,48.6,0.6052252252252251,sparse,47.8,,insufficient,5.5,53.72565088757398,sparse,48.6,0.003890532544378698,sparse,48.6,0.0006360946745562131,sparse,48.6,,insufficient,0.0,,insufficient,6.8,,insufficient,0.0,,insufficient,0.0,8.298742603550297,sparse,48.6,250.26843195266272,sparse,48.6,60.34545857988166,sparse,48.6,27.279644970414203,sparse,48.6,226.4066863905325,sparse,48.6,0.0,sparse,48.6,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Coimbatore,Tamil Nadu,Tamil Nadu,2020,3,34.802409177820266,sparse,35.1,49.09668549905838,sparse,35.7,0.6382388973966309,sparse,43.9,49.5034509202454,sparse,43.8,49.49101515151515,sparse,44.4,8.183450381679389,sparse,44.0,0.6905748865355522,sparse,44.4,,insufficient,0.4,41.53376722817764,sparse,43.9,0.0012708018154311649,sparse,44.4,0.008668683812405447,sparse,44.4,,insufficient,0.0,,insufficient,1.7,,insufficient,0.0,,insufficient,0.0,7.295960665658094,sparse,44.4,204.23246596066565,sparse,44.4,54.18936459909228,sparse,44.4,29.217186081694404,sparse,44.4,239.39682299546143,sparse,44.4,0.0,sparse,44.4,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
