city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Darbhanga,Bihar,Bihar,2021,7,17.050445103857566,sparse,45.3,140.18896321070235,sparse,40.2,0.5960869565217393,sparse,46.4,10.728472622478385,sparse,46.6,6.174755043227667,sparse,46.6,4.604840579710145,sparse,46.4,0.5140057636887608,sparse,46.6,23.519046242774568,sparse,46.5,6.713808139534884,sparse,46.2,0.5262361623616236,sparse,36.4,125.29416974169742,sparse,36.4,65.63560885608855,sparse,36.4,,insufficient,1.5,16.968413284132843,sparse,36.4,1.054139941690962,sparse,46.1,135.3673469387755,sparse,46.1,67.80377521613833,sparse,46.6,31.565244956772332,sparse,46.6,108.9478962536023,sparse,46.6,0.015446685878962536,sparse,46.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2021,8,20.95787234042553,sparse,25.3,,insufficient,22.8,0.7794009216589861,sparse,29.2,14.396820276497694,sparse,29.2,8.277603686635944,sparse,29.2,3.581317073170732,sparse,27.6,0.8006912442396313,sparse,29.2,25.43774193548387,sparse,29.2,7.759677419354838,sparse,29.2,,insufficient,21.5,,insufficient,21.5,,insufficient,21.5,,insufficient,1.6,,insufficient,21.5,0.8383653846153846,sparse,28.0,155.13216346153845,sparse,28.0,70.05544186046512,sparse,28.9,31.506930232558137,sparse,28.9,82.32267281105992,sparse,29.2,0.0069124423963133645,sparse,29.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2021,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2021,10,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2021,11,189.57053908355795,good,51.5,313.3495802469136,good,56.2,6.270418604651163,good,59.7,39.226781609195406,good,60.4,25.888528735632185,good,60.4,6.421190476190477,sparse,35.0,0.0,sparse,39.3,,insufficient,24.4,14.093723150357992,good,58.2,0.776689497716895,good,60.8,3.463698630136986,good,60.8,1.6726027397260275,good,60.8,2.5571095571095572,good,59.6,1.2979908675799086,good,60.8,0.4531506849315069,good,60.8,243.9438812785388,good,60.8,56.97906392694064,good,60.8,27.771940639269406,good,60.8,76.38356164383562,good,60.8,0.0,good,60.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2021,12,179.03556485355648,good,96.4,313.9268831168831,good,93.1,6.866323943661972,good,95.4,42.99436363636364,good,96.1,27.707537619699043,good,98.3,1.9811561561561561,good,89.5,0.0,good,97.4,24.13435506241332,good,96.9,16.195673076923075,good,97.8,0.7133229813664597,good,86.6,2.9819254658385095,good,86.6,1.6099068322981367,good,86.6,2.0104462809917356,good,81.3,1.1561645962732918,good,86.6,0.5167567567567567,good,99.5,231.5016891891892,good,99.5,55.901337837837836,good,99.5,25.627499999999998,good,99.5,51.01868918918919,good,99.5,0.00010810810810810811,good,99.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2022,1,137.78761398176292,good,88.4,238.54125827814568,good,81.2,3.6610557184750734,good,91.7,35.9882944606414,good,92.2,21.920754716981133,good,92.6,3.800670470756063,good,94.2,0.561825,good,53.8,43.07378766140603,good,93.7,20.70706919945726,good,99.1,0.6507645259938838,good,87.9,1.9084709480122326,good,87.9,0.9766820987654319,good,87.1,1.1403652173913044,good,77.3,0.631085626911315,good,87.9,0.5968249660786974,good,99.1,257.0806241519674,good,99.1,70.2070731707317,good,99.2,15.622953929539294,good,99.2,44.095081300813014,good,99.2,4.065040650406504e-05,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2022,2,98.6878338762215,good,91.4,209.06423636363635,good,81.8,1.0215443425076454,good,97.3,36.76478658536585,good,97.6,20.28579027355623,good,97.9,7.199533011272141,good,92.4,1.2729740518962076,good,74.6,10.822970451010887,good,95.7,37.51060882800609,good,97.8,0.5173234811165845,good,90.6,1.6067816091954024,good,90.6,0.6456859504132231,good,90.0,1.116385135135135,good,88.1,0.49773399014778325,good,90.6,0.6352380952380953,good,96.9,210.1585714285714,good,96.9,57.448,good,98.2,20.36854545454546,good,98.2,64.16136363636363,good,98.2,0.0006515151515151516,good,98.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2022,3,83.6611315417256,good,95.0,229.6534833091437,good,92.6,0.9183193277310925,good,96.0,30.096512605042015,good,96.0,16.684475524475523,good,96.1,10.286386554621847,good,96.0,1.1297450424929179,good,94.9,11.730708401976937,good,81.6,31.956344537815127,good,96.0,0.39849137931034484,good,93.5,1.3218965517241381,good,93.5,0.7518786127167629,good,93.0,0.794263959390863,good,79.4,0.4368534482758621,good,93.5,0.6770990237099024,good,96.4,229.46394700139473,good,96.4,45.01871687587168,good,96.4,34.5602435530086,good,93.8,77.33090655509065,good,96.4,0.0,good,96.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Darbhanga,Bihar,Bihar,2022,4,63.637419847328246,good,91.0,233.15930124223607,good,89.4,1.887915407854985,good,91.9,25.187854984894262,good,91.9,14.896757164404223,good,92.1,5.093939393939394,good,91.7,1.1057056145675266,good,91.5,21.19467275494673,good,91.2,26.48652173913043,good,92.6,0.3467220543806646,good,91.9,1.5922054380664652,good,91.9,0.7808917197452229,good,87.2,1.5137964458804523,good,86.0,0.6375377643504533,good,91.9,1.007631184407796,good,92.6,157.49323838080957,good,92.6,48.416045454545454,good,91.7,32.98094801223242,good,90.8,66.28197901049475,good,92.6,7.49625187406297e-05,good,92.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
