city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Davanagere,Karnataka,Karnataka,2021,1,16.752314814814813,sparse,43.5,79.95953560371517,sparse,43.4,19.552791411042946,sparse,43.8,11.992147239263803,sparse,43.8,31.41,sparse,44.0,13.306461538461539,sparse,43.7,0.4748012232415902,sparse,44.0,,insufficient,2.6,,insufficient,9.9,0.0,sparse,44.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,2,12.965148514851485,good,75.1,83.49775590551181,good,75.6,71.85143126177024,good,79.0,22.287534246575344,good,76.0,94.50453860640302,good,79.0,27.534606299212598,good,75.6,0.48657250470809793,good,79.0,22.04573407202216,good,53.7,,insufficient,22.5,0.0,good,79.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,3,12.79543973941368,good,82.5,105.33211538461539,good,76.9,82.19666134185303,good,84.1,19.829904153354633,good,84.1,101.9705750798722,good,84.1,11.069965694682676,good,78.4,0.5471725239616614,good,84.1,21.34444089456869,good,84.1,19.67714057507987,good,84.1,0.58512,good,84.0,,insufficient,0.0,0.9500322061191627,good,83.5,1.0560358890701467,good,82.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,4,9.121818181818183,good,62.6,78.02399590163934,good,67.8,76.7715746421268,good,67.9,14.062453987730061,good,67.9,90.81550102249489,good,67.9,14.0559509202454,good,67.9,0.32406952965235175,good,67.9,19.40633946830266,good,67.9,19.332167689161555,good,67.9,0.47484662576687114,good,67.9,,insufficient,0.0,1.2568647540983606,good,67.8,1.1915163934426227,good,67.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,5,4.993236245954692,sparse,41.5,33.099537572254334,sparse,46.5,73.2056923076923,sparse,43.7,7.422928571428572,sparse,37.6,79.22581538461539,sparse,43.7,16.06958333333333,sparse,45.2,0.5089591078066914,sparse,36.2,17.310923076923075,sparse,43.7,,insufficient,19.1,,insufficient,0.4,,insufficient,0.0,,insufficient,0.4,,insufficient,0.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,6,7.606354992076071,good,87.6,35.9752033660589,good,99.0,68.39483253588516,good,87.1,6.4829074074074065,good,75.0,73.52194267515924,good,87.2,14.431338129496401,good,96.5,0.40709259259259256,good,75.0,16.99552919708029,good,76.1,19.945671641791048,sparse,37.2,,insufficient,0.6,,insufficient,0.0,,insufficient,0.6,,insufficient,0.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,7,6.541162079510704,good,87.9,18.282486033519554,good,96.2,28.924693572496267,good,89.9,12.454343283582089,good,90.1,41.32502985074627,good,90.1,6.050197183098592,good,95.4,0.29307282415630553,good,75.7,5.637766666666667,good,80.6,18.736912751677853,sparse,40.1,,insufficient,0.3,,insufficient,0.0,,insufficient,0.3,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,8,7.985016778523489,good,80.1,18.797827426810475,good,87.2,38.86555555555555,good,73.8,10.541849816849817,good,73.4,49.30581056466302,good,73.8,5.653657770800628,good,85.6,0.33572340425531916,good,63.2,5.893461538461538,good,69.9,18.470428015564206,sparse,34.5,,insufficient,0.7,,insufficient,0.0,,insufficient,0.7,,insufficient,0.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.7,,insufficient,0.7,,insufficient,0.7,,insufficient,0.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,9,8.795630841121495,good,59.4,18.273173277661794,good,66.5,38.92594520547945,good,50.7,11.996263736263735,good,50.6,50.85046575342465,good,50.7,5.607577777777777,good,62.5,0.30033333333333334,sparse,41.7,5.142032967032968,good,50.6,,insufficient,21.8,,insufficient,1.0,,insufficient,0.0,,insufficient,1.0,,insufficient,1.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.8,,insufficient,0.8,,insufficient,0.8,,insufficient,0.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Davanagere,Karnataka,Karnataka,2021,10,22.305300813008127,good,82.7,43.45349157733537,good,87.8,29.36063664596273,good,86.6,18.504809160305342,good,88.0,47.31206106870229,good,88.0,6.097849927849927,good,93.1,0.5054136690647482,good,74.7,3.8664560862865947,good,87.2,19.637659574468085,sparse,37.9,,insufficient,3.2,,insufficient,0.0,,insufficient,3.2,,insufficient,3.2,,insufficient,0.0,,insufficient,0.0,,insufficient,2.6,,insufficient,2.6,,insufficient,2.6,,insufficient,2.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
