city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Dewas,Madhya Pradesh,Madhya Pradesh,2017,11,61.01914414414414,sparse,30.8,123.40463963963965,sparse,30.8,7.972882882882882,sparse,30.8,32.29486486486487,sparse,30.8,23.657252252252253,sparse,30.8,5.426509433962264,sparse,29.4,0.6745945945945946,sparse,30.8,11.022117117117116,sparse,30.8,36.31297297297297,sparse,30.8,0.7484234234234235,sparse,30.8,4.410135135135135,sparse,30.8,0.7220975609756097,sparse,28.5,,insufficient,0.0,,insufficient,0.0,2.2013963963963965,sparse,30.8,173.2473873873874,sparse,30.8,38.4890990990991,sparse,30.8,26.24004504504504,sparse,30.8,58.358108108108105,sparse,30.8,0.0,sparse,30.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2017,12,71.50574324324324,good,99.5,130.40890688259108,good,99.6,3.4649193548387096,good,100.0,29.763494623655916,good,100.0,18.4377688172043,good,100.0,8.049092140921408,good,99.2,0.561478494623656,good,100.0,14.27204301075269,good,100.0,72.68659029649596,good,99.7,0.7994489247311828,good,100.0,2.836075268817204,good,100.0,0.30401470588235296,good,91.4,,insufficient,0.0,,insufficient,0.0,2.8083467741935486,good,100.0,170.86772849462366,good,100.0,52.51064516129032,good,100.0,26.090631720430107,good,100.0,51.969086021505376,good,100.0,0.00024193548387096774,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,1,55.122983870967744,good,100.0,120.47502688172042,good,100.0,3.960242587601078,good,99.7,29.552473118279572,good,100.0,18.92637096774194,good,100.0,9.370471698113207,good,99.7,0.5527590847913862,good,99.9,12.583588709677418,good,100.0,85.58278225806451,good,100.0,0.7571024258760107,good,99.7,3.190323450134771,good,99.7,0.6261234177215189,good,84.9,,insufficient,0.0,,insufficient,0.0,2.270322580645161,good,100.0,185.84901881720427,good,100.0,41.38452956989247,good,100.0,25.69114247311828,good,100.0,61.753803763440864,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,2,53.70560559006212,good,95.8,132.63395638629282,good,95.5,3.7097822706065324,good,95.7,26.317465007776047,good,95.7,17.014463452566094,good,95.7,13.951648522550544,good,95.7,0.58950233281493,good,95.7,13.526454121306378,good,95.7,83.8936702954899,good,95.7,0.6645341614906832,good,95.8,2.856273291925466,good,95.8,0.8421217391304348,good,85.6,,insufficient,0.0,,insufficient,0.0,2.579332298136646,good,95.8,178.46156832298138,good,95.8,36.937639751552794,good,95.8,26.50877329192547,good,95.8,66.47878881987577,good,95.8,0.00012422360248447205,good,95.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,3,44.20183448275862,good,97.4,124.15909215955983,good,97.7,3.8324722222222225,good,96.8,19.561541666666667,good,96.8,13.51798611111111,good,96.8,15.061185495118549,good,96.4,0.6378284923928077,good,97.2,11.86308333333333,good,96.8,86.86546334716459,good,97.2,0.5698344827586207,good,97.4,2.78327221438646,good,95.3,2.1408474576271184,good,87.2,,insufficient,0.0,,insufficient,0.0,2.9632874828060523,good,97.7,203.37883081155434,good,97.7,23.389724896836317,good,97.7,26.86350068775791,good,97.7,84.72936726272353,good,97.7,0.0007290233837689133,good,97.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,4,50.030902777777776,good,100.0,154.15752777777777,good,100.0,3.518798882681564,good,99.4,20.28220362622036,good,99.6,13.647684797768479,good,99.6,13.746396648044692,good,99.4,0.7666991643454039,good,99.7,13.931324965132495,good,99.6,72.89568245125349,good,99.7,0.6135694444444444,good,100.0,2.9695422031473533,good,97.1,1.3485735512630015,good,93.5,,insufficient,0.0,,insufficient,0.0,3.2947499999999996,good,100.0,211.7525416666667,good,100.0,19.85,good,100.0,31.087972222222223,good,100.0,94.30729166666667,good,100.0,0.0005694444444444445,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,5,49.601478494623656,good,100.0,180.52173387096772,good,100.0,2.799057873485868,good,99.9,15.706276881720429,good,100.0,10.632150537634407,good,100.0,8.442987886944817,good,99.9,0.7028897849462367,good,100.0,13.724368279569893,good,100.0,65.80029569892473,good,100.0,0.3638978494623656,good,100.0,1.852715053763441,good,100.0,0.46747282608695645,good,98.9,,insufficient,0.0,,insufficient,0.0,3.830806451612904,good,100.0,214.7068817204301,good,100.0,23.43907258064516,good,100.0,32.13092741935484,good,100.0,99.32762096774194,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,6,41.67015341701534,good,99.6,118.7945048814505,good,99.6,2.751750700280112,good,99.2,14.506401673640168,good,99.6,9.955034867503485,good,99.6,6.79016806722689,good,99.2,0.7225801952580195,good,99.6,17.2697350069735,good,99.6,53.15942415730338,good,98.9,0.27702928870292887,good,99.6,1.950097629009763,good,99.6,0.5065561959654179,good,96.4,,insufficient,0.0,,insufficient,0.0,5.109721059972106,good,99.6,202.49767085076712,good,99.6,58.73594142259414,good,99.6,31.504372384937238,good,99.6,79.21675034867503,good,99.6,0.031018131101813114,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,7,24.522744565217387,good,98.9,58.40363022941971,good,99.6,3.008104838709677,good,100.0,11.230967741935483,good,100.0,8.419583333333334,good,100.0,4.7775,good,96.8,0.7015053763440862,good,100.0,14.343897849462367,good,100.0,38.86600806451612,good,100.0,0.3175537634408602,good,100.0,2.2211155913978495,good,100.0,0.3870047543581617,good,84.8,,insufficient,0.0,,insufficient,0.0,4.761814516129032,good,100.0,263.29680107526883,good,100.0,83.38330645161291,good,100.0,31.23564516129032,good,100.0,45.49360215053763,good,100.0,0.0980510752688172,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Dewas,Madhya Pradesh,Madhya Pradesh,2018,8,28.174834254143647,good,97.3,71.70947513812155,good,97.3,3.7416436464088396,good,97.3,9.967282758620689,good,97.4,8.342262068965518,good,97.4,4.0405916305916305,good,93.1,0.5084370677731674,good,97.2,12.323931034482756,good,97.4,26.872331034482762,good,97.4,0.28773793103448275,good,97.4,1.547655172413793,good,97.4,0.38999999999999996,good,81.9,,insufficient,0.0,,insufficient,0.0,4.755296551724138,good,97.4,273.3419448275862,good,97.4,84.13148965517242,good,97.4,28.45248275862069,good,97.4,44.54471724137931,good,97.4,0.04787586206896552,good,97.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
