city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Durgapur,West Bengal,West Bengal,2016,7,,insufficient,0.0,,insufficient,0.5,,insufficient,0.5,,insufficient,0.5,,insufficient,0.5,,insufficient,0.0,,insufficient,0.5,,insufficient,0.0,,insufficient,0.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2016,8,,insufficient,0.0,,insufficient,24.9,7.167074468085105,sparse,25.3,20.243244680851067,sparse,25.3,26.97195767195767,sparse,25.4,,insufficient,0.0,0.9937566137566137,sparse,25.4,,insufficient,0.0,12.244867724867726,sparse,25.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2016,9,,insufficient,0.0,63.17314540059347,sparse,46.8,9.051731517509728,good,71.4,17.919182879377434,good,71.4,26.282140077821012,good,71.4,,insufficient,23.8,0.9116153846153845,good,72.2,,insufficient,0.0,13.036617647058822,sparse,47.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.2,,insufficient,24.3,,insufficient,24.3,,insufficient,0.0,,insufficient,24.7,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2016,10,,insufficient,0.0,35.530509666080846,good,76.5,17.790934579439252,good,86.3,24.267289719626167,good,86.3,40.95920560747663,good,86.3,10.849043887147337,good,85.8,0.9391455696202531,good,84.9,,insufficient,0.0,19.91594642857143,good,75.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8607993730407525,good,85.8,70.8648753894081,good,86.3,80.45291536050158,good,85.8,,insufficient,0.0,90.04246913580248,good,87.1,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2016,11,,insufficient,0.0,105.02515486725663,good,62.8,19.249524940617576,good,58.5,28.263681710213778,good,58.5,42.47230403800476,good,58.5,10.597982062780268,good,61.9,1.2029769392033542,good,66.2,,insufficient,0.0,7.969213483146068,good,61.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8671076233183856,good,61.9,83.74156387665198,good,63.1,66.54576233183856,good,61.9,,insufficient,0.0,112.88545454545455,good,65.7,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2016,12,,insufficient,0.0,277.36965811965814,good,62.9,13.457317073170731,sparse,33.1,37.90351449275363,sparse,37.1,36.638297101449275,sparse,37.1,11.409632034632034,good,62.1,1.4385249457700648,good,62.0,,insufficient,0.0,20.68168564920273,good,59.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8274193548387097,good,62.5,92.96760683760684,good,62.9,52.15098924731183,good,62.5,,insufficient,0.0,86.55212184873949,good,64.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2017,1,,insufficient,0.0,,insufficient,23.3,,insufficient,22.2,,insufficient,22.2,,insufficient,22.2,,insufficient,23.1,,insufficient,20.7,,insufficient,0.0,,insufficient,23.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.1,,insufficient,23.1,,insufficient,23.1,,insufficient,0.0,,insufficient,23.1,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2017,2,,insufficient,0.0,281.7300340715503,good,87.4,41.73697142857142,good,52.1,71.92698005698006,good,52.2,112.80789772727272,good,52.4,17.95587734241908,good,87.4,0.9943351548269581,good,81.7,,insufficient,0.0,26.7090662139219,good,87.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2017,3,,insufficient,0.0,207.7098727735369,good,52.8,24.94854251012146,good,66.4,40.33163636363637,good,66.5,65.55475708502024,good,66.4,16.244878542510122,good,66.4,0.5455296610169492,good,63.4,,insufficient,0.0,27.177252525252527,good,66.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Durgapur,West Bengal,West Bengal,2017,4,,insufficient,0.0,124.41338600451468,good,61.5,26.738175675675677,good,61.7,35.76801801801802,good,61.7,64.31921171171172,good,61.7,14.043729603729604,good,59.6,0.7243703703703703,good,56.2,,insufficient,0.0,26.63274774774775,good,61.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
