city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Eloor,Kerala,Kerala,2019,5,9.052647058823528,sparse,27.4,24.83960591133005,sparse,27.3,8.203676470588235,sparse,27.4,16.10186274509804,sparse,27.4,23.304901960784314,sparse,27.4,,insufficient,23.1,0.7837254901960784,sparse,27.4,32.0628431372549,sparse,27.4,16.303382352941174,sparse,27.4,1.0527941176470588,sparse,27.4,198.7431862745098,sparse,27.4,78.59387254901961,sparse,27.4,35.28460784313725,sparse,27.4,0.046078431372549015,sparse,27.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,6,9.169574468085107,sparse,39.2,22.768624113475177,good,97.9,8.131495798319328,good,82.6,12.539276094276094,good,82.5,19.668084033613443,good,82.6,6.788321273516642,good,96.0,0.7655804195804196,good,99.3,31.44551260504202,good,82.6,21.306416666666664,good,100.0,1.0505694444444444,good,100.0,187.3332222222222,good,100.0,84.48006944444444,good,100.0,40.88041666666666,good,100.0,0.09869444444444445,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,7,14.221256038647345,good,83.5,24.17758226037196,good,94.0,4.562381703470032,good,85.2,10.443533123028391,good,85.2,14.59223974763407,good,85.2,5.269845288326301,good,95.6,0.7185868102288022,good,99.9,29.898391167192433,good,85.2,18.563212365591397,good,100.0,0.9888172043010753,good,100.0,202.77252688172044,good,100.0,87.69077235772357,good,99.2,44.86043243243243,good,99.5,0.15335127860026918,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,8,10.874158686730503,good,98.3,21.131365576102418,good,94.5,2.655006729475101,good,99.9,8.931938088829071,good,99.9,11.226396761133605,good,99.6,3.86517037037037,good,90.7,0.5979946164199192,good,99.9,28.405338753387532,good,99.2,17.3342934051144,good,99.9,0.959205921938089,good,99.9,186.6301214574899,good,99.6,92.68164420485175,good,99.7,40.356594885598916,good,99.9,0.3273351278600269,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,9,10.078066378066378,good,96.2,21.083629629629627,good,93.8,4.26885145482389,good,90.7,4.9093261868300155,good,90.7,8.178514548238898,good,90.7,3.756366366366366,good,92.5,0.5977607788595273,good,99.9,33.16238828967642,good,90.1,8.514102920723225,good,99.9,0.8822392211404729,good,99.9,179.59460251046025,good,99.6,89.84780250347707,good,99.9,46.316954102920725,good,99.9,0.15678720445062586,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,10,8.992612055641422,good,87.0,22.040078003120122,good,86.2,3.8798482549317144,good,88.6,4.899347496206373,good,88.6,7.7790136570561454,good,88.6,4.0307931570762054,good,86.4,0.645226586102719,good,89.0,33.08248861911988,good,88.6,9.760543806646526,good,89.0,0.8980742049469965,good,76.1,162.86487632508832,good,76.1,88.47514134275619,good,76.1,48.831797153024915,good,75.5,0.2198939929328622,good,76.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,11,9.867862266857962,good,96.8,29.082492836676217,good,96.9,3.782253313696612,good,94.3,4.972728613569322,good,94.2,7.754026548672566,good,94.2,4.869765494137353,good,82.9,0.7695251396648045,good,99.4,33.139837758112094,good,94.2,10.314650837988827,good,99.4,0.7552374301675978,good,99.4,160.33174581005588,good,99.4,80.42305865921789,good,99.4,46.15564425770309,good,99.2,0.04424581005586592,good,99.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2019,12,10.352447257383965,good,95.6,62.191206171108,good,95.8,4.832010796221323,good,99.6,7.084628879892039,good,99.6,11.648353576248313,good,99.6,10.208722222222223,good,72.6,0.8462330623306232,good,99.2,32.007891891891894,good,99.5,18.493468286099866,good,99.6,0.7124021592442646,good,99.6,129.39534412955464,good,99.6,73.51643724696356,good,99.6,31.012820512820515,good,99.6,0.016013513513513516,good,99.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2020,1,14.068994490358127,good,97.6,124.28240611961056,good,96.6,9.971371994342292,good,95.0,29.605226337448563,good,98.0,32.41249657064472,good,98.0,14.874660869565218,good,77.3,0.8611186903137789,good,98.5,20.655240054869683,good,98.0,38.54685006877579,good,97.7,0.8316801075268817,good,100.0,157.80145161290324,good,100.0,70.21469086021504,good,100.0,29.812204301075266,good,100.0,0.004233870967741936,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Eloor,Kerala,Kerala,2020,2,23.376880733944954,good,78.3,101.8668047337278,good,97.1,12.654698275862067,good,100.0,16.423721264367817,good,100.0,28.451810344827585,good,100.0,6.461470160116449,good,98.7,0.643744557329463,good,99.0,17.33956896551724,good,100.0,35.69449712643678,good,100.0,0.8211705202312138,good,99.4,165.42588150289015,good,99.4,67.8767196531792,good,99.4,29.612138728323703,good,99.4,0.006502890173410405,good,99.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
