city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Firozabad,Uttar Pradesh,Uttar Pradesh,2021,7,,insufficient,20.4,,insufficient,20.0,,insufficient,23.0,,insufficient,23.0,,insufficient,23.1,,insufficient,23.0,,insufficient,23.1,,insufficient,23.0,,insufficient,20.6,,insufficient,9.1,,insufficient,0.0,,insufficient,8.9,,insufficient,8.8,,insufficient,0.0,,insufficient,0.0,,insufficient,23.0,,insufficient,23.0,,insufficient,23.0,,insufficient,23.0,,insufficient,14.0,,insufficient,23.1,,insufficient,23.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2021,8,25.391088957055217,sparse,43.8,53.32088825214899,sparse,46.9,15.136397849462366,good,50.0,13.764879032258063,good,50.0,34.77915322580645,good,50.0,2.7416397849462366,good,50.0,0.4366129032258064,good,50.0,52.86229838709678,good,50.0,8.315450643776824,sparse,47.0,2.168130968622101,sparse,49.3,,insufficient,0.0,1.0483720930232558,sparse,46.2,1.091469329529244,sparse,47.1,,insufficient,0.0,,insufficient,0.0,1.0873521505376345,good,50.0,170.3379435483871,good,50.0,78.04908602150537,good,50.0,30.198696236559144,good,50.0,257.91463302752294,sparse,29.3,0.041384408602150535,good,50.0,736.2988709677419,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2021,9,17.74324840764331,sparse,43.6,34.76370481927711,sparse,46.1,2.9950213371266003,sparse,48.8,7.685742574257425,sparse,49.1,11.437033898305085,sparse,49.2,3.6684724186704387,sparse,49.1,0.4215395480225989,sparse,49.2,37.60277227722772,sparse,49.1,12.917724039829302,sparse,48.8,3.0891384180790964,sparse,49.2,,insufficient,0.0,0.8258505154639177,sparse,26.9,0.8320646766169154,sparse,27.9,,insufficient,0.0,,insufficient,0.0,1.1812164073550213,sparse,49.1,116.15463932107497,sparse,49.1,81.69837340876944,sparse,49.1,28.96485148514851,sparse,49.1,237.91766917293236,sparse,27.7,0.03676553672316384,sparse,49.2,738.2957001414428,sparse,49.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2021,10,55.06049180327869,sparse,49.2,112.28042075736326,sparse,47.9,18.80291666666667,good,50.0,35.23350806451613,good,50.0,60.62434139784946,good,50.0,7.476370967741936,good,50.0,0.783239247311828,good,50.0,63.70342741935484,good,50.0,29.82528901734104,sparse,46.5,2.8695211267605636,sparse,47.7,,insufficient,0.0,,insufficient,3.6,,insufficient,5.1,,insufficient,0.0,,insufficient,0.0,0.7184543010752688,good,50.0,177.98831989247313,good,50.0,64.22361559139786,good,50.0,27.385577956989252,good,50.0,303.57978609625667,sparse,25.1,0.02403225806451613,good,50.0,741.6593817204302,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2021,11,177.79198047419806,sparse,49.8,282.88588401697314,sparse,49.1,19.55048611111111,good,50.0,46.25773611111111,good,50.0,72.14311111111112,good,50.0,10.205238095238094,sparse,49.6,1.5178511235955057,sparse,49.4,101.71330555555554,good,50.0,24.2241975308642,sparse,45.0,3.6164926590538333,sparse,42.6,,insufficient,0.0,0.6422282608695652,sparse,25.6,0.6102557544757035,sparse,27.2,,insufficient,0.0,,insufficient,0.0,0.4842222222222222,good,50.0,153.71894444444442,good,50.0,63.30675,good,50.0,20.260666666666665,good,50.0,169.70374396135264,sparse,28.7,0.01051388888888889,good,50.0,744.8385416666666,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2021,12,129.8532538569425,sparse,47.9,187.14859097127223,sparse,49.1,20.372810810810808,sparse,49.7,34.99032432432433,sparse,49.7,62.50410256410257,sparse,49.8,10.409081081081082,sparse,49.7,0.8463562753036437,sparse,49.8,55.14232432432432,sparse,49.7,25.04415503875969,sparse,43.3,1.465978407557355,sparse,49.8,,insufficient,0.0,,insufficient,13.0,,insufficient,14.9,,insufficient,0.0,,insufficient,0.0,0.5719459459459459,sparse,49.7,161.58445945945945,sparse,49.7,71.9264864864865,sparse,49.7,15.95472972972973,sparse,49.7,75.9042914979757,sparse,49.8,0.007948717948717949,sparse,49.8,747.6073513513513,sparse,49.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2022,1,100.63938271604938,sparse,49.0,131.18735172413793,sparse,48.7,17.945529891304346,sparse,49.5,23.526739130434784,sparse,49.5,48.158861788617884,sparse,49.6,11.939578804347825,sparse,49.5,0.6279810298102981,sparse,49.6,10.591779891304347,sparse,49.5,19.634341192787794,sparse,48.5,0.0,sparse,49.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7184782608695651,sparse,49.5,170.91476902173915,sparse,49.5,83.03224184782609,sparse,49.5,12.905978260869567,sparse,49.5,71.32947154471545,sparse,49.6,0.026300813008130083,sparse,49.6,746.4146603260868,sparse,49.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2022,2,65.98903329752955,good,69.3,110.40574786324787,good,69.6,13.299515640766902,good,73.7,29.826266397578205,good,73.7,48.34745711402624,good,73.7,11.861917255297678,good,73.7,0.5576387487386478,good,73.7,25.468779011099898,good,73.7,29.131492063492065,good,70.3,0.49404728789986097,good,53.5,,insufficient,0.0,,insufficient,3.5,,insufficient,3.5,,insufficient,0.0,,insufficient,0.0,1.236531850353893,good,73.6,157.39978766430735,good,73.6,67.13220238095238,good,50.0,17.83870576339737,good,73.6,152.4115640766902,good,73.7,0.044752774974772966,good,73.7,744.2744047619047,good,50.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2022,3,66.04752389226759,good,77.4,113.29519548218941,good,77.4,13.362141014617368,good,78.2,34.33901117798796,good,78.2,52.82248927038627,good,78.3,15.566242476354256,good,78.2,1.022008583690987,good,78.3,27.816268271711092,good,78.2,48.68263963963964,good,74.6,0.1390348525469169,good,50.1,,insufficient,0.0,,insufficient,0.1,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,1.0939896818572656,good,78.2,166.86218400687875,good,78.2,48.2887550744249,sparse,49.7,25.41895098882201,good,78.2,185.77853218884118,good,78.3,0.15449785407725322,good,78.3,741.8700947225981,sparse,49.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
Firozabad,Uttar Pradesh,Uttar Pradesh,2022,4,56.86665722379603,sparse,49.0,108.8606534090909,sparse,48.9,15.500432357043238,sparse,49.8,47.50439330543933,sparse,49.8,67.41258019525802,sparse,49.8,27.614323570432358,sparse,49.8,0.7876987447698744,sparse,49.8,14.332412831241284,sparse,49.8,74.42659854014599,sparse,47.6,0.0,sparse,49.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.696652719665272,sparse,49.8,180.73511854951187,sparse,49.8,24.74994421199442,sparse,49.8,33.821422594142255,sparse,49.8,190.4363737796374,sparse,49.8,0.004937238493723849,sparse,49.8,738.8363598326359,sparse,49.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,2
