city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Gadag,Karnataka,Karnataka,2021,1,30.808776699029124,good,69.2,41.64191287878788,good,71.0,22.786265560165976,good,97.2,12.249183955739973,good,97.2,35.02951590594744,good,97.2,12.348624113475175,good,94.8,0.34863070539419083,good,97.2,8.52197786998617,good,97.2,34.34284722222222,good,96.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.3140525587828495,good,97.2,270.73323651452284,good,97.2,56.02676348547719,good,97.2,23.43223926380368,good,87.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,2,34.68787114845939,good,53.1,46.06767705382437,good,52.5,4.232244897959184,good,65.6,13.04114832535885,good,62.2,17.16081447963801,good,65.8,19.89384236453202,good,60.4,0.34092970521541954,good,65.6,13.173122171945703,good,65.8,52.04967418546366,good,59.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.413865979381443,good,57.7,259.45353092783506,good,57.7,43.369690721649484,good,57.7,23.463891752577318,good,57.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,3,81.28877551020409,sparse,26.3,74.87860962566845,sparse,25.1,35.57167487684729,sparse,27.3,30.278390243902436,sparse,27.6,65.56838235294119,sparse,27.4,,insufficient,12.6,0.4978743961352657,sparse,27.8,50.846584158415844,sparse,27.2,,insufficient,24.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.242146341463415,sparse,27.6,224.64960975609756,sparse,27.6,41.63853658536585,sparse,27.6,27.843853658536585,sparse,27.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,4,55.65339933993399,good,84.2,44.00790940766551,good,79.7,9.625458392101553,good,98.5,16.101537376586744,good,98.5,25.492961918194645,good,98.5,73.99802272727274,good,61.1,0.2867705382436261,good,98.1,28.767418899858953,good,98.5,35.16450146627567,good,94.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.2465317919075143,good,96.1,191.2135549132948,good,96.1,51.84982658959538,good,96.1,28.326517341040457,good,96.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,5,11.9894921875,good,68.8,16.656408839779004,good,73.0,10.740661971830987,good,95.4,10.625619718309858,good,95.4,21.36543661971831,good,95.4,57.912705479452065,sparse,39.2,0.2438668555240793,good,94.9,10.871690140845072,good,95.4,23.149577464788734,good,76.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.4982463768115943,good,92.7,136.97466666666665,good,92.7,66.33302898550724,good,92.7,26.712492753623188,good,92.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,6,10.344520547945205,good,60.8,12.942385892116182,good,66.9,14.327429467084638,good,88.6,8.720485893416928,good,88.6,23.0480407523511,good,88.6,44.9121645021645,sparse,32.1,0.19880503144654088,good,88.3,8.902147335423198,good,88.6,6.559323467230444,good,65.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.9262063492063493,good,87.5,172.06150793650792,good,87.5,74.99385714285714,good,87.5,24.594292527821942,good,87.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,7,6.630369718309859,good,76.3,11.411128472222222,good,77.4,16.19432918395574,good,97.2,8.682641770401107,good,97.2,24.946513888888887,good,96.8,36.363886986301374,good,78.5,0.2782695035460993,good,94.8,10.577105263157895,good,97.0,11.71681654676259,good,74.7,0.08339425587467363,good,51.5,,insufficient,0.0,1.156657963446475,good,51.5,1.005195822454308,good,51.5,,insufficient,0.0,,insufficient,0.0,3.1106886657101867,good,93.7,152.10572453371594,good,93.7,79.97921090387375,good,93.7,23.7657962697274,good,93.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,8,10.153932748538013,good,91.9,14.516936416184972,good,93.0,19.681695827725438,good,99.9,7.042261103633916,good,99.9,26.72372812920592,good,99.9,15.269880341880343,good,78.6,0.35998648648648646,good,99.5,6.467967698519515,good,99.9,11.515885558583106,good,98.7,0.05778082191780822,good,98.1,,insufficient,0.0,0.8432191780821918,good,98.1,0.7238904109589042,good,98.1,,insufficient,0.0,,insufficient,0.0,2.6205357142857144,good,97.8,197.82464285714286,good,97.8,78.58478021978023,good,97.8,23.811373626373626,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,9,8.422034700315457,good,88.1,16.301708463949844,good,88.6,20.118937784522,good,91.5,7.034871016691958,good,91.5,27.154112291350533,good,91.5,3.6346932006633494,good,83.8,0.381350531107739,good,91.5,5.948285280728377,good,91.5,12.940910470409712,good,91.5,0.031760242792109254,good,91.5,,insufficient,0.0,0.6943835616438356,good,50.7,0.5869421487603306,good,50.4,,insufficient,0.0,,insufficient,0.0,2.6141578148710165,good,91.5,112.5934597875569,good,91.5,79.56230652503794,good,91.5,23.590182094081943,good,91.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Gadag,Karnataka,Karnataka,2021,10,,insufficient,10.5,,insufficient,9.9,,insufficient,10.2,,insufficient,10.2,,insufficient,10.2,,insufficient,11.2,,insufficient,10.1,,insufficient,10.1,,insufficient,10.2,,insufficient,1.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,10.2,,insufficient,10.2,,insufficient,10.2,,insufficient,10.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
