city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Gandhinagar,Gujarat,Gujarat,2019,2,51.201267123287664,sparse,29.0,119.86015437392795,sparse,28.9,11.807035775127769,sparse,29.1,35.188707482993195,sparse,29.2,46.98998299319728,sparse,29.2,5.303015332197615,sparse,29.1,0.9848809523809524,sparse,29.2,22.649965986394555,sparse,29.2,31.69418367346939,sparse,29.2,1.5962074829931974,sparse,29.2,25.375663265306123,sparse,29.2,1.2381292517006803,sparse,29.2,1.4002044293015334,sparse,29.1,,insufficient,0.0,1.4006292517006804,sparse,29.2,0.8797448979591838,sparse,29.2,180.1577683134583,sparse,29.1,41.3165306122449,sparse,29.2,,insufficient,0.0,154.5686224489796,sparse,29.2,0.0,sparse,29.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,3,,insufficient,12.9,,insufficient,12.9,,insufficient,13.0,,insufficient,12.8,,insufficient,13.0,,insufficient,13.0,,insufficient,13.0,,insufficient,12.8,,insufficient,11.4,,insufficient,12.9,,insufficient,12.9,,insufficient,12.7,,insufficient,12.7,,insufficient,0.0,,insufficient,12.8,,insufficient,12.6,,insufficient,12.9,,insufficient,12.9,,insufficient,0.0,,insufficient,12.9,,insufficient,13.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,4,,insufficient,18.4,,insufficient,18.3,,insufficient,18.5,,insufficient,18.5,,insufficient,18.5,,insufficient,18.6,,insufficient,18.6,,insufficient,18.3,,insufficient,17.9,,insufficient,14.5,,insufficient,14.3,,insufficient,14.4,,insufficient,14.4,,insufficient,0.0,,insufficient,14.4,,insufficient,18.7,,insufficient,18.6,,insufficient,18.5,,insufficient,0.0,,insufficient,18.5,,insufficient,1.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,5,36.53744884038199,sparse,32.8,116.23888130968623,sparse,32.8,3.607896174863388,sparse,32.8,4.958306010928962,sparse,32.8,8.563442622950818,sparse,32.8,12.522864938608459,sparse,32.8,0.4861307901907357,sparse,32.9,8.515519125683062,sparse,32.8,24.60179415855355,sparse,32.2,2.352081632653061,sparse,32.9,13.781034013605442,sparse,32.9,1.0342040816326532,sparse,32.9,1.7667074829931972,sparse,32.9,,insufficient,0.0,0.9038639455782314,sparse,32.9,1.5904032258064515,sparse,33.3,219.74192204301073,sparse,33.3,52.975107526881715,sparse,33.3,,insufficient,0.0,223.99987903225806,sparse,33.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,6,31.73015536723164,sparse,32.8,85.0269971671388,sparse,32.7,5.692372881355932,sparse,32.8,6.3031779661016945,sparse,32.8,11.996511299435026,sparse,32.8,6.4370529327610875,sparse,32.4,0.2969787234042553,sparse,32.6,7.4793361581920905,sparse,32.8,,insufficient,15.6,2.230805084745763,sparse,32.8,13.070112994350282,sparse,32.8,1.1750355618776671,sparse,32.5,1.9121751412429382,sparse,32.8,,insufficient,0.0,1.0249858757062147,sparse,32.8,1.6566807909604522,sparse,32.8,197.52765536723166,sparse,32.8,56.29275423728814,sparse,32.8,,insufficient,0.0,187.0258615819209,sparse,32.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,7,27.297863945578232,sparse,32.9,68.00536152796725,sparse,32.8,5.778457374830852,sparse,33.1,6.321853856562924,sparse,33.1,12.964424898511501,sparse,33.1,2.951034946236559,sparse,33.3,0.42629032258064514,sparse,33.3,6.084235453315291,sparse,33.1,34.27279352226721,sparse,33.2,1.1724797843665768,sparse,33.2,22.41797843665768,sparse,33.2,1.0911725067385445,sparse,33.2,1.6990161725067388,sparse,33.2,,insufficient,0.0,1.0244070080862533,sparse,33.2,1.6757795698924731,sparse,33.3,199.8991935483871,sparse,33.3,57.27450268817205,sparse,33.3,,insufficient,0.0,159.88438172043013,sparse,33.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,8,25.221531165311657,sparse,33.1,58.554536784741146,sparse,32.9,8.572092307692309,sparse,29.1,12.996676923076924,sparse,29.1,21.418307692307692,sparse,29.1,3.2760483870967745,sparse,33.3,0.47719086021505375,sparse,33.3,8.482984615384616,sparse,29.1,30.21851551956815,sparse,33.2,1.2840994623655912,sparse,33.3,6.488131720430108,sparse,33.3,0.4194623655913979,sparse,33.3,0.8242338709677419,sparse,33.3,,insufficient,0.0,0.42899193548387093,sparse,33.3,1.2929032258064515,sparse,33.3,209.03612903225806,sparse,33.3,58.534260752688176,sparse,33.3,,insufficient,0.0,132.39180107526883,sparse,33.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,9,22.51504411764706,sparse,31.5,43.11955395683453,sparse,32.2,6.9678382147838205,sparse,33.2,13.495188284518827,sparse,33.2,20.475090655509064,sparse,33.2,4.186736111111111,sparse,33.3,0.6484166666666666,sparse,33.3,9.368980446927376,sparse,33.1,24.082708333333336,sparse,33.3,2.208995815899582,sparse,33.2,14.215271966527194,sparse,33.2,1.2862064156206416,sparse,33.2,3.1623849372384942,sparse,33.2,,insufficient,0.0,1.1361645746164573,sparse,33.2,1.0084305555555557,sparse,33.3,165.49456944444444,sparse,33.3,58.964625,sparse,33.3,,insufficient,0.0,108.32783333333334,sparse,33.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,10,33.605909712722294,sparse,32.8,90.52195355191257,sparse,32.8,8.681674074074074,sparse,30.2,23.522103703703703,sparse,30.2,31.698355555555555,sparse,30.2,4.982775510204082,sparse,32.9,1.1122282608695653,sparse,33.0,16.064260355029585,sparse,30.3,28.93044476327116,sparse,31.2,4.995712290502793,sparse,32.1,19.484064245810057,sparse,32.1,3.7300139664804464,sparse,32.1,10.511913407821227,sparse,32.1,,insufficient,0.0,3.9356703910614526,sparse,32.1,0.7976086956521738,sparse,33.0,109.31116847826085,sparse,33.0,53.72834924965893,sparse,32.8,,insufficient,0.0,107.85282608695651,sparse,33.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Gandhinagar,Gujarat,Gujarat,2019,11,46.856277777777784,sparse,33.3,85.37455307262569,sparse,33.1,11.688313856427378,sparse,27.7,45.79617696160266,sparse,27.7,57.444056761268776,sparse,27.7,7.375638888888889,sparse,33.3,0.7991249999999999,sparse,33.3,24.205509181969948,sparse,27.7,27.030724233983285,sparse,33.2,4.633894297635606,sparse,33.3,19.550445682451254,sparse,33.2,2.6742280945758,sparse,33.3,6.964506258692628,sparse,33.3,,insufficient,0.0,2.807051460361614,sparse,33.3,0.6649305555555556,sparse,33.3,105.50886111111112,sparse,33.3,53.80408333333334,sparse,33.3,,insufficient,0.0,133.82470833333335,sparse,33.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
