city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Gaya,Bihar,Bihar,2016,3,50.70711143695015,sparse,30.6,,insufficient,0.0,10.746323319027182,sparse,31.3,16.35452722063037,sparse,31.3,25.681451831750337,sparse,33.0,2.6912034383954153,sparse,31.3,0.9294046008119079,sparse,33.1,,insufficient,0.0,6.145307167235495,sparse,26.3,0.3191089108910891,sparse,31.7,0.7771919770773639,sparse,31.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.43401146131805163,sparse,31.3,0.8982297297297297,sparse,33.2,102.01523605150214,sparse,31.3,51.970600858369096,sparse,31.3,23.386162162162165,sparse,33.2,230.5690945945946,sparse,33.2,0.031030042918454938,sparse,31.3,746.7628338278932,sparse,30.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,4,44.78797256097562,sparse,30.4,,insufficient,0.0,9.26168992248062,sparse,29.9,18.032476780185757,sparse,29.9,23.994632768361583,sparse,32.8,2.7543234836702957,sparse,29.8,0.7334555712270804,sparse,32.8,,insufficient,0.0,,insufficient,23.9,0.280849358974359,sparse,28.9,0.6690998363338789,sparse,28.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.428657937806874,sparse,28.3,1.088188202247191,sparse,33.0,114.48348348348348,sparse,30.8,38.32397897897898,sparse,30.8,31.844550561797753,sparse,33.0,260.3419101123595,sparse,33.0,0.0,sparse,28.4,747.2399537750385,sparse,30.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,5,131.14415545590433,sparse,30.0,,insufficient,0.0,5.4365976331360955,sparse,30.3,18.194199706314244,sparse,30.5,15.297573529411762,sparse,30.5,5.958584202682563,sparse,30.1,0.645837037037037,sparse,30.2,,insufficient,0.0,23.151834319526625,sparse,30.3,,insufficient,0.9,,insufficient,0.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8147205882352941,sparse,30.5,204.8306323529412,sparse,30.5,28.678102941176473,sparse,30.5,37.47439705882353,sparse,30.5,263.9976843657817,sparse,30.4,,insufficient,0.0,765.2550588235295,sparse,30.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,6,,insufficient,23.6,,insufficient,0.0,,insufficient,23.6,,insufficient,23.6,,insufficient,23.6,,insufficient,23.3,,insufficient,23.4,,insufficient,0.0,,insufficient,23.6,,insufficient,0.3,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.4,,insufficient,23.4,,insufficient,23.4,,insufficient,23.4,,insufficient,23.5,,insufficient,0.0,,insufficient,23.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,7,,insufficient,7.7,,insufficient,0.0,,insufficient,4.7,,insufficient,4.7,,insufficient,4.7,,insufficient,4.7,,insufficient,4.1,,insufficient,0.0,,insufficient,4.3,,insufficient,4.7,,insufficient,4.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,4.7,,insufficient,7.6,,insufficient,4.7,,insufficient,4.7,,insufficient,4.7,,insufficient,4.7,,insufficient,4.7,,insufficient,4.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,8,25.564818731117825,sparse,29.7,,insufficient,0.0,13.134406015037593,sparse,29.8,34.90486725663717,sparse,30.4,48.23035450516987,sparse,30.3,2.063448795180723,sparse,29.7,0.5957911908646003,sparse,27.5,,insufficient,0.0,7.711818181818182,sparse,29.6,0.24645066273932253,sparse,30.4,0.28366715758468336,sparse,30.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.15714285714285714,sparse,30.4,0.9301914580265096,sparse,30.4,77.55663716814158,sparse,30.4,77.30514749262537,sparse,30.4,33.42832460732984,sparse,25.7,138.5767010309278,sparse,30.4,0.07908419497784341,sparse,30.3,745.0680060882801,sparse,29.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,9,,insufficient,14.8,,insufficient,0.0,13.525477888730386,sparse,32.5,13.332639087018546,sparse,32.5,,insufficient,24.1,2.131862464183381,sparse,32.3,0.6549999999999999,sparse,31.4,,insufficient,0.0,6.3124256651017205,sparse,29.6,0.20282453637660486,sparse,32.5,0.312111269614836,sparse,32.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.1781740370898716,sparse,32.5,0.7477706552706552,sparse,32.5,82.17867521367522,sparse,32.5,79.88659544159545,sparse,32.5,33.09051282051282,sparse,32.5,117.22047008547007,sparse,32.5,0.06047075606276748,sparse,32.5,745.4767117117117,sparse,30.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,10,,insufficient,13.2,,insufficient,0.0,13.113637660485022,sparse,31.4,8.8549,sparse,31.4,,insufficient,0.0,2.2591416309012873,sparse,31.3,1.06725,sparse,26.9,,insufficient,0.0,8.160488505747127,sparse,31.2,0.18985734664764622,sparse,31.4,0.4086162624821683,sparse,31.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.23865905848787444,sparse,31.4,0.5625355113636363,sparse,31.5,100.32796875,sparse,31.5,73.36595170454547,sparse,31.5,32.41730113636363,sparse,31.5,119.93860795454545,sparse,31.5,0.015533428165007112,sparse,31.5,745.8919744318183,sparse,31.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,11,228.1491,sparse,32.4,,insufficient,0.0,39.82435825105783,sparse,32.8,37.308772919605076,sparse,32.8,80.15824921135646,sparse,29.4,2.2469526627218936,sparse,31.3,1.673299711815562,sparse,32.1,,insufficient,0.0,5.5945238095238095,sparse,31.1,0.17190409026798306,sparse,32.8,0.4797320169252468,sparse,32.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.2720733427362482,sparse,32.8,0.4541396332863188,sparse,32.8,113.25857545839209,sparse,32.8,67.1142736248237,sparse,32.8,30.373385049365307,sparse,32.8,53.80923836389281,sparse,32.8,0.0,sparse,32.7,746.46186646434,sparse,30.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
Gaya,Bihar,Bihar,2016,12,251.25011678832118,sparse,30.7,,insufficient,0.0,31.943548387096776,sparse,31.9,26.862808988764044,sparse,31.9,60.35949852507375,sparse,30.4,2.9381791044776118,sparse,30.0,1.5119799139167864,sparse,31.2,,insufficient,0.0,4.083234880450071,sparse,31.9,0.18229050279329612,sparse,32.1,0.4565502793296089,sparse,32.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.23655027932960895,sparse,32.1,0.5009818941504178,sparse,32.2,114.01418181818181,sparse,32.0,77.63951048951049,sparse,32.0,24.56089136490251,sparse,32.2,50.09023676880223,sparse,32.2,0.0,sparse,31.9,746.7543378995433,sparse,29.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,3
