city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2017,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,4.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2017,10,,insufficient,4.2,,insufficient,4.2,,insufficient,4.3,,insufficient,4.2,,insufficient,4.3,,insufficient,3.7,,insufficient,4.3,,insufficient,22.6,,insufficient,3.9,,insufficient,4.3,,insufficient,4.0,,insufficient,0.0,,insufficient,0.0,,insufficient,4.3,,insufficient,1.6,,insufficient,3.0,,insufficient,1.6,,insufficient,4.3,,insufficient,1.6,,insufficient,4.3,,insufficient,1.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2017,11,,insufficient,24.1,,insufficient,20.6,,insufficient,24.4,,insufficient,24.3,,insufficient,24.7,,insufficient,23.1,,insufficient,24.8,,insufficient,24.1,,insufficient,22.8,,insufficient,24.8,,insufficient,22.3,,insufficient,0.0,,insufficient,0.0,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2017,12,303.9161559139785,sparse,25.0,,insufficient,24.4,,insufficient,24.7,,insufficient,24.6,,insufficient,24.9,,insufficient,24.3,2.9000672043010747,sparse,25.0,,insufficient,24.4,,insufficient,23.7,0.6611962365591397,sparse,25.0,8.976008064516128,sparse,25.0,,insufficient,0.0,,insufficient,0.0,2.56122311827957,sparse,25.0,1.0225672043010752,sparse,25.0,225.4326612903226,sparse,25.0,63.76310483870968,sparse,25.0,24.94788978494624,sparse,25.0,63.48315860215054,sparse,25.0,,insufficient,25.0,748.787190860215,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2018,1,292.00418010752685,sparse,25.0,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,25.0,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.8,0.4725537634408602,sparse,25.0,6.361586021505376,sparse,25.0,,insufficient,0.0,,insufficient,0.0,1.4238172043010753,sparse,25.0,1.1447983870967742,sparse,25.0,220.97307795698921,sparse,25.0,71.02372311827956,sparse,25.0,23.93356182795699,sparse,25.0,64.8215994623656,sparse,25.0,0.0004973118279569893,sparse,25.0,746.795806451613,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2018,2,157.79099702380952,sparse,25.0,,insufficient,23.7,35.842931547619045,sparse,25.0,82.14900297619049,sparse,25.0,72.83702380952381,sparse,25.0,,insufficient,24.8,1.292827380952381,sparse,25.0,48.51730654761904,sparse,25.0,,insufficient,24.7,0.27206845238095234,sparse,25.0,5.295758928571429,sparse,25.0,,insufficient,0.0,,insufficient,0.0,0.5564732142857143,sparse,25.0,1.3848363095238094,sparse,25.0,223.2712797619048,sparse,25.0,59.020625,sparse,25.0,26.275171130952383,sparse,25.0,68.81741071428571,sparse,25.0,0.0,sparse,25.0,746.4358482142858,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2018,3,,insufficient,25.0,,insufficient,25.0,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.8,,insufficient,24.9,,insufficient,24.9,,insufficient,24.3,,insufficient,25.0,,insufficient,25.0,,insufficient,0.0,,insufficient,0.0,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2018,4,,insufficient,24.8,,insufficient,24.7,,insufficient,24.7,,insufficient,24.7,,insufficient,24.7,,insufficient,24.6,,insufficient,24.7,,insufficient,24.7,,insufficient,24.4,,insufficient,24.7,,insufficient,24.7,,insufficient,0.0,,insufficient,0.0,,insufficient,24.7,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2018,5,,insufficient,24.9,,insufficient,24.3,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.5,,insufficient,24.8,,insufficient,24.8,,insufficient,24.6,,insufficient,24.9,,insufficient,24.9,,insufficient,0.0,,insufficient,0.0,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
Ghaziabad,Uttar Pradesh,Uttar Pradesh,2018,6,,insufficient,24.1,,insufficient,22.8,,insufficient,24.0,,insufficient,24.0,,insufficient,24.1,,insufficient,24.0,,insufficient,24.1,,insufficient,24.0,,insufficient,21.6,,insufficient,24.0,,insufficient,24.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.0,,insufficient,24.1,,insufficient,24.1,,insufficient,24.1,,insufficient,24.1,,insufficient,24.1,,insufficient,24.1,,insufficient,24.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,4
