city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,1,,insufficient,14.1,,insufficient,14.3,,insufficient,4.6,,insufficient,4.6,,insufficient,11.4,,insufficient,14.4,,insufficient,14.4,,insufficient,3.7,,insufficient,7.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,2,94.53521348314607,sparse,48.0,166.1298291233284,sparse,48.3,,insufficient,21.8,,insufficient,21.8,56.88990661478599,sparse,46.2,16.36446256486286,sparse,48.5,0.7987463343108503,sparse,49.0,,insufficient,21.8,,insufficient,24.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.2,,insufficient,24.2,,insufficient,24.2,,insufficient,24.2,,insufficient,24.2,,insufficient,24.2,,insufficient,24.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,3,42.596718963165074,sparse,49.3,97.13609938733832,sparse,49.4,,insufficient,24.9,,insufficient,24.9,22.640656292286874,sparse,49.7,21.810841819416158,sparse,49.5,0.6962381596752368,sparse,49.7,,insufficient,24.9,,insufficient,24.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,4,36.34297353760445,sparse,49.9,91.96156373193166,sparse,26.4,0.8200972222222223,sparse,25.0,9.842611111111111,sparse,25.0,11.012569444444447,good,50.0,16.317319444444443,good,50.0,0.5092777777777777,good,50.0,16.647513888888888,sparse,25.0,,insufficient,25.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8020833333333334,sparse,25.0,,insufficient,24.8,40.505208333333336,sparse,25.0,30.571416666666664,sparse,25.0,344.3618055555556,sparse,25.0,0.02736111111111111,sparse,25.0,736.0503472222222,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,5,31.919963099630998,sparse,27.3,,insufficient,25.0,,insufficient,24.9,,insufficient,25.0,13.726956521739131,sparse,46.4,24.953043154761904,sparse,45.2,0.6099638205499277,sparse,46.4,,insufficient,25.0,,insufficient,25.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0096236559139786,sparse,25.0,205.22032258064513,sparse,25.0,40.75,sparse,25.0,32.32655913978495,sparse,25.0,358.00426075268814,sparse,25.0,0.0190994623655914,sparse,25.0,730.994059139785,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,6,,insufficient,24.9,,insufficient,24.9,1.6046388888888892,sparse,25.0,11.242444444444445,sparse,25.0,12.946118055555559,good,50.0,24.82835926449788,sparse,49.1,0.5101944444444445,good,50.0,16.054000000000002,sparse,25.0,80.52956944444445,sparse,25.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0307083333333333,sparse,25.0,203.0236111111111,sparse,25.0,57.23148611111111,sparse,25.0,32.26497222222222,sparse,25.0,325.1804305555556,sparse,25.0,0.02826388888888889,sparse,25.0,727.8458333333333,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,7,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,9.565541740674956,sparse,37.8,12.143349249658938,sparse,49.3,0.6072184531886025,sparse,49.5,,insufficient,24.6,,insufficient,24.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,,insufficient,24.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,8,,insufficient,24.9,,insufficient,24.3,,insufficient,25.0,,insufficient,25.0,,insufficient,25.0,25.317735982966646,sparse,47.3,0.6491272727272727,sparse,46.2,,insufficient,25.0,,insufficient,24.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8104569892473118,sparse,25.0,200.48981182795697,sparse,25.0,82.83389784946236,sparse,25.0,28.119032258064518,sparse,25.0,237.56071236559137,sparse,25.0,0.12288978494623655,sparse,25.0,728.1730510752689,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,9,,insufficient,24.9,78.65323611111111,sparse,25.0,2.464236111111111,sparse,25.0,16.680249999999997,sparse,25.0,10.872986111111112,sparse,25.0,,insufficient,24.4,0.7159166666666668,sparse,25.0,14.001388888888888,sparse,25.0,,insufficient,24.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.6770277777777778,sparse,25.0,203.7025416666667,sparse,25.0,71.10231944444445,sparse,25.0,29.411708333333333,sparse,25.0,255.61215277777777,sparse,25.0,0.019,sparse,25.0,732.3679444444443,sparse,25.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
Gwalior,Madhya Pradesh,Madhya Pradesh,2020,10,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.9,36.14202412868633,sparse,25.1,26.807573726541552,sparse,25.1,,insufficient,24.5,,insufficient,24.9,,insufficient,24.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,insufficient,24.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,4
