city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Haveri,Karnataka,Karnataka,2022,4,32.36575539568346,good,57.9,58.6564200477327,good,58.2,12.856706443914083,good,58.2,6.810405727923627,good,58.2,19.65825775656325,good,58.2,18.33307875894988,good,58.2,1.7958949880668258,good,58.2,8.065608591885441,good,58.2,24.42928229665072,good,58.1,2.3980815347721824e-05,good,57.9,,insufficient,0.0,0.6884303797468354,good,54.9,0.32640102827763495,good,54.0,,insufficient,0.0,,insufficient,0.0,2.2083841463414635,sparse,45.6,223.82600609756096,sparse,45.6,66.74204268292682,sparse,45.6,27.25234756097561,sparse,45.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,5,27.1533488372093,good,57.8,68.82811904761904,good,56.5,13.29781395348837,good,57.8,7.1171328671328675,good,57.7,20.372027972027972,good,57.7,18.588287037037034,good,58.1,0.7691707317073171,good,55.1,8.443030303030303,good,57.7,10.398310185185185,good,58.1,4.6296296296296294e-05,good,58.1,,insufficient,0.0,1.0394212962962963,good,58.1,0.48939814814814814,good,58.1,,insufficient,0.0,,insufficient,0.0,3.1913657407407405,good,58.1,227.50069444444446,good,58.1,74.17078703703703,good,58.1,26.11386574074074,good,58.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,6,,insufficient,7.9,,insufficient,8.2,,insufficient,8.3,,insufficient,8.3,,insufficient,8.3,,insufficient,8.3,,insufficient,7.5,,insufficient,8.3,,insufficient,8.3,,insufficient,8.3,,insufficient,0.0,,insufficient,8.3,,insufficient,8.3,,insufficient,0.0,,insufficient,0.0,,insufficient,8.3,,insufficient,8.3,,insufficient,8.3,,insufficient,8.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,7,7.140365168539327,good,95.7,23.28804945054945,good,97.8,12.966929347826087,good,98.9,6.966942934782609,good,98.9,19.854035326086954,good,98.9,11.067377717391304,good,98.9,0.9893885869565218,good,98.9,8.089048913043479,good,98.9,8.243125000000001,good,98.9,0.04116847826086957,good,98.9,,insufficient,0.0,0.5789058171745153,good,97.0,0.2570909090909091,good,96.1,,insufficient,0.0,,insufficient,0.0,3.3726433566433567,good,96.1,239.72071328671328,good,96.1,83.21107692307692,good,96.1,23.566601398601396,good,96.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,8,7.703701923076922,good,83.9,19.5998891966759,good,97.0,12.81754716981132,good,99.7,6.8250337381916335,good,99.6,19.60344129554656,good,99.6,11.817956989247314,good,100.0,1.0302822580645161,good,100.0,8.029851752021564,good,99.7,4.995972972972973,good,99.5,0.06720430107526881,good,100.0,,insufficient,0.0,0.5525722145804677,good,97.7,0.2585220994475138,good,97.3,,insufficient,0.0,,insufficient,0.0,3.0729435483870966,good,100.0,227.27190860215057,good,100.0,84.4945564516129,good,100.0,23.255672043010755,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,9,10.080837004405286,good,94.6,21.0163436123348,good,94.6,12.981766423357662,good,95.1,6.961664233576642,good,95.1,19.92931386861314,good,95.1,12.693313868613137,good,95.1,1.04792700729927,good,95.1,8.186175182481753,good,95.1,5.385703703703704,good,93.8,0.00021148036253776438,good,91.9,,insufficient,0.0,0.5710485133020344,good,88.8,0.2598107255520505,good,88.1,,insufficient,0.0,,insufficient,0.0,2.5644379562043795,good,95.1,254.03944525547445,good,95.1,80.92763503649635,good,95.1,23.648729927007295,good,95.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,10,24.669003021148036,good,89.0,47.72839097744361,good,89.4,13.94610510046368,good,87.0,7.907982758620689,good,78.0,21.0647900466563,good,86.4,13.738152011922505,good,90.2,0.569820895522388,good,90.1,10.121407185628742,good,89.8,15.39065671641791,good,90.1,2.9850746268656717e-05,good,90.1,,insufficient,0.0,0.4916012558869701,good,85.6,0.2365974440894569,good,84.1,,insufficient,0.0,,insufficient,0.0,1.7362537313432835,good,90.1,191.46073134328358,good,90.1,72.87801492537314,good,90.1,24.01731343283582,good,90.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,11,49.53970814132104,good,90.4,92.70148725212465,good,98.1,4.593078125,good,88.9,6.696136752136752,good,81.2,9.645279411764704,good,94.4,10.324398868458275,good,98.2,0.46458274398868454,good,98.2,4.121948717948718,good,81.2,15.198033946251769,good,98.2,0.027454031117397453,good,98.2,,insufficient,0.0,0.442716049382716,good,90.0,0.23912087912087912,good,88.5,,insufficient,0.0,,insufficient,0.0,1.8685007072135789,good,98.2,174.3468458274399,good,98.2,62.392277227722765,good,98.2,24.071555869872707,good,98.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2022,12,46.155038520801234,good,87.2,86.9337306501548,good,86.8,5.6508878504672895,good,86.3,16.44782270606532,good,86.4,21.850961240310077,good,86.7,10.741166407465007,good,86.4,0.5667078825347759,good,87.0,2.897169517884915,good,86.4,16.30758139534884,good,86.7,0.00013910355486862442,good,87.0,,insufficient,0.0,0.5221302816901409,good,76.3,0.23597096188747732,good,74.1,,insufficient,0.0,,insufficient,0.0,1.899798449612403,good,86.7,169.88556765163295,good,86.4,57.318916408668734,good,86.8,24.017538699690405,good,86.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Haveri,Karnataka,Karnataka,2023,1,52.35732673267327,good,95.0,96.77099378881988,good,86.6,5.614244897959184,good,98.8,16.111891156462583,good,98.8,21.69361904761905,good,98.8,10.993768707482994,good,98.8,0.6040952380952381,good,98.8,2.8164577656675744,good,98.7,16.872618384401115,good,96.5,0.15925775978407558,good,99.6,,insufficient,0.0,0.5298350824587705,good,89.7,0.22812018489984592,good,87.2,,insufficient,0.0,,insufficient,0.0,1.7051836734693877,good,98.8,180.32691156462585,good,98.8,51.113850340136054,good,98.8,23.520013605442177,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
