city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Hisar,Haryana,Haryana,2019,1,136.00679671457905,good,65.5,208.7818762886598,good,65.2,29.760041152263376,good,65.3,27.130649350649353,good,62.1,34.3824678111588,good,62.6,19.691803278688525,good,65.6,1.151612244897959,good,65.9,9.709574944071589,good,60.1,19.147901234567904,good,65.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.3,1.3288367346938776,good,65.9,213.50091836734694,good,65.9,59.3159100204499,good,65.7,,insufficient,0.0,299.84045248868773,sparse,29.7,0.0008502024291497976,good,66.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,2,77.23479041916167,good,99.4,144.42426847662142,good,98.7,15.014260089686097,good,99.6,40.187134146341464,good,97.6,33.409372197309416,good,99.6,15.969461077844311,good,99.4,0.6895684523809523,good,100.0,,insufficient,18.5,33.68950226244344,good,98.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.4901192250372577,good,99.9,199.21494783904618,good,99.9,72.16150914634146,good,97.6,,insufficient,0.0,314.95949101796407,sparse,49.7,0.0014136904761904764,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,3,55.27161465400271,good,99.1,111.49680216802167,good,99.2,7.6806342780026995,good,99.6,21.908490566037738,good,99.7,19.970929919137465,good,99.7,26.205514905149048,good,99.2,0.6093413978494624,good,100.0,32.63441891891892,good,99.5,55.05188933873144,good,99.6,4.428494623655914,good,75.0,10.313817204301074,good,75.0,1.280077519379845,good,69.4,1.8035125448028673,good,75.0,2.9586200378071834,good,71.1,1.6467069892473118,good,100.0,225.48012096774195,good,100.0,57.38297931034482,good,97.4,,insufficient,0.0,350.39917771883285,good,50.7,0.0018145161290322581,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,4,73.91912356321838,good,96.7,178.7103183791606,good,96.0,12.726067415730336,good,98.9,24.42747191011236,good,98.9,21.748553370786517,good,98.9,33.26802521008403,good,99.2,0.633863319386332,good,99.6,59.14705965909091,good,97.8,72.73764295676429,good,99.6,4.162774647887324,good,98.6,6.128033472803348,good,99.6,1.4994977168949772,good,91.2,2.272133891213389,good,99.6,4.202914862914863,good,96.2,1.747364016736402,good,99.6,195.87287308228733,good,99.6,37.507850070721354,good,98.2,,insufficient,0.0,427.07082499999996,good,55.6,0.0013389121338912133,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,5,101.90347338935574,good,96.0,194.71511428571432,good,94.1,6.74954054054054,good,99.5,28.849175675675674,good,99.5,17.016635135135136,good,99.5,29.373243606998653,good,99.9,0.7528629032258064,good,100.0,21.539958217270193,good,96.5,60.83420698924731,good,100.0,4.989277929155313,good,98.7,5.395734072022161,good,97.0,6.040522496371553,good,92.6,8.935149051490514,good,99.2,5.413741109530584,good,94.5,1.7670833333333333,good,100.0,240.10529569892472,good,100.0,30.560717299578055,good,95.6,,insufficient,0.0,487.5218161434977,good,59.9,0.009623655913978495,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,6,76.04517531556802,good,99.0,197.1770470756063,good,97.4,5.919916083916084,good,99.3,27.461734265734265,good,99.3,15.331902097902097,good,99.3,22.979425770308126,good,99.2,0.5182311977715877,good,99.7,24.344378531073446,good,98.3,76.57313370473537,good,99.7,3.5063483146067416,good,98.9,5.834592696629213,good,98.9,1.3466573033707865,good,98.9,3.333033707865168,good,98.9,1.7450421348314606,good,98.9,1.758885793871866,good,99.7,194.21717270194986,good,99.7,39.55646888567294,good,96.0,,insufficient,0.0,424.9222352941177,good,59.0,0.004805013927576603,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,7,63.59824797843665,good,99.7,124.5433187134503,good,91.9,6.436514131897712,good,99.9,21.417160161507404,good,99.9,13.083055181695826,good,99.9,26.66282051282051,good,99.6,0.3832839838492598,good,99.9,32.31246963562753,good,99.6,42.99123655913978,good,100.0,2.2126384839650144,good,92.2,4.280278592375367,good,91.7,1.563265306122449,good,92.2,2.673717201166181,good,92.2,1.8254810495626825,good,92.2,1.7855510752688173,good,100.0,156.84262096774194,good,100.0,68.83187227866473,good,92.6,,insufficient,0.0,290.4248984198646,good,59.5,0.03088709677419355,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,8,34.4339748953975,good,96.4,69.59276005547851,good,96.9,5.837326057298773,good,98.5,18.186616438356165,good,98.1,11.083015006821283,good,98.5,18.771467236467235,good,94.4,0.36166908563134975,good,92.6,33.14034435261708,good,97.6,39.76953741496599,good,98.8,1.6521937321937323,good,94.4,4.158091168091167,good,94.4,0.9898005698005699,good,94.4,1.6376780626780627,good,94.4,1.5467378917378916,good,94.4,1.6077111716621253,good,98.7,154.38126702997275,good,98.7,74.61166197183098,good,95.4,,insufficient,0.0,415.3966978922717,good,57.4,0.009756097560975611,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,9,50.85228813559322,good,98.3,94.98097320169252,good,98.5,3.8812219101123593,good,98.9,15.171288515406161,good,99.2,9.91454417952314,good,99.0,24.773012912482066,good,96.8,0.4810195530726257,good,99.4,23.972692847124822,good,99.0,44.864581005586594,good,99.4,1.9724695121951221,good,91.1,4.670091603053435,good,91.0,0.8238685015290519,good,90.8,1.33787786259542,good,91.0,0.7964786585365854,good,91.1,1.5125070028011205,good,99.2,112.7158963585434,good,99.2,72.95347457627118,good,98.3,,insufficient,0.0,353.53974025974026,good,53.5,0.0014664804469273743,good,99.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Hisar,Haryana,Haryana,2019,10,111.86108183079057,good,96.9,189.67922330097088,good,96.9,5.050519835841312,good,98.3,26.00883879781421,good,98.4,16.152667578659372,good,98.3,21.914241134751773,good,94.8,0.8262448979591837,good,98.8,17.63243169398907,good,98.4,55.21876526458615,good,99.1,4.587341576506955,good,87.0,6.760753846153846,good,87.4,1.2808474576271187,good,87.2,3.216476923076923,good,87.4,1.567446153846154,good,87.4,1.1259682080924855,good,93.0,200.89260115606936,good,93.0,57.26496483825598,good,95.6,,insufficient,0.0,299.1621666666667,sparse,48.4,0.0004054054054054054,good,99.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
