city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Indore,Madhya Pradesh,Madhya Pradesh,2019,9,,insufficient,22.6,,insufficient,22.6,,insufficient,22.5,,insufficient,22.5,,insufficient,22.5,,insufficient,22.6,,insufficient,21.9,,insufficient,22.4,,insufficient,22.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,22.6,,insufficient,22.6,,insufficient,22.6,,insufficient,22.6,,insufficient,22.6,,insufficient,22.6,,insufficient,9.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2019,10,50.875464480874314,sparse,49.2,123.41406756756757,sparse,49.7,40.54543835616439,sparse,49.1,56.8815205479452,sparse,49.1,63.28443835616438,sparse,49.1,6.343965053763441,good,50.0,1.279159420289855,sparse,46.4,20.892444751381213,sparse,48.7,26.585223274695533,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.103225806451613,good,50.0,138.5150134408602,good,50.0,70.53561827956989,good,50.0,26.060994623655912,good,50.0,206.7450672043011,good,50.0,0.057782258064516125,good,50.0,701.8756681350955,sparse,45.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2019,11,71.28969444444445,good,50.0,154.8720445062587,sparse,49.9,44.8756671899529,sparse,44.2,57.93045525902669,sparse,44.2,67.30243328100471,sparse,44.2,8.56170868347339,sparse,49.6,1.2423703703703701,sparse,46.9,32.32764521193093,sparse,44.2,42.95427777777778,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.905513888888889,good,50.0,136.95475,good,50.0,61.56273611111111,good,50.0,25.120319444444444,good,50.0,213.1537083333333,good,50.0,0.0024861111111111112,good,50.0,703.1609620991253,sparse,47.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2019,12,72.83635983263598,sparse,48.2,135.62106756756756,sparse,49.7,16.855255376344086,good,50.0,57.8116129032258,good,50.0,44.22673387096774,good,50.0,10.206607142857143,sparse,48.9,1.091156462585034,sparse,49.4,20.503225806451614,good,50.0,40.23310901749663,sparse,49.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.288736559139785,good,50.0,113.93985215053763,good,50.0,63.64314516129032,good,50.0,20.424959677419352,good,50.0,213.28293010752688,good,50.0,0.0,good,50.0,704.2829483695652,sparse,49.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,1,63.44925457102672,sparse,47.8,127.6892628650904,sparse,48.3,24.070970873786404,sparse,48.5,67.77026352288489,sparse,48.5,55.61245492371706,sparse,48.5,10.411916666666666,sparse,48.4,0.9411126961483596,sparse,47.1,23.54126213592233,sparse,48.5,32.75435506241332,sparse,48.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.2942995839112346,sparse,48.5,136.97686546463245,sparse,48.5,64.89124826629681,sparse,48.5,18.973925104022193,sparse,48.5,220.38176144244105,sparse,48.5,6.934812760055478e-05,sparse,48.5,703.9813861386139,sparse,47.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,2,54.22361873990307,sparse,44.5,138.62193548387097,sparse,44.5,28.591595394736846,sparse,43.7,80.11894736842105,sparse,43.7,65.84585526315789,sparse,43.7,12.626304000000001,sparse,44.9,1.00623745819398,sparse,43.0,22.60525535420099,sparse,43.6,31.646272000000003,sparse,44.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.2300959999999999,sparse,44.9,133.158272,sparse,44.9,47.0112,sparse,44.9,23.161872,sparse,44.9,224.2638782051282,sparse,44.8,0.0,sparse,44.8,703.3153846153846,sparse,42.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,3,37.031870604782,sparse,47.8,119.35748241912799,sparse,47.8,20.359803094233474,sparse,47.8,67.60440225035161,sparse,47.8,53.79994374120955,sparse,47.8,9.870674157303371,sparse,47.8,0.715284090909091,sparse,47.3,24.911596045197737,sparse,47.6,34.40931179775281,sparse,47.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.3116011235955054,sparse,47.8,180.80185393258427,sparse,47.8,41.38073033707865,sparse,47.8,26.432837078651687,sparse,47.8,226.01580056179776,sparse,47.8,0.0025702247191011236,sparse,47.8,701.4505376344086,sparse,31.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,4,39.28085457271364,sparse,46.3,111.22336661911554,sparse,48.7,11.931013888888888,good,50.0,34.58829166666666,good,50.0,40.0515,good,50.0,7.832361111111111,good,50.0,0.4830972222222223,good,50.0,12.930513888888887,good,50.0,36.01316666666666,good,50.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.2687222222222223,good,50.0,201.87872222222222,good,50.0,26.68611111111111,good,50.0,32.809375,good,50.0,205.1474583333333,good,50.0,0.001013888888888889,good,50.0,700.933249370277,sparse,27.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,5,17.76670731707317,sparse,49.6,95.41925474254742,sparse,49.6,7.080491132332878,sparse,49.3,40.06368349249659,sparse,49.3,27.216016371077767,sparse,49.3,7.791910569105691,sparse,49.6,0.3008130081300813,sparse,49.6,11.10006821282401,sparse,49.3,79.49297554347827,sparse,49.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.7364634146341462,sparse,49.6,236.18542005420053,sparse,49.6,27.940379403794037,sparse,49.6,35.62791327913279,sparse,49.6,221.65333333333334,sparse,49.6,0.0,sparse,49.6,,insufficient,3.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,6,16.199873772791022,sparse,49.5,50.04553623188406,sparse,47.9,6.157444134078212,sparse,49.7,30.37555865921788,sparse,49.7,21.183715083798884,sparse,49.7,7.817513966480447,sparse,49.7,0.5838181818181819,sparse,49.7,15.760405027932961,sparse,49.7,59.91060308555399,sparse,49.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.6494568245125347,sparse,49.9,221.8072144846797,sparse,49.9,69.29967966573815,sparse,49.9,29.436991643454036,sparse,49.9,225.3244011142061,sparse,49.9,0.060807799442896944,sparse,49.9,,insufficient,0.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,7,16.238468834688348,sparse,49.6,45.34449864498646,sparse,49.6,5.608908296943231,sparse,46.2,25.71177583697234,sparse,46.2,18.237147016011644,sparse,46.2,9.603609226594301,sparse,49.5,0.6042354533152909,sparse,49.7,13.461441048034937,sparse,46.2,51.392986486486485,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.5490405405405405,sparse,49.7,224.9501216216216,sparse,49.7,77.40327027027027,sparse,49.7,28.936810810810808,sparse,49.7,219.05201351351351,sparse,49.7,0.04340540540540541,sparse,49.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
Indore,Madhya Pradesh,Madhya Pradesh,2020,8,12.155255878284924,sparse,48.6,32.96533515731874,sparse,49.1,3.459048275862069,sparse,48.7,22.71366896551724,sparse,48.7,14.889558620689655,sparse,48.7,9.387547683923707,sparse,49.3,0.5319073569482289,sparse,49.3,11.741875862068966,sparse,48.7,43.64136239782016,sparse,49.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.8334468664850136,sparse,49.3,239.57777929155313,sparse,49.3,86.91520435967301,sparse,49.3,26.591634877384195,sparse,49.3,184.06040871934604,sparse,49.3,0.22653950953678478,sparse,49.3,,insufficient,0.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,2
