city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Jaipur,Rajasthan,Rajasthan,2017,2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,7,,insufficient,14.1,,insufficient,11.1,,insufficient,12.8,,insufficient,13.0,,insufficient,0.0,,insufficient,14.1,,insufficient,14.2,,insufficient,11.4,,insufficient,14.1,,insufficient,9.3,,insufficient,9.3,,insufficient,0.3,,insufficient,1.6,,insufficient,0.4,,insufficient,0.0,,insufficient,14.2,,insufficient,14.2,,insufficient,14.2,,insufficient,14.2,,insufficient,14.2,,insufficient,0.0,,insufficient,14.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,8,,insufficient,15.6,,insufficient,15.5,,insufficient,15.6,,insufficient,15.6,,insufficient,0.0,,insufficient,15.4,,insufficient,18.4,,insufficient,15.6,,insufficient,14.9,,insufficient,17.1,,insufficient,17.1,,insufficient,0.5,,insufficient,0.8,,insufficient,0.3,,insufficient,0.0,,insufficient,18.5,,insufficient,15.6,,insufficient,15.6,,insufficient,15.6,,insufficient,18.4,,insufficient,0.0,,insufficient,15.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,9,,insufficient,18.0,,insufficient,17.9,,insufficient,18.0,,insufficient,18.0,,insufficient,0.0,,insufficient,18.0,,insufficient,18.1,,insufficient,18.1,,insufficient,15.4,,insufficient,14.3,,insufficient,14.3,,insufficient,0.1,,insufficient,1.8,,insufficient,0.2,,insufficient,0.0,,insufficient,18.1,,insufficient,18.0,,insufficient,18.0,,insufficient,18.0,,insufficient,18.1,,insufficient,0.0,,insufficient,18.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,10,96.93912572855952,sparse,32.3,186.16557724957553,sparse,31.7,19.858276436303083,sparse,32.3,34.901073211314475,sparse,32.3,,insufficient,18.4,8.799688289806234,sparse,31.9,0.6792892561983471,sparse,32.5,37.85234804329725,sparse,32.3,46.878438030560275,sparse,31.7,2.819545064377682,sparse,31.3,7.508403433476394,sparse,31.3,,insufficient,14.0,,insufficient,18.0,,insufficient,14.1,,insufficient,0.0,0.5703754125412542,sparse,32.6,130.4817081260365,sparse,32.4,26.831457418788414,sparse,30.6,,insufficient,22.2,190.27954465849388,sparse,30.7,,insufficient,16.6,755.3958901830283,sparse,32.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
Jaipur,Rajasthan,Rajasthan,2017,11,110.24305596830115,good,56.1,192.33881105081403,good,56.3,33.29152576288145,good,55.5,61.91360819590205,good,55.6,69.32203150461706,good,51.1,7.37039878849066,good,55.0,0.7944368600682594,good,57.0,29.891876567987953,good,55.4,63.81732081067722,good,56.2,5.060085,good,55.6,13.622348711803475,sparse,46.4,4.7691422594142265,sparse,39.8,15.181414852752878,sparse,43.4,7.054834855938158,sparse,39.5,,insufficient,0.0,0.7199173553719009,good,57.1,104.42892699657031,good,56.7,28.33515196078431,good,56.7,22.288161094224925,sparse,36.6,206.8724332200097,good,57.2,0.0,sparse,39.8,752.1540820410205,good,55.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,5
