city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Jalandhar,Punjab,Punjab,2018,2,57.32424124513618,good,76.5,118.82920233463037,good,76.5,15.861485380116957,good,76.3,13.67374501992032,good,74.7,13.926370350877193,good,76.3,18.168197674418607,good,76.8,0.6184790874524716,good,78.3,22.037724550898204,good,74.6,17.215841392649903,good,76.9,,insufficient,0.0,,insufficient,0.0,17.376526315789473,good,70.7,16.372147368421054,good,70.7,2.316449579831933,good,70.8,0.643720930232558,good,76.8,218.08225000000004,good,77.4,63.196038461538464,good,77.4,17.39548449612403,good,76.8,252.7586730769231,good,77.4,0.01632183908045977,good,77.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,3,36.35454219030521,good,74.9,99.2412908777969,good,78.1,15.52318954248366,good,61.7,14.930351851851855,good,72.6,15.379437450980392,good,61.7,17.505416666666665,good,67.7,0.8769028006589785,good,81.6,10.483583138173303,good,57.4,25.925170731707315,good,82.7,,insufficient,0.0,,insufficient,0.0,21.802304038004753,good,56.6,111.53190023752967,good,56.6,4.573744186046512,good,57.8,0.7473046875,good,68.8,216.71666015625,good,68.8,54.35846456692913,good,68.3,21.670353634577605,good,68.4,272.85385068762275,good,68.4,0.01642578125,good,68.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,4,51.558379204892965,good,90.8,105.52818803418805,good,81.2,,insufficient,1.1,8.49621931260229,good,84.9,,insufficient,1.1,,insufficient,0.8,1.0323676012461058,good,89.2,9.527676767676766,good,82.5,25.072614379084964,good,85.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.8,,insufficient,0.8,,insufficient,0.8,,insufficient,1.1,,insufficient,1.1,,insufficient,1.1,,insufficient,1.1,,insufficient,1.1,,insufficient,1.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,5,62.79858585858586,good,93.1,104.76617691154424,good,89.7,13.529923602484473,sparse,43.3,18.110205607476633,good,71.9,13.108740931677016,sparse,43.3,7.781243093922652,sparse,48.7,1.1475,good,87.1,8.829212765957445,good,63.2,17.765793528505395,good,87.2,,insufficient,0.0,,insufficient,0.0,7.048166189111748,sparse,46.9,15.14643059490085,sparse,47.4,1.6184659090909088,sparse,47.3,0.8023561643835617,sparse,49.1,215.28975274725275,sparse,48.9,20.332136986301368,sparse,49.1,33.24829670329671,sparse,48.9,247.70585164835168,sparse,48.9,0.0,sparse,49.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,6,65.39206845238095,good,93.3,102.57676077265974,good,93.5,13.740718421052632,good,89.7,7.590232558139535,good,89.6,9.931820712074304,good,89.7,6.426456808199122,good,94.9,0.981611510791367,good,96.5,13.169365325077399,good,89.7,19.51984251968504,good,88.2,,insufficient,0.0,,insufficient,0.0,6.735429936305733,good,87.2,10.94934713375796,good,87.2,2.257356687898089,good,87.2,0.8196366279069769,good,95.6,176.26430232558138,good,95.6,51.205319767441864,good,95.6,31.207674418604654,good,95.6,266.97812500000003,good,95.6,0.10604885057471265,good,96.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,7,27.00532608695652,good,98.9,41.29010869565217,good,98.9,25.859985405405403,good,99.5,10.376255088195387,good,99.1,16.62484937837838,good,99.5,5.735367847411444,good,98.7,0.8563477088948787,good,99.7,16.125236806495263,good,99.3,15.218988603988603,good,94.4,,insufficient,0.0,,insufficient,0.0,3.3957260273972603,good,98.1,5.347424657534247,good,98.1,0.9906721536351165,good,98.0,0.6522162162162162,good,99.5,154.0792972972973,good,99.5,74.19731081081082,good,99.5,29.284324324324327,good,99.5,473.9029076086957,good,98.9,0.08773889636608344,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,8,36.26172506738545,good,99.7,57.34873315363882,good,99.7,21.76548906882591,good,99.6,12.798488529014845,good,99.6,16.19663939271255,good,99.6,7.636428571428571,good,99.7,0.783956931359354,good,99.9,16.901417004048582,good,99.6,23.636205962059616,good,99.2,,insufficient,0.0,,insufficient,0.0,3.1728281461434373,good,99.3,5.285155615696888,good,99.3,0.8318809201623816,good,99.3,0.6537940379403794,good,99.2,154.50159891598915,good,99.2,77.45263870094723,good,99.3,28.893234100135317,good,99.3,520.9138211382115,good,99.2,0.048360215053763436,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,9,28.84885593220339,good,98.3,47.11546610169491,good,98.3,25.39387865329513,good,96.9,26.063073654390934,good,98.1,23.950936538461537,good,97.5,7.47364394993046,good,99.9,0.6915416666666667,good,100.0,18.15060471976401,good,94.2,17.319958275382476,good,99.9,,insufficient,0.0,,insufficient,0.0,26.761159196290574,good,89.9,2.330378151260504,good,99.2,1.0175212464589236,good,98.1,0.597375,good,100.0,176.205125,good,100.0,77.22236966824644,good,87.9,26.748486111111117,good,100.0,273.13854166666664,good,100.0,0.234375,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,10,63.112543978349116,good,99.3,104.9661705006766,good,99.3,39.50949230769231,good,99.6,24.291155988857938,good,96.5,28.79050469635628,good,99.6,7.136234817813766,good,99.6,0.7103112313937753,good,99.3,31.242234636871512,good,96.2,20.589352226720646,good,99.6,,insufficient,0.0,,insufficient,0.0,44.0164252696456,good,87.2,2.5614439946018894,good,99.6,2.3546685472496476,good,95.3,0.41932523616734146,good,99.6,173.7953036437247,good,99.6,71.54783823529412,good,91.4,23.7840620782726,good,99.6,211.7140735694823,good,98.7,0.016522911051212938,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Jalandhar,Punjab,Punjab,2018,11,78.69878437047757,good,96.0,129.10543758967003,good,96.8,31.71642609308886,good,98.5,18.253808180535966,good,98.5,23.415579647390693,good,98.5,6.29686968838527,good,98.1,0.6906460674157303,good,98.9,29.59968970380818,good,98.5,13.960183098591548,good,98.6,,insufficient,0.0,,insufficient,0.0,27.05224489795918,good,81.7,4.057687074829932,good,81.7,3.880510204081633,good,81.7,0.42741573033707864,good,98.9,173.7511938202247,good,98.9,71.77555078683834,good,97.1,18.619157303370788,good,98.9,114.73259831460672,good,98.9,0.0006872370266479663,good,99.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
