city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,2,55.875146299483646,good,86.5,152.97192771084337,good,86.5,13.420736301369864,good,86.9,11.499811643835615,good,86.9,24.7782705479452,good,86.9,4.208013698630137,good,86.9,0.9263527397260274,good,86.9,1.6330821917808218,good,86.9,7.574704830053667,good,83.2,10.717020547945205,good,86.9,,insufficient,0.0,57.538356164383565,good,86.9,128.91357876712328,good,86.9,,insufficient,0.0,,insufficient,0.0,0.7217525773195876,good,86.6,154.44940068493153,good,86.9,54.944332191780816,good,86.9,19.981541095890414,good,86.9,168.3214897260274,good,86.9,0.014263698630136986,good,86.9,738.1673116438357,good,86.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,3,54.85203592814371,good,89.8,171.88647239263804,good,87.6,20.13563559322034,good,95.2,12.946384180790961,good,95.2,33.81457627118644,good,95.2,7.587443502824859,good,95.2,1.1447457627118645,good,95.2,10.493220338983052,good,95.2,11.855353107344634,good,95.2,3.7823446327683623,good,95.2,,insufficient,0.0,18.386176890156918,good,94.2,34.41478813559322,good,95.2,,insufficient,0.0,,insufficient,0.0,0.6441335227272728,good,94.6,174.59583333333333,good,95.2,38.32484463276836,good,95.2,28.31110169491526,good,95.2,208.7139548022599,good,95.2,0.020183615819209043,good,95.2,735.6646751412429,good,95.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,4,51.6739226519337,good,75.4,200.16957875457874,good,75.8,26.929486754966888,good,83.9,20.812599337748342,good,83.9,47.64425041186161,good,84.3,9.297996688741721,good,83.9,1.3584349258649093,good,84.3,13.999453642384106,good,83.9,21.023758278145696,good,83.9,2.1302635914332786,good,84.3,,insufficient,0.0,9.678700000000001,good,83.3,16.102059800664453,good,83.6,,insufficient,0.0,,insufficient,0.0,0.7676285240464346,good,83.8,213.09778145695364,good,83.9,16.554884105960266,good,83.9,35.37488410596026,good,83.9,250.03209225700166,good,84.3,0.01797364085667216,good,84.3,733.0344701986755,good,83.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,5,58.251503623188405,good,74.2,199.36430909090907,good,73.9,10.792535211267605,good,76.3,13.367112676056339,good,76.3,22.801116928446774,good,77.0,9.438450704225353,good,76.3,0.8124781849912739,good,77.0,7.791302816901409,good,76.3,32.182095070422534,good,76.3,2.183123909249564,good,77.0,,insufficient,0.0,5.426405353728489,good,70.3,8.17521352313167,good,75.5,,insufficient,0.0,,insufficient,0.0,1.1324295774647888,good,76.3,198.74360915492957,good,76.3,26.5987676056338,good,76.3,36.97452464788732,good,76.3,233.55349040139615,good,77.0,0.04518324607329843,good,77.0,729.5890492957747,good,76.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,6,33.98663811563169,good,64.9,133.03966029723992,good,65.4,6.428645418326694,good,69.7,8.227171314741035,good,69.7,13.523679060665362,good,71.0,10.573964143426293,good,69.7,0.5815264187866928,good,71.0,10.468884462151394,good,69.7,27.296274900398405,good,69.7,1.8696281800391388,good,71.0,,insufficient,0.0,,insufficient,7.1,9.198277310924372,sparse,33.1,,insufficient,0.0,,insufficient,0.0,1.251852589641434,good,69.7,235.2270717131474,good,69.7,35.34173306772908,good,69.7,36.53549800796813,good,69.7,203.58342465753427,good,71.0,0.030450097847358124,good,71.0,728.6461155378486,good,69.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,7,14.238579654510556,good,70.0,42.243489681050654,good,71.6,4.615448154657294,good,76.5,3.6473415492957746,good,76.3,7.517207678883072,good,77.0,13.506115992970122,good,76.5,0.5346596858638744,good,77.0,4.507609841827768,good,76.5,8.182161687170474,good,76.5,1.726474694589878,good,77.0,,insufficient,0.0,,insufficient,1.5,6.252765957446808,good,50.5,,insufficient,0.0,,insufficient,0.0,0.9630052724077329,good,76.5,177.2873462214411,good,76.5,72.14681898066785,good,76.5,31.41304042179262,good,76.5,164.80979057591625,good,77.0,0.03657940663176265,good,77.0,728.7356942003514,good,76.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,8,23.76048128342246,good,75.4,45.873599999999996,good,77.3,4.689448051948052,good,82.8,2.532304761904762,good,70.6,6.271145161290323,good,83.3,16.4374512987013,good,82.8,0.5788225806451612,good,83.3,4.971680261011419,good,82.4,8.836363636363636,good,82.8,1.043483870967742,good,83.3,,insufficient,0.0,,insufficient,1.5,,insufficient,14.7,,insufficient,0.0,,insufficient,0.0,1.1452272727272728,good,82.8,185.88525974025976,good,82.8,80.50654220779222,good,82.8,29.261607142857144,good,82.8,123.73003225806451,good,83.3,0.04053225806451613,good,83.3,729.5199350649351,good,82.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,9,29.96608928571429,good,77.8,68.60024432809773,good,79.6,9.041672185430464,good,83.9,7.194057724957555,good,81.8,15.737500000000002,good,84.4,19.607930463576157,good,83.9,0.8467105263157894,good,84.4,3.047193277310924,good,82.6,9.437897350993378,good,83.9,0.8869028006589784,good,84.3,,insufficient,0.0,,insufficient,1.5,,insufficient,1.9,,insufficient,0.0,,insufficient,0.0,0.8186423841059602,good,83.9,180.36990066225167,good,83.9,78.18443708609273,good,83.9,29.551953642384106,good,83.9,120.18593749999998,good,84.4,0.062088815789473686,good,84.4,732.0099503311259,good,83.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,10,56.04013755158184,good,97.7,131.80015151515153,good,97.6,17.69125,good,100.0,15.368454301075268,good,100.0,32.48556451612904,good,100.0,23.255497311827952,good,100.0,1.1202822580645162,good,100.0,4.957204301075269,good,100.0,9.506438172043012,good,100.0,1.1064784946236559,good,100.0,,insufficient,0.0,,insufficient,3.1,,insufficient,9.3,,insufficient,0.0,,insufficient,0.0,0.5525706594885599,good,99.9,176.07213709677418,good,100.0,66.71606182795699,good,100.0,26.901653225806452,good,100.0,100.63362903225806,good,100.0,0.026814516129032254,good,100.0,736.5496370967741,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Jhansi,Uttar Pradesh,Uttar Pradesh,2022,11,76.81057750759878,good,91.4,181.15668571428571,good,97.2,38.57913165266106,good,99.2,32.043501400560224,good,99.2,69.6613110181311,good,99.6,25.614859943977592,good,99.2,1.6265335235378031,good,97.4,7.9982328190743335,good,99.0,9.445896358543417,good,99.2,0.2711854951185495,good,99.6,,insufficient,0.0,,insufficient,2.4,,insufficient,11.8,,insufficient,0.0,,insufficient,0.0,0.37721194879089615,good,97.6,189.2853361344538,good,99.2,57.16302521008404,good,99.2,22.58302521008403,good,99.2,82.7818549511855,good,99.6,0.005146443514644352,good,99.6,738.937030812325,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
