city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Jodhpur,Rajasthan,Rajasthan,2015,12,141.40501474926253,sparse,30.4,319.4557121212122,sparse,29.6,21.211065088757397,sparse,30.3,46.73707423580787,sparse,30.8,38.96033478893741,sparse,30.8,9.376044444444444,sparse,30.2,1.1762882096069867,sparse,30.8,22.257528571428573,sparse,31.4,25.33355714285714,sparse,31.4,,insufficient,9.7,,insufficient,15.9,,insufficient,4.7,,insufficient,0.0,,insufficient,0.7,,insufficient,0.0,0.2816237482117311,sparse,31.3,171.61119266055047,sparse,29.3,31.101816838995568,sparse,30.3,17.4149,sparse,31.4,140.1103,sparse,31.4,,insufficient,0.0,750.0047571428572,sparse,31.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,1,132.9239268680445,sparse,28.2,280.05885350318476,sparse,28.1,14.564223300970871,sparse,27.7,29.34025931928687,sparse,27.6,25.517705977382874,sparse,27.7,10.103327974276526,sparse,27.9,0.8612460567823343,sparse,28.4,20.92810372771475,sparse,27.6,23.059009433962263,sparse,28.5,,insufficient,8.9,,insufficient,16.0,,insufficient,5.2,,insufficient,0.0,,insufficient,0.2,,insufficient,0.0,0.31003930817610065,sparse,28.5,191.33283018867925,sparse,28.5,36.81319182389937,sparse,28.5,18.859198113207544,sparse,28.5,128.67548742138362,sparse,28.5,,insufficient,0.0,750.8425196850394,sparse,28.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,2,83.59810730253353,sparse,32.1,201.9741327300151,sparse,31.8,16.462543720190776,sparse,30.1,25.07863057324841,sparse,30.1,28.196534181240068,sparse,30.1,10.843189910979227,sparse,32.3,0.9794082840236685,sparse,32.4,16.976539682539684,sparse,30.2,29.36630177514793,sparse,32.4,,insufficient,7.6,,insufficient,3.4,,insufficient,3.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.37644970414201184,sparse,32.4,181.47001479289943,sparse,32.4,28.417263313609467,sparse,32.4,21.703757396449703,sparse,32.4,186.787899408284,sparse,32.4,,insufficient,0.0,752.0109319526628,sparse,32.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,3,74.27653352353781,sparse,31.4,162.96657670454545,sparse,31.5,16.168912071535022,sparse,30.1,20.67986547085202,sparse,30.0,26.304633781763826,sparse,30.0,11.052601969057665,sparse,31.9,0.8966290550070523,sparse,31.8,19.14959940652819,sparse,30.2,30.813117977528087,sparse,31.9,,insufficient,3.7,,insufficient,0.4,,insufficient,2.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.5007293127629733,sparse,31.9,188.6606451612903,sparse,31.9,27.365842696629212,sparse,31.9,27.019971949509113,sparse,31.9,229.5523702664797,sparse,31.9,,insufficient,0.0,756.1886938202249,sparse,31.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,4,80.56136363636364,sparse,30.6,198.62083586626142,sparse,30.5,8.924024205748864,sparse,30.6,17.951990950226243,sparse,30.7,18.1210407239819,sparse,30.7,7.392987804878049,sparse,30.4,0.6045440729483283,sparse,30.5,17.167386706948644,sparse,30.6,30.920181268882175,sparse,30.6,,insufficient,1.9,,insufficient,0.3,,insufficient,1.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.5731523378582202,sparse,30.7,204.15698340874815,sparse,30.7,24.561659125188537,sparse,30.7,34.08067975830816,sparse,30.6,236.26285498489426,sparse,30.6,,insufficient,0.0,760.3952259036146,sparse,30.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,5,131.14415545590433,sparse,30.0,257.75988871224166,sparse,28.2,5.4365976331360955,sparse,30.3,18.194199706314244,sparse,30.5,15.297573529411762,sparse,30.5,5.958584202682563,sparse,30.1,0.645837037037037,sparse,30.2,16.257926470588234,sparse,30.5,23.151834319526625,sparse,30.3,,insufficient,0.9,,insufficient,0.5,,insufficient,0.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8147205882352941,sparse,30.5,204.8306323529412,sparse,30.5,28.678102941176473,sparse,30.5,37.47439705882353,sparse,30.5,263.9976843657817,sparse,30.4,,insufficient,0.0,765.2550588235295,sparse,30.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,6,,insufficient,23.6,,insufficient,23.5,,insufficient,23.6,,insufficient,23.6,,insufficient,23.6,,insufficient,23.3,,insufficient,23.4,,insufficient,23.6,,insufficient,23.6,,insufficient,0.3,,insufficient,0.3,,insufficient,0.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.4,,insufficient,23.4,,insufficient,23.4,,insufficient,23.4,,insufficient,23.5,,insufficient,0.0,,insufficient,23.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,7,,insufficient,23.4,,insufficient,20.4,,insufficient,20.8,,insufficient,0.0,,insufficient,20.7,,insufficient,0.0,,insufficient,0.0,,insufficient,2.9,,insufficient,20.7,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.2,,insufficient,20.9,,insufficient,21.0,,insufficient,21.0,,insufficient,21.0,,insufficient,0.0,,insufficient,21.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,8,,insufficient,5.9,,insufficient,5.9,,insufficient,6.0,,insufficient,0.0,,insufficient,6.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,6.0,,insufficient,0.3,,insufficient,0.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,6.2,,insufficient,6.1,,insufficient,6.2,,insufficient,6.2,,insufficient,6.2,,insufficient,0.0,,insufficient,6.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Jodhpur,Rajasthan,Rajasthan,2016,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
