city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kalaburagi,Karnataka,Karnataka,2018,7,23.05056074766355,sparse,36.0,57.830294659300186,sparse,36.5,3.485865580448065,sparse,33.0,4.5479558011049726,sparse,36.5,4.117996903846153,sparse,34.9,,insufficient,15.2,0.12651933701657458,sparse,36.5,5.595130111524163,sparse,36.2,13.04390423572744,sparse,36.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,2.7619372693726936,sparse,36.4,305.76284132841334,sparse,36.4,72.2920295202952,sparse,36.4,26.09394833948339,sparse,36.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2018,8,,insufficient,2.5,,insufficient,2.5,,insufficient,2.5,,insufficient,2.5,,insufficient,2.5,,insufficient,2.4,,insufficient,4.2,,insufficient,2.5,,insufficient,2.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,2.5,,insufficient,2.6,,insufficient,2.5,,insufficient,2.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2018,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2018,10,,insufficient,0.6,,insufficient,0.0,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2018,11,,insufficient,24.9,,insufficient,0.0,,insufficient,24.9,,insufficient,24.9,,insufficient,24.9,,insufficient,24.3,,insufficient,24.9,,insufficient,20.3,,insufficient,24.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,1.0,,insufficient,1.0,,insufficient,1.0,,insufficient,1.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2018,12,67.83830508474576,sparse,43.6,179.7042328042328,sparse,25.4,8.9692939481268,sparse,46.6,19.04386167146974,sparse,46.6,14.79474180774749,sparse,46.8,2.1166370370370373,sparse,45.4,1.4665472779369628,sparse,46.9,13.410410256410255,sparse,39.3,25.776948424068763,sparse,46.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2019,1,82.042489626556,sparse,48.6,172.32920930232558,sparse,43.3,6.239527220630373,sparse,46.9,31.367803867403317,sparse,48.7,19.824305593922652,sparse,48.7,10.121650071123756,sparse,47.2,1.1023480662983425,sparse,48.7,14.241122754491018,sparse,44.9,40.15479281767956,sparse,48.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2019,2,52.09772241992883,sparse,41.8,130.80259786476867,sparse,41.8,2.60821554770318,sparse,42.1,14.744028268551235,sparse,42.1,9.184839047619048,sparse,42.2,7.467575221238938,sparse,42.0,1.0192768959435627,sparse,42.2,13.16716577540107,sparse,41.7,58.848042328042325,sparse,42.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2019,3,57.55845102505694,sparse,29.5,137.81122969837588,sparse,29.0,1.9446389496717724,sparse,30.7,,insufficient,18.5,,insufficient,19.6,7.169818594104308,sparse,29.6,1.2932310838445804,sparse,32.9,,insufficient,21.0,69.61786447638605,sparse,32.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
Kalaburagi,Karnataka,Karnataka,2019,4,39.81237096774194,sparse,43.1,103.90275080906149,sparse,42.9,,insufficient,22.1,13.12220634920635,sparse,43.8,7.720858000000001,sparse,43.8,4.7660347826086955,sparse,39.9,1.295,sparse,40.8,11.069864636209815,sparse,41.0,55.027904761904765,sparse,43.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,2
