city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kalyan,Maharashtra,Maharashtra,2019,6,26.366177606177608,sparse,36.0,77.343828125,sparse,35.6,18.115533596837945,sparse,35.1,23.31098814229249,sparse,35.1,41.425968379446644,sparse,35.1,34.480961538461536,sparse,36.1,0.9809999999999999,sparse,36.1,22.33150197628459,sparse,35.1,18.233696498054478,sparse,35.7,4.434559999999999,sparse,34.7,,insufficient,0.0,9.33808,sparse,34.7,18.54432,sparse,34.7,,insufficient,0.0,1.0306153846153845,sparse,36.1,168.4920769230769,sparse,36.1,82.95357692307691,sparse,36.1,28.746923076923075,sparse,36.1,,insufficient,20.1,,insufficient,0.0,1002.0146538461539,sparse,36.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2019,7,22.579949409780774,good,79.7,51.08285953177258,good,80.4,20.12471942446043,good,93.4,24.21536690647482,good,93.4,44.2705035971223,good,93.4,31.26711111111111,good,90.7,0.998223201174743,good,91.5,13.317136690647482,good,93.4,11.905417276720351,good,91.8,4.117774343122102,good,87.0,,insufficient,0.0,18.498557993730408,good,85.8,51.28569640062597,good,85.9,,insufficient,0.0,0.9615565345080762,good,91.5,175.26550512445095,good,91.8,93.05948755490483,good,91.8,26.993074670571005,good,91.8,145.3408,good,50.4,,insufficient,0.0,1001.7674084919473,good,91.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2019,8,22.768462709284627,good,88.3,63.591112828438945,good,87.0,22.49191616766467,good,89.8,20.487852852852853,good,89.5,42.84449101796407,good,89.8,37.73717948717949,good,89.1,0.8543898809523811,good,90.3,12.587931034482757,good,89.7,11.622032640949556,good,90.6,2.9630699088145898,good,88.4,,insufficient,0.0,20.72665648854962,good,88.0,67.64618320610687,good,88.0,,insufficient,0.0,0.9017359050445104,good,90.6,174.27063798219586,good,90.6,,insufficient,17.5,27.350341246290803,good,90.6,150.0243342776204,sparse,47.4,,insufficient,0.0,1002.8487982195845,good,90.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2019,9,25.430535714285714,good,93.3,63.42990936555891,good,91.9,21.116136701337297,good,93.5,22.588988095238097,good,93.3,43.62884101040119,good,93.5,37.81823708206687,good,91.4,1.0132595870206489,good,94.2,14.60717261904762,good,93.3,14.738144329896908,good,94.3,3.524525316455696,good,87.8,,insufficient,0.0,6.937085987261146,good,87.2,20.076837881219905,good,86.5,,insufficient,0.0,0.9253382352941176,good,94.4,179.5184117647059,good,94.4,,insufficient,0.1,27.29323529411765,good,94.4,130.86324099722992,good,50.1,,insufficient,0.0,1001.6771122994654,sparse,26.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2019,10,35.96040579710145,good,92.7,87.35454678362572,good,91.9,12.727780979827092,good,93.3,24.06605187319885,good,93.3,36.742536023054754,good,93.3,15.219211678832117,good,92.1,1.1315689149560118,good,91.7,14.211815561959654,good,93.3,28.51499261447563,good,91.0,3.3840649149922717,good,87.0,,insufficient,0.0,5.960480620155039,good,86.7,18.39308527131783,good,86.7,,insufficient,0.0,0.6177466863033874,good,91.3,159.78379970544918,good,91.3,,insufficient,0.0,29.343195876288657,good,91.3,187.9407627118644,sparse,47.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2019,11,61.58371757925072,good,96.4,141.83043795620438,good,95.1,15.122903703703702,good,93.8,33.1729925925926,good,93.8,48.251288888888894,good,93.8,9.652723342939481,good,96.4,1.3936563876651984,good,94.6,14.716355555555557,good,93.8,29.871208633093524,good,96.5,5.091320450885668,good,86.2,,insufficient,0.0,7.667370967741936,good,86.1,18.54035483870968,good,86.1,,insufficient,0.0,0.6028201438848921,good,96.5,153.84869064748202,good,96.5,,insufficient,0.0,29.075856115107914,good,96.5,180.13236923076926,sparse,45.1,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2019,12,54.72854545454546,good,88.7,189.51100303951367,good,88.4,13.66109756097561,good,88.2,21.458414634146344,good,88.2,35.11669207317074,good,88.2,6.622684049079754,good,87.6,1.4887786259541984,good,88.0,27.899405487804877,good,88.2,27.653363774733634,good,88.3,10.720320610687022,good,88.0,,insufficient,0.0,18.41570336391437,good,87.9,47.11715596330276,good,87.9,,insufficient,0.0,0.5745864661654135,good,89.4,155.97449624060152,good,89.4,,insufficient,0.0,27.823398496240596,good,89.4,126.77752442996741,sparse,41.3,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2020,1,65.40623287671232,good,98.1,205.26664335664336,good,96.1,27.62890603085554,good,95.8,26.124608695652174,good,92.7,52.64372549019607,good,96.0,20.998024691358026,good,98.0,1.4785617367706918,good,99.1,44.68913043478261,good,95.8,8.993943089430894,good,99.2,13.40354794520548,good,98.1,,insufficient,0.0,24.92967123287671,good,98.1,67.03201369863015,good,98.1,,insufficient,0.0,0.6231529093369418,good,99.3,157.26435723951286,good,99.3,,insufficient,0.0,25.580920162381595,good,99.3,130.60254237288137,sparse,47.6,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2020,2,87.58087481146305,good,95.3,222.59544764795143,good,94.7,13.100198473282445,good,94.1,16.3121044546851,good,93.5,29.258885496183204,good,94.1,26.26,good,93.4,1.5304097116843705,good,94.7,22.958211009174313,good,94.0,31.705304878048782,good,94.3,10.002358208955224,good,96.3,,insufficient,0.0,23.621448170731703,good,94.3,63.2811497730711,good,95.0,,insufficient,0.0,0.615975975975976,good,95.7,163.8312012012012,good,95.7,,insufficient,0.0,28.51024024024024,good,95.7,239.29418397626114,sparse,48.4,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Kalyan,Maharashtra,Maharashtra,2020,3,61.087732142857135,good,75.3,184.6834012219959,good,66.0,9.55281690140845,good,85.9,20.91327613104524,good,86.2,31.099626168224297,good,86.3,29.783737373737374,good,79.8,0.9154452054794521,good,78.5,8.733770226537217,good,83.1,74.1268144499179,good,81.9,2.5014141414141413,good,66.5,,insufficient,0.0,2.8014498933901923,good,63.0,8.620298507462687,good,63.0,,insufficient,0.0,0.696344262295082,good,82.0,167.45496721311474,good,82.0,,insufficient,0.0,29.35206557377049,good,82.0,269.5662848297214,sparse,43.4,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
