city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Katihar,Bihar,Bihar,2021,11,,insufficient,22.2,,insufficient,21.2,20.53692307692308,sparse,27.1,34.59138461538463,sparse,27.1,35.080820512820516,sparse,27.1,5.009340659340658,sparse,25.3,,insufficient,24.2,35.606700507614214,sparse,27.4,15.645252525252527,sparse,27.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,17.6,,insufficient,17.6,,insufficient,13.2,,insufficient,17.9,,insufficient,17.9,0.0,sparse,27.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2021,12,158.97468613138687,good,92.1,337.8236018957346,good,85.1,22.80911806543385,good,94.5,45.81968749999999,good,94.6,42.490042372881355,good,95.2,2.9665550239234455,good,84.3,1.4235901162790698,good,92.5,32.78449678800857,good,62.8,16.72064421669107,good,91.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.23298171589310826,good,95.6,236.98302725968438,good,93.7,79.02410179640718,good,89.8,24.879887482419132,good,95.6,48.09284106891702,good,95.6,0.0,good,95.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,1,155.84073732718895,good,87.5,310.45824390243905,good,82.7,17.826760355029585,good,90.9,30.395731166912856,good,91.0,30.48546391752577,good,91.3,1.0885133020344286,good,85.9,0.8438338658146965,good,84.1,52.082725925925935,good,90.7,12.314235294117648,good,91.4,1.1637333333333333,sparse,30.2,6.316,sparse,30.2,,insufficient,22.7,2.9273831775700936,sparse,28.8,,insufficient,0.0,1.227688888888889,sparse,30.2,0.2771994134897361,good,91.7,243.24254086181278,good,90.5,81.24871951219512,good,88.2,,insufficient,12.4,43.46319648093842,good,91.7,0.0,good,91.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,2,114.0714897260274,good,86.9,306.9669557195572,good,80.7,17.998283931357253,good,95.4,29.628444790046657,good,95.7,30.182360248447207,good,95.8,4.571335453100159,good,93.6,0.20052410901467507,good,71.0,31.592328548644335,good,93.3,27.301724137931036,good,90.6,0.7909175738724727,good,95.7,5.2290979782270615,good,95.7,0.5023630136986301,sparse,43.5,2.418578125,good,95.2,,insufficient,0.0,1.001384136858476,good,95.7,0.3050320512820513,good,92.9,195.01377022653722,good,92.0,69.73490712074303,good,96.1,,insufficient,8.5,59.85917956656347,good,96.1,0.0,good,96.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,3,156.95444104134762,good,87.8,354.09807511737085,good,85.9,9.888333333333334,good,90.3,23.07824404761905,good,90.3,20.2548588410104,good,90.5,3.224551386623165,good,82.4,0.14962699822380107,good,75.7,20.518776119402986,good,90.1,31.652375939849627,good,89.4,0.7451862891207154,good,90.2,4.515052160953801,good,90.2,1.4820366132723115,good,58.7,1.8871186440677965,good,55.5,,insufficient,0.0,0.7396125186289121,good,90.2,0.3481201848998459,good,87.2,198.24681114551083,good,86.8,59.28919881305638,good,90.6,27.596587537091985,good,90.6,47.248249258160236,good,90.6,0.002626112759643917,good,90.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,4,81.55812933025403,good,60.1,197.3413348946136,good,59.3,6.385562372188139,good,67.9,29.55047034764826,good,67.9,20.75002036659878,good,68.2,3.6733475479744135,good,65.1,0.03432967032967033,good,63.2,10.17817248459959,good,67.6,30.899524793388427,good,67.2,0.3216082474226804,good,67.4,2.089360824742268,good,67.4,0.8493167701863354,good,67.1,,insufficient,11.4,,insufficient,0.0,0.2256494845360825,good,67.4,0.3559591836734694,good,68.1,116.02730061349695,good,67.9,65.39304081632653,good,68.1,32.73217118997913,good,66.5,47.16938775510204,good,68.1,0.0,good,68.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,5,43.98282178217822,good,81.5,141.01574712643676,good,81.9,2.031843251088534,good,92.6,16.412524682651622,good,95.3,10.140013966480447,good,96.2,7.326803519061584,good,91.7,0.017227011494252875,good,93.5,19.18545058139535,good,92.5,43.27585195530726,good,96.2,0.21811614730878187,good,94.9,1.4351983002832862,good,94.9,0.6609375,good,94.6,,insufficient,8.6,,insufficient,0.0,0.1261473087818697,good,94.9,0.8262931034482759,good,93.5,96.09564655172414,good,93.5,72.63204735376044,good,96.5,33.46632311977716,good,96.5,79.80011142061282,good,96.5,0.0074233983286908075,good,96.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,6,37.94165316045381,good,85.7,128.23,good,87.4,1.5201296829971178,good,96.4,15.505451936872308,good,96.8,9.403834048640915,good,97.1,12.929358208955223,good,93.1,0.6851571428571429,good,97.2,9.55299565846599,good,96.0,40.9128,good,97.2,0.22879008746355686,good,95.3,1.2170262390670556,good,95.3,0.6986363636363636,good,88.6,,insufficient,7.9,,insufficient,0.0,0.16427113702623905,good,95.3,0.8905701754385966,good,95.0,102.59591508052708,good,94.9,76.623547008547,good,97.5,34.08544159544159,good,97.5,56.897193732193735,good,97.5,0.08252136752136753,good,97.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,7,22.500545746388443,good,83.7,83.69621405750799,good,84.1,3.0536886395511926,good,95.8,16.33291086350975,good,96.5,11.068803894297636,good,96.6,11.950394366197184,good,95.4,1.0873463687150837,good,96.2,21.311183844011143,good,96.5,22.137148876404495,good,95.7,0.229971671388102,good,94.9,0.8988101983002832,good,94.9,0.5568373493975903,good,89.2,0.3244262295081967,sparse,32.8,,insufficient,0.0,0.12606232294617564,good,94.9,0.886136034732272,good,92.9,94.43746743849492,good,92.9,73.39851182197496,good,96.6,32.37766342141864,good,96.6,57.041488178025034,good,96.6,0.1050904033379694,good,96.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Katihar,Bihar,Bihar,2022,8,25.029017857142858,good,75.3,96.2670066889632,good,80.4,5.044607703281026,good,94.2,18.95752136752137,good,94.4,13.992909604519774,good,95.2,4.2585831960461284,good,81.6,1.9183734087694484,good,95.0,12.147363636363636,good,88.7,21.212059238363892,good,95.3,0.14776296296296298,good,90.7,2.4722962962962964,good,90.7,0.6608728943338438,good,87.8,0.35167235494880544,sparse,39.4,,insufficient,0.0,0.26942222222222223,good,90.7,0.8860653409090908,good,94.6,118.2503413940256,good,94.5,76.24779020979021,good,96.1,28.053510489510494,good,96.1,42.05604195804196,good,96.1,0.10166433566433566,good,96.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
