city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Khanna,Punjab,Punjab,2018,4,44.323750000000004,sparse,35.6,145.2520542635659,sparse,35.8,,insufficient,17.2,,insufficient,14.2,,insufficient,17.2,38.27449735449735,sparse,26.2,0.0007237065637065637,sparse,36.0,,insufficient,14.7,46.855789473684204,sparse,26.4,,insufficient,16.1,,insufficient,11.4,,insufficient,15.7,,insufficient,13.3,,insufficient,14.4,1.4729738562091503,sparse,42.5,228.11091503267974,sparse,42.5,32.47228758169935,sparse,42.5,,insufficient,0.0,326.52450980392155,sparse,42.5,,insufficient,21.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,5,44.162085889570555,good,87.6,134.16620498614958,good,97.0,25.520266666666664,good,60.5,25.078932038834953,good,55.4,48.199000000000005,good,60.5,16.13766590389016,good,58.7,0.0008470457697642163,good,96.9,9.49126582278481,good,53.1,22.74328173374613,good,86.8,3.537374429223744,good,58.9,8.232293906810037,sparse,37.5,5.33170616113744,good,56.7,8.490758293838862,good,56.7,27.53777251184834,good,56.7,1.5688919667590029,good,97.0,227.868891966759,good,97.0,35.058448753462606,good,97.0,,insufficient,0.0,344.28783933518,good,97.0,0.0,good,55.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,6,62.25248164464024,good,94.6,156.0521936459909,good,91.8,22.420803921568627,good,70.8,14.869119373776908,good,71.0,37.205244618395305,good,71.0,14.21751479289941,good,93.9,0.0003938905325443787,good,93.9,10.296536203522507,good,71.0,11.226367851622873,good,89.9,4.679966555183946,good,83.1,3.8156020066889624,good,83.1,11.577027972027972,good,79.4,19.067010489510494,good,79.4,53.21062937062938,good,79.4,1.3217251461988304,good,95.0,203.0499415204678,good,95.0,57.83393274853802,good,95.0,,insufficient,0.0,332.93644736842106,good,95.0,0.0,good,95.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,7,20.868247282608696,good,98.9,52.974413793103444,good,97.4,15.274726775956282,good,98.4,9.456994535519126,good,98.4,24.721612021857926,good,98.4,4.647469387755102,good,98.8,0.0005254619565217391,good,98.9,11.30587431693989,good,98.4,14.134084124830393,good,99.1,4.296584699453552,good,98.4,2.4529234972677596,good,98.4,8.589381017881704,good,97.7,17.169477303988995,good,97.7,21.050013755158187,good,97.7,0.9829443690637721,good,99.1,191.65101763907734,good,99.1,78.98233378561736,good,99.1,,insufficient,0.0,329.8473134328358,good,99.1,0.0,good,99.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,8,21.330524899057874,good,99.9,54.72223719676549,good,99.7,21.789609690444145,good,99.9,7.531076716016151,good,99.9,29.337967698519517,good,99.9,4.459744623655914,good,100.0,0.00046406460296096895,good,99.9,10.136890982503363,good,99.9,18.562889784946236,good,100.0,4.2141935483870965,good,100.0,1.930510752688172,good,100.0,1.6917338709677414,good,100.0,2.7000806451612895,good,100.0,10.389516129032259,good,100.0,0.762728494623656,good,100.0,189.3247043010753,good,100.0,84.0531182795699,good,100.0,,insufficient,0.0,292.1518951612903,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,9,24.284881780250352,good,99.9,50.60179166666668,good,100.0,42.16406424581006,good,99.4,11.87616991643454,good,99.7,53.973579387186625,good,99.7,7.799969183359014,good,90.1,0.0004237325905292479,good,99.7,12.478447552447552,good,99.3,26.549442896935933,good,99.7,3.039041666666667,good,100.0,0.22359722222222222,good,100.0,1.6497916666666665,good,100.0,2.009305555555555,good,100.0,10.396388888888891,good,100.0,1.0348050139275766,good,99.7,241.58494428969357,good,99.7,83.63819444444445,good,100.0,,insufficient,0.0,251.55672222222222,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,10,51.821637107776255,good,98.5,117.46737903225808,good,100.0,34.03777327935222,good,99.6,46.764326145552566,good,99.7,80.69250673854448,good,99.7,9.534246575342467,good,98.1,0.0006119220430107526,good,100.0,9.081132075471698,good,99.7,26.535693135935393,good,99.9,4.311249999999999,good,100.0,0.20482526881720428,good,100.0,1.651586021505376,good,100.0,2.0099999999999993,good,100.0,10.400000000000002,good,100.0,0.8806317204301074,good,100.0,245.784623655914,good,100.0,66.17993279569892,good,100.0,,insufficient,0.0,230.59649193548384,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,11,48.23785515320334,good,99.7,111.40707520891365,good,99.7,14.89474930362117,good,99.7,44.181559888579386,good,99.7,59.075334261838435,good,99.7,23.79050209205021,good,99.6,0.0005345034965034965,good,99.3,10.356337047353762,good,99.7,12.953774373259055,good,99.7,5.757548746518106,good,99.7,0.15623955431754877,good,99.7,1.650222841225627,good,99.7,2.0099999999999993,good,99.7,10.400000000000002,good,99.7,1.0390389972144847,good,99.7,237.46050139275764,good,99.7,63.48668523676881,good,99.7,,insufficient,0.0,168.30281337047353,good,99.7,0.0,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2018,12,42.491290322580646,good,100.0,117.82016129032257,good,100.0,7.601599462365591,good,100.0,33.481518817204304,good,100.0,41.08284946236559,good,100.0,16.99793010752688,good,100.0,0.00043633916554508746,good,99.9,10.126787634408602,good,100.0,4.6009677419354835,good,100.0,6.7548790322580645,good,100.0,0.1253763440860215,good,100.0,1.65,good,100.0,2.0099999999999993,good,100.0,10.400026881720432,good,100.0,0.9586559139784946,good,100.0,258.16634408602147,good,100.0,73.17752688172044,good,100.0,,insufficient,0.0,147.7792741935484,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Khanna,Punjab,Punjab,2019,1,43.5022102425876,good,99.7,99.43801144492132,good,94.0,5.061465053763441,good,100.0,22.53817204301075,good,100.0,27.599690860215052,good,100.0,11.83892328398385,good,99.9,0.00040506189821182937,good,97.7,9.728346774193547,good,100.0,10.102163978494623,good,100.0,5.489462365591398,good,100.0,0.10334677419354839,good,100.0,1.65,good,100.0,2.0100403225806445,good,100.0,10.400376344086023,good,100.0,1.2319220430107527,good,100.0,269.27909946236565,good,100.0,77.94069892473118,good,100.0,,insufficient,0.0,166.8416129032258,good,100.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
