city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Khurja,Uttar Pradesh,Uttar Pradesh,2022,6,46.968093587521665,good,80.1,157.71680147058825,good,75.6,6.423993710691824,good,88.3,7.964402515723271,good,88.3,16.87809230769231,good,90.3,4.636869158878505,good,89.2,0.6173230769230769,good,90.3,4.343364485981309,good,89.2,12.674532019704433,good,84.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.6382453151618398,good,81.5,164.21822075782535,good,84.3,52.218413685847594,good,89.3,32.96385692068429,good,89.3,223.98430769230768,good,90.3,0.06512307692307692,good,90.3,735.4807153965785,good,89.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2022,7,26.38444705882353,good,57.1,54.72229445506692,good,70.3,6.6996182085168865,good,91.5,4.4247723935389125,good,91.5,14.485349854227403,good,92.2,4.331321585903084,good,91.5,0.4225510204081633,good,92.2,4.702511013215859,good,91.5,17.413205574912894,good,77.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.3199055118110236,good,85.3,83.75575342465753,good,88.3,78.52511144130759,good,90.5,30.67632986627043,good,90.5,173.23384839650146,good,92.2,0.1636880466472303,good,92.2,736.545676077266,good,90.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2022,8,53.15097709923664,good,88.0,114.61513812154696,good,73.0,8.255922865013773,good,97.6,8.52939393939394,good,97.6,20.96012362637363,good,97.8,17.061129476584025,good,97.6,0.400728021978022,good,97.8,4.151184573002755,good,97.6,17.027878787878787,good,97.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.390715350223547,good,90.2,108.83718972895862,good,94.2,75.34736914600552,good,97.6,30.601666666666663,good,97.6,141.53348901098903,good,97.8,0.06494505494505495,good,97.8,736.8666528925619,good,97.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2022,9,54.566340057636886,good,96.4,88.66812680115274,good,96.4,9.04633941093969,good,99.0,10.64022440392707,good,99.0,24.193314763231204,good,99.7,46.44163407821229,good,99.4,0.4742896935933147,good,99.7,4.823240223463688,good,99.4,20.1291061452514,good,99.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.334656,good,86.8,97.95625757575758,good,91.7,76.14668994413408,good,99.4,29.462723463687148,good,99.4,102.19855153203342,good,99.7,0.26348189415041784,good,99.7,739.0457402234637,good,99.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2022,10,73.1814705882353,good,96.0,190.53721288515408,good,96.0,11.923991935483873,good,100.0,16.460994623655917,good,100.0,34.55158602150537,good,100.0,16.689005376344088,good,100.0,1.0201344086021507,good,100.0,5.5169758064516135,good,100.0,43.25262096774193,good,100.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.3174300699300699,good,76.9,114.35345218800649,good,82.9,70.55995890410958,good,98.1,25.61849315068493,good,98.1,57.50592741935484,good,100.0,0.14532258064516126,good,100.0,743.7201643835616,good,98.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2022,11,83.50556834532374,good,96.5,121.47623021582736,good,96.5,19.633430555555556,good,100.0,34.893388888888886,good,100.0,64.48277777777777,good,100.0,12.931430555555558,good,100.0,0.7048194444444444,good,100.0,9.173694444444445,good,100.0,31.717991202346038,good,94.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.3574760994263862,good,72.6,132.36862542955328,good,80.8,64.09149859943977,good,99.2,21.089453781512606,good,99.2,39.885333333333335,good,100.0,0.009125000000000001,good,100.0,745.9564565826329,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2022,12,93.31841791044775,good,90.1,152.10720895522388,good,90.1,20.390282258064516,good,100.0,41.87297043010752,good,100.0,72.65505376344086,good,100.0,23.277043010752692,good,100.0,1.2428494623655915,good,100.0,14.4625,good,100.0,54.21414364640884,good,97.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.43721202003338894,good,80.5,163.25335443037974,good,84.9,70.27482710926694,good,97.2,15.709460580912861,good,97.2,26.613319892473122,good,100.0,0.0024731182795698927,good,100.0,746.5685892116184,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2023,1,89.92370923913045,good,98.9,146.12702445652172,good,98.9,16.190228494623657,good,100.0,33.06538978494624,good,100.0,57.57139784946236,good,100.0,32.64926075268817,good,100.0,0.8046505376344085,good,100.0,5.917459677419355,good,100.0,35.01917241379311,good,97.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.39925925925925926,good,90.7,131.88464033850494,good,95.3,74.98104838709678,good,100.0,13.616868279569891,good,100.0,33.158373655913984,good,100.0,0.027043010752688168,good,100.0,747.8233870967744,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2023,2,62.2675,good,95.2,101.185625,good,95.2,16.323038922155686,good,99.4,31.32239520958084,good,99.4,55.602663690476184,good,100.0,40.69531437125749,good,99.4,0.9809672619047619,good,100.0,5.438023952095809,good,99.4,41.91880239520958,good,99.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7022475570032573,good,91.4,171.595117370892,good,95.1,63.85853293413174,good,99.4,20.095494011976047,good,99.4,68.86471726190476,good,100.0,0.0025,good,100.0,745.5967065868263,good,99.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Khurja,Uttar Pradesh,Uttar Pradesh,2023,3,53.99424764890282,good,85.8,87.7466300940439,good,85.8,11.618826895565093,good,94.0,21.514420600858372,good,94.0,38.646225071225075,good,94.4,44.59931330472103,good,94.0,0.8243589743589744,good,94.4,4.860271816881259,good,94.0,35.30041487839771,good,94.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.5067260940032414,good,82.9,137.80953271028037,good,86.3,61.136597325408616,good,90.5,24.17594353640416,good,90.5,78.28418803418803,good,94.4,0.04113960113960114,good,94.4,744.5711441307578,good,90.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
