city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kishanganj,Bihar,Bihar,2021,11,,insufficient,24.9,272.3333333333333,sparse,25.4,2.513913043478261,sparse,25.6,,insufficient,24.3,4.002065217391304,sparse,25.6,,insufficient,15.6,,insufficient,5.8,30.768641304347828,sparse,25.6,25.864239130434786,sparse,25.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,21.4,,insufficient,21.4,41.60227027027027,sparse,25.7,27.241945945945947,sparse,25.7,122.42205405405406,sparse,25.7,0.0,sparse,25.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2021,12,159.60355648535565,good,96.4,257.559046961326,good,97.3,7.944002954209749,good,91.0,12.010178571428574,good,75.3,16.231255742725878,good,87.8,9.834643584521384,good,66.0,0.2971505376344085,sparse,25.0,27.143333333333334,good,97.6,26.960809917355373,good,81.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.4595726495726496,good,94.4,192.9060968660969,good,94.4,67.96768451519537,good,92.9,24.65591780821918,good,98.1,111.68334246575343,good,98.1,0.0,good,98.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,1,188.49297520661156,good,81.3,252.99473257698543,good,82.9,6.909605026929982,good,74.9,56.32778175313059,good,75.1,33.899948364888125,good,78.1,3.903525835866262,good,88.4,,insufficient,24.5,26.14458483754513,sparse,37.2,25.979925705794944,good,90.5,2.9061709401709406,good,78.6,6.143880341880342,good,78.6,0.9707504363001745,good,77.0,1.2440526315789473,good,76.6,,insufficient,0.0,0.9445470085470085,good,78.6,0.5290097402597402,good,82.8,204.3271103896104,good,82.8,81.63416058394161,good,73.7,18.009145802650956,good,91.3,97.67476550680787,good,88.8,0.0,good,91.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,2,149.66246527777778,good,85.7,254.52282534246578,good,86.9,3.5316613418530345,good,93.2,51.1942356687898,good,93.5,29.743296354992083,good,93.9,7.384654895666131,good,92.7,,insufficient,22.5,,insufficient,5.4,49.59267090620032,good,93.6,2.2269282136894826,good,89.1,4.916310517529215,good,89.1,0.7750000000000001,good,87.8,0.8154716981132076,good,86.8,,insufficient,0.0,0.5208848080133556,good,89.1,0.619546191247974,good,91.8,167.62612641815235,good,91.8,71.31508169934641,good,91.1,21.144416,good,93.0,132.12122033898302,good,87.8,0.0,good,93.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,3,113.95910891089109,good,95.0,220.20054597701153,good,93.5,3.8453041018387553,good,95.0,31.89008683068018,good,92.9,18.961458333333333,good,96.8,12.730110344827587,good,97.4,,insufficient,16.5,47.98306818181819,good,59.1,62.76244201909959,good,98.5,1.2461813186813187,good,97.8,4.899107142857143,good,97.8,0.7256868131868133,good,97.8,0.18577075098814233,good,68.0,,insufficient,0.0,0.2078846153846154,good,97.8,0.6329795918367347,good,98.8,167.31019047619046,good,98.8,63.2792380952381,good,98.8,31.383542538354252,good,96.4,148.79150782361307,good,94.5,0.0,good,98.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,4,47.47267536704731,good,85.1,110.59802588996764,good,85.8,9.581170212765958,good,91.4,25.2735552193646,good,91.8,20.05329359165425,good,93.2,8.436424242424243,good,91.7,4.366812227074236e-05,sparse,31.8,42.01216012084592,good,91.9,57.98825757575757,good,91.7,0.3434389140271493,good,92.1,9.571689291101057,good,92.1,0.6941214057507987,good,86.9,,insufficient,20.1,,insufficient,0.0,0.25188536953242835,good,92.1,1.1193939393939394,good,82.5,185.7334175084175,good,82.5,78.0062831858407,good,94.2,26.58041358936485,good,94.0,114.33173590504451,good,93.6,0.0,good,94.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,5,44.87800687285223,good,78.2,83.16581911262799,good,78.8,12.56759512937595,good,88.3,34.82129411764706,good,91.4,22.23449127906977,good,92.5,9.096132930513596,good,89.0,0.150939226519337,sparse,48.7,30.150413476263402,good,87.8,73.27410480349344,good,92.3,0.292143906020558,good,91.5,10.359353891336271,good,91.5,0.5004845814977974,good,91.5,,insufficient,7.9,,insufficient,0.0,0.21676945668135097,good,91.5,1.4407614942528735,good,93.5,280.17494252873564,good,93.5,77.29163793103447,good,93.5,26.967492795389052,good,93.3,132.85778901734105,good,93.0,0.003951149425287357,good,93.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,6,36.40985130111524,good,74.7,70.04537037037036,good,75.0,9.532271293375395,good,88.1,29.34756630265211,good,89.0,19.26709480122324,good,90.8,5.366593059936909,good,88.1,0.8004334365325078,good,89.7,18.30944881889764,good,88.2,63.464,good,88.2,0.2442923794712286,good,89.3,7.338771384136859,good,89.3,0.2131083844580777,good,67.9,0.5260034013605441,good,81.7,,insufficient,0.0,0.26856920684292385,good,89.3,1.441705069124424,good,90.4,280.3221966205837,good,90.4,86.20487654320988,good,90.0,27.524095092024538,good,90.6,124.55190184049079,good,90.6,0.31924846625766873,good,90.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,7,19.950233281493002,good,86.4,48.549492307692304,good,87.4,7.470742296918768,good,96.0,20.828337950138504,good,97.0,15.682486263736264,good,97.8,3.14771754636234,good,94.2,0.5995724137931034,good,97.4,28.613772538141475,good,96.9,45.5428,good,97.4,0.2209423347398031,good,95.6,9.806497890295358,good,95.6,0.3251705565529623,good,74.9,0.7423769338959213,good,95.6,,insufficient,0.0,0.540450070323488,good,95.6,1.3388967468175388,good,95.0,283.48821782178214,good,95.0,81.36463548830812,good,97.7,30.825322359396434,good,98.0,138.64037037037036,good,98.0,0.10643347050754459,good,98.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Kishanganj,Bihar,Bihar,2022,8,25.688946540880504,good,85.5,51.77179566563468,good,86.8,7.68673157162726,good,96.6,23.78975034674064,good,96.9,16.789129834254144,good,97.3,4.239526462395544,good,96.5,0.5893055555555555,good,96.8,35.197308228730826,good,96.4,38.24753803596127,good,97.2,0.22081717451523547,good,97.0,6.310595567867036,good,97.0,0.20991649269311063,good,64.4,0.5742936288088643,good,97.0,,insufficient,0.0,0.2665235457063712,good,97.0,1.3512970711297072,good,96.4,267.5822594142259,good,96.4,83.29157024793389,good,97.6,30.002861072902334,good,97.7,124.06990371389271,good,97.7,0.08689133425034387,good,97.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
