city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kohima,Nagaland,Nagaland,2020,9,20.46215358931553,good,83.2,44.257636363636365,good,84.0,2.1567897271268057,good,86.5,2.6624077046548957,good,86.5,5.028791208791209,good,88.5,12.558956661316213,good,86.5,0.3221664050235479,good,88.5,1.0729855537720707,good,86.5,9.350706260032103,good,86.5,0.0,good,88.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.101065830721003,good,88.6,157.61352664576802,good,88.6,89.44119122257054,good,88.6,21.194043887147334,good,88.6,,insufficient,14.4,0.0006426332288401254,good,88.6,842.6297331240189,good,88.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2020,10,20.260256045519203,good,94.5,54.16814084507043,good,95.4,2.480983827493261,good,99.7,2.6632210242587604,good,99.7,5.478638814016173,good,99.7,13.922708894878708,good,99.7,0.4142183288409704,good,99.7,1.636401617250674,good,99.7,6.672762803234501,good,99.7,0.04029649595687331,good,99.7,,insufficient,0.0,,insufficient,7.9,0.1858677685950413,sparse,32.5,,insufficient,0.0,1.0530592991913748,good,99.7,174.66308625336927,good,99.7,89.34354447439354,good,99.7,20.64301886792453,good,99.7,143.02390374331551,good,50.3,0.01247978436657682,good,99.7,850.8993935309975,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2020,11,31.982965722801787,good,93.2,81.72747787610619,good,94.2,4.2219800569800565,good,97.5,2.6785633001422475,good,97.6,5.44398293029872,good,97.6,14.51465149359886,good,97.6,0.43140825035561875,good,97.6,4.527553342816501,good,97.6,8.29267425320057,good,97.6,0.0,good,97.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.1471834992887624,good,97.6,172.14385490753912,good,97.6,66.38938833570413,good,97.6,17.456415362731153,good,97.6,202.5347988505747,sparse,48.3,0.006514935988620199,good,97.6,854.5079374110954,good,97.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2020,12,43.75594650205761,good,65.3,80.5690264255911,good,96.6,2.622870879120879,good,97.8,2.6993269230769235,good,97.8,5.6953021978021985,good,97.8,15.896565934065935,good,97.8,0.5017445054945054,good,97.8,2.5529807692307696,good,97.8,8.61282967032967,good,97.8,0.06337912087912088,good,97.8,,insufficient,0.0,,insufficient,4.7,,insufficient,5.1,,insufficient,0.0,1.1146345514950167,good,80.9,185.35598006644517,good,80.9,67.74842192691031,good,80.9,13.637956810631229,good,80.9,189.97002865329512,sparse,46.9,0.0,good,97.8,852.2310299003321,good,80.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2021,1,58.58737127371273,good,99.2,120.1441248303935,good,99.1,2.2347767253044655,good,99.3,2.700825439783491,good,99.3,5.240446549391069,good,99.3,17.28345060893099,good,99.3,0.5376995940460081,good,99.3,2.066251691474966,good,99.3,10.310446549391068,good,99.3,1.2443572395128553,good,99.3,,insufficient,0.0,0.2515155615696888,good,99.3,0.7707036535859269,good,99.3,,insufficient,0.0,1.1792991452991455,good,78.6,185.56311111111114,good,78.6,71.80365811965812,good,78.6,12.639708171206225,good,69.1,162.5886046511628,sparse,40.5,0.0006901217861975643,good,99.3,850.9726666666666,good,78.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2021,2,58.157287878787876,good,98.2,139.46681818181818,good,94.9,2.190497737556561,good,98.7,2.7110172143974958,good,95.1,5.164027149321267,good,98.7,18.978638497652582,good,95.1,0.5352488687782806,good,98.7,2.0693363499245847,good,98.7,15.31604826546003,good,98.7,1.022503770739065,good,98.7,,insufficient,0.0,0.23289193302891936,good,97.8,0.7792145015105739,good,98.5,,insufficient,0.0,1.2160935143288085,good,98.7,187.98772247360483,good,98.7,60.857888386123676,good,98.7,15.340241327300154,good,98.7,181.97988732394367,good,52.8,0.0022926093514328808,good,98.7,852.0666968325792,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2021,3,77.16507853403142,good,51.3,158.87179054054056,good,79.6,6.732847790507366,good,82.1,2.675270935960591,good,81.9,6.53044262295082,good,82.0,20.188166939443537,good,82.1,0.5985106382978723,good,82.1,5.930327868852459,good,82.0,16.99703459637562,good,81.6,0.39926350245499187,good,82.1,,insufficient,0.0,0.15597777777777777,good,60.5,0.5495851528384279,good,61.6,,insufficient,0.0,1.2615875613747953,good,82.1,183.56152209492635,good,82.1,54.34006546644844,good,82.1,18.83828150572831,good,82.1,232.78637462235653,sparse,44.5,0.03556464811783961,good,82.1,851.3726022913257,good,82.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2021,4,44.4004260651629,good,55.4,111.44236541598694,good,85.1,14.029969278033795,good,90.4,2.614030769230769,good,90.3,7.071822289156628,good,92.2,20.972,good,92.4,0.374421052631579,good,92.4,10.448064516129033,good,90.4,29.864436090225563,good,92.4,0.0,good,92.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.2897744360902257,good,92.4,177.38404511278196,good,92.4,52.2421954887218,good,92.4,21.234661654135337,good,92.4,240.0033507853403,good,53.1,0.039624060150375943,good,92.4,851.1786616541355,good,92.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2021,5,29.816677852348995,good,80.1,55.67318107667211,good,82.4,2.3523601637107774,good,98.5,2.6469713506139154,good,98.5,5.372864938608459,good,98.5,22.30261937244202,good,98.5,0.0765893587994543,good,98.5,2.078990450204638,good,98.5,11.63118690313779,good,98.5,0.0,good,98.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.3241200545702592,good,98.5,163.6376125511596,good,98.5,76.22667121418826,good,98.5,20.88975443383356,good,98.5,165.91157407407408,good,58.1,0.10912687585266032,good,98.5,849.4596180081854,good,98.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kohima,Nagaland,Nagaland,2021,6,14.012412060301507,good,55.3,41.47692415730337,good,98.9,2.2275871687587165,good,99.6,2.636806136680614,good,99.6,5.214490934449094,good,99.6,23.746499302649926,good,99.6,0.030934449093444907,good,99.6,2.0121059972106,good,99.6,10.018661087866109,good,99.6,0.0,good,99.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.1422454672245468,good,99.6,163.4550069735007,good,99.6,86.49834030683402,good,99.6,21.853096234309625,good,99.6,126.69049217002238,good,62.1,0.11493723849372385,good,99.6,847.2764016736403,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
