city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kolar,Karnataka,Karnataka,2018,6,20.020843373493975,sparse,34.6,137.7617910447761,sparse,27.9,4.329645669291339,sparse,35.3,10.838346456692912,sparse,35.3,8.05585535433071,sparse,35.3,,insufficient,20.1,0.6678636363636364,sparse,30.6,,insufficient,13.2,22.17414342629482,sparse,34.9,0.05133858267716535,sparse,35.3,,insufficient,17.4,,insufficient,21.5,1.2290909090909092,sparse,35.1,,insufficient,0.0,0.4080314960629921,sparse,35.3,176.39901574803153,sparse,35.3,71.00094488188975,sparse,35.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2018,7,24.97949799196787,good,66.9,43.713654618473896,good,66.9,6.895210420841684,good,67.1,11.618873239436619,good,66.8,9.765409238476956,good,67.1,9.336613226452904,good,67.1,0.0,good,67.1,,insufficient,4.8,19.898476953907817,good,67.1,0.0025651302605210423,good,67.1,0.012845691382765532,good,67.1,,insufficient,1.7,,insufficient,2.4,,insufficient,0.0,0.4062925851703407,good,67.1,176.2234869739479,good,67.1,73.9503006012024,good,67.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2018,8,118.21230994152047,sparse,46.0,28.29481049562682,sparse,46.1,6.32139941690962,sparse,46.1,8.49527696793003,sparse,46.1,7.868336326530612,sparse,46.1,8.71279883381924,sparse,46.1,0.6783965014577259,sparse,46.1,6.086539792387543,sparse,38.8,16.913560830860536,sparse,45.3,0.053673469387755114,sparse,46.1,0.17486880466472304,sparse,46.1,0.3374590163934426,sparse,32.8,0.4196763754045308,sparse,41.5,0.7263035019455254,sparse,34.5,0.4303206997084549,sparse,46.1,180.00180758017493,sparse,46.1,74.45833819241982,sparse,46.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2018,9,795.9424157303371,sparse,49.4,786.3779551820728,sparse,49.6,5.109466292134831,sparse,49.4,10.975518207282914,sparse,49.6,8.548548117977528,sparse,49.4,8.578422535211269,sparse,49.3,0.3516480446927374,sparse,49.7,9.746162464985995,sparse,49.6,24.00946778711485,sparse,49.6,0.0,sparse,49.7,0.0,sparse,49.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.3400837988826816,sparse,49.7,166.82715083798882,sparse,49.7,73.62340782122905,sparse,49.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2018,10,35.8597695035461,good,75.8,70.3473628318584,good,75.9,11.918725663716813,good,75.9,14.150657193605685,good,75.7,13.822211946902655,good,75.9,6.2214851485148515,good,54.3,0.14653097345132743,good,75.9,7.823982300884956,good,75.9,18.035391969407268,good,70.3,0.03100884955752213,good,75.9,0.08215929203539823,good,75.9,0.30182584269662927,sparse,47.8,0.8250280898876404,sparse,47.8,,insufficient,0.5,0.32244247787610614,good,75.9,175.96238938053096,good,75.9,74.29375221238938,good,75.9,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2018,11,,insufficient,24.2,,insufficient,23.8,,insufficient,24.2,,insufficient,24.0,,insufficient,24.2,,insufficient,14.4,,insufficient,24.2,,insufficient,24.0,,insufficient,22.5,,insufficient,24.2,,insufficient,24.2,,insufficient,23.6,,insufficient,24.0,,insufficient,0.6,,insufficient,24.2,,insufficient,24.2,,insufficient,24.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2018,12,,insufficient,14.2,,insufficient,10.6,,insufficient,14.4,,insufficient,14.2,,insufficient,14.4,,insufficient,10.6,,insufficient,14.4,,insufficient,14.2,,insufficient,14.4,,insufficient,14.4,,insufficient,0.0,,insufficient,11.6,,insufficient,11.4,,insufficient,0.0,,insufficient,14.4,,insufficient,14.4,,insufficient,14.4,,insufficient,14.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2019,1,,insufficient,22.8,,insufficient,15.9,,insufficient,23.3,,insufficient,23.3,,insufficient,23.4,,insufficient,8.7,,insufficient,23.4,,insufficient,23.1,,insufficient,23.3,,insufficient,23.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.4,,insufficient,23.4,,insufficient,23.4,,insufficient,23.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2019,2,41.87654166666666,sparse,35.7,52.084522613065324,sparse,29.6,40.37273092369478,sparse,37.1,23.11525,sparse,35.7,33.08490397590362,sparse,37.1,6.232857142857142,sparse,25.0,1.5382329317269074,sparse,37.1,8.38938524590164,sparse,36.3,0.6409716599190283,sparse,36.8,0.0,sparse,29.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.33646586345381524,sparse,37.1,177.03847389558234,sparse,37.1,60.15746987951807,sparse,37.1,23.49180722891566,sparse,37.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
Kolar,Karnataka,Karnataka,2019,3,41.66003623188406,sparse,37.1,80.14636363636363,sparse,37.0,12.438916083916084,sparse,38.4,19.103415492957748,sparse,38.2,16.67174758741259,sparse,38.4,7.762536764705882,sparse,36.6,1.7466083916083914,sparse,38.4,9.233216783216783,sparse,38.4,0.6908421052631578,sparse,38.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.335034965034965,sparse,38.4,182.1804895104895,sparse,38.4,44.34,sparse,38.4,28.180874125874123,sparse,38.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,6,2018,2023,1
