city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kollam,Kerala,Kerala,2020,2,41.07440397350994,sparse,43.4,89.31649006622517,sparse,43.4,2.766833333333333,sparse,34.5,16.5205,sparse,43.1,18.650699999999997,sparse,43.1,2.515794701986755,sparse,43.4,0.6530897009966777,sparse,43.2,7.029527027027027,sparse,42.5,32.91211920529802,sparse,43.4,,insufficient,10.8,,insufficient,10.8,,insufficient,0.1,,insufficient,0.9,,insufficient,10.8,2.144518272425249,sparse,43.2,181.84798013245035,sparse,43.4,60.13294701986756,sparse,43.4,25.557880794701987,sparse,43.4,177.72442857142855,sparse,30.2,0.0,sparse,43.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,3,43.484096638655465,good,64.0,69.50288100208769,good,64.4,19.37656455142232,good,61.4,18.521172839506175,good,65.3,36.59567901234568,good,65.3,1.6576082474226805,good,65.2,0.503402489626556,good,64.8,4.999186813186814,good,61.2,20.008662551440327,good,65.3,2.4784210526315786,sparse,40.9,0.003081967213114754,sparse,41.0,,insufficient,0.4,,insufficient,0.0,0.0,sparse,41.0,2.6320576131687243,good,65.3,162.47311983471073,good,65.1,72.23018518518518,good,65.3,23.57390946502058,good,65.3,151.26105381165917,good,59.9,0.00051440329218107,good,65.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,4,35.29267759562841,good,50.8,48.50194520547945,good,50.7,6.034552631578948,good,52.8,11.210944881889766,good,52.9,17.221391076115484,good,52.9,1.92478835978836,good,52.5,0.3826315789473684,good,52.8,6.485879265091863,good,52.9,13.490307692307692,sparse,36.1,0.7655847953216374,sparse,47.5,0.0,sparse,47.5,,insufficient,0.1,,insufficient,0.0,0.0,sparse,47.5,2.425778443113772,sparse,46.4,158.9538138138138,sparse,46.2,76.05492146596859,good,53.1,25.360445026178013,good,53.1,201.17718832891242,good,52.4,0.0003664921465968587,good,53.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,5,30.59188747731397,good,74.1,46.9620652173913,good,74.2,4.899118705035971,good,74.7,11.473123877917413,good,74.9,16.37992818671454,good,74.9,2.140251346499102,good,74.9,0.5130161579892281,good,74.9,6.436319569120288,good,74.9,13.890127970749546,good,73.5,0.4674754901960785,good,54.8,0.024950980392156864,good,54.8,,insufficient,0.0,,insufficient,0.0,7.352941176470588e-05,good,54.8,,insufficient,19.5,,insufficient,19.6,83.73630161579891,good,74.9,25.014640287769787,good,74.7,186.0945780969479,good,74.9,0.0009892086330935252,good,74.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,6,26.252403361344534,good,82.6,42.3448275862069,good,84.6,6.8212398042414355,good,85.1,13.832626427406199,good,85.1,20.650587275693315,good,85.1,2.34702614379085,good,85.0,1.20836867862969,good,85.1,5.750717781402936,good,85.1,6.412675367047309,good,85.1,0.35110139860139855,good,79.4,0.0,good,79.9,,insufficient,0.0,,insufficient,0.0,0.0002782608695652174,good,79.9,,insufficient,23.6,,insufficient,23.6,86.62804241435563,good,85.1,23.50694805194805,good,85.6,186.8845542949757,good,85.7,0.0012012987012987014,good,85.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,7,,insufficient,1.7,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,2.2,,insufficient,2.2,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,0.0,,insufficient,0.0,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,2.3,,insufficient,0.0,,insufficient,2.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,8,21.433577464788733,sparse,47.7,33.76876056338028,sparse,47.7,33.11271428571428,good,56.5,15.076294536817102,good,56.6,48.33577197149644,good,56.6,2.486009501187649,good,56.6,2.299287410926366,good,56.6,5.866666666666666,sparse,39.1,10.853966745843229,good,56.6,0.21236144578313254,good,55.8,0.0,good,55.8,,insufficient,0.0,,insufficient,0.0,9.63855421686747e-05,good,55.8,2.023729216152019,good,56.6,141.99532066508314,good,56.6,,insufficient,0.7,,insufficient,0.7,,insufficient,23.8,0.0,good,56.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,9,26.465126262626264,good,55.0,40.30551637279597,good,55.1,6.43076660988075,good,81.5,13.411853741496598,good,81.7,19.859319727891155,good,81.7,1.8337201365187712,good,81.4,1.5206813996316757,good,75.4,5.514863013698631,good,81.1,6.209760683760684,good,81.2,0.11328519855595669,sparse,38.5,0.0,sparse,38.5,,insufficient,0.1,,insufficient,0.1,0.0005054151624548737,sparse,38.5,1.6595068027210884,good,81.7,144.86113752122242,good,81.8,,insufficient,22.1,,insufficient,9.4,355.6873572938689,good,65.7,0.17600760456273765,good,73.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,10,43.55132075471698,good,78.4,79.24368131868133,good,73.4,12.781043219076006,good,90.2,15.134559228650136,good,97.6,26.72725895316804,good,97.6,2.0103467406380027,good,96.9,0.7887083333333333,good,96.8,6.105792682926829,good,88.2,15.168658367911478,good,97.2,0.849213313161876,good,88.8,2.501119515885023,good,88.8,,insufficient,0.0,,insufficient,0.0,0.0,good,88.8,1.6959677419354837,good,100.0,138.7751747311828,good,100.0,,insufficient,3.6,,insufficient,0.1,318.2830642201835,good,73.3,0.03602272727272727,good,59.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kollam,Kerala,Kerala,2020,11,60.857770597738295,good,86.0,83.98452542372881,good,81.9,4.499467680608364,good,73.1,19.73259026687598,good,88.5,21.949984301412872,good,88.5,2.3978115015974444,good,86.9,1.2182601880877744,good,88.6,3.291515650741351,good,84.3,13.561034482758622,good,88.6,0.8529310344827585,good,88.6,2.5015203761755487,good,88.6,,insufficient,0.0,,insufficient,0.0,0.0,good,88.6,2.2614420062695926,good,88.6,183.75811912225703,good,88.6,69.43575959933223,good,83.2,29.467178631051752,good,83.2,226.09,good,81.1,0.023548895899053627,good,88.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
