city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kota,Rajasthan,Rajasthan,2017,10,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,insufficient,7.6,,insufficient,7.9,,insufficient,7.2,,insufficient,7.9,,insufficient,7.6,,insufficient,7.4,,insufficient,5.7,,insufficient,0.0,,insufficient,5.6,,insufficient,6.5,,insufficient,7.3,,insufficient,0.0,,insufficient,7.6,,insufficient,7.8,,insufficient,7.6,,insufficient,0.8,,insufficient,0.0,,insufficient,7.9,,insufficient,7.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2017,11,103.88701754385964,sparse,29.0,177.17519936204147,sparse,29.0,11.267671451355662,sparse,29.0,28.555425361155695,sparse,28.8,37.037253731343284,sparse,31.0,18.108859504132234,sparse,28.0,1.7333880597014923,sparse,31.0,6.101346153846154,sparse,28.9,54.68304487179488,sparse,28.9,4.0244029850746275,sparse,31.0,,insufficient,0.0,1.8950079744816588,sparse,29.0,5.572679425837321,sparse,29.0,2.7925039872408295,sparse,29.0,,insufficient,0.0,0.8287758346581875,sparse,29.1,165.24059011164275,sparse,29.0,41.095677830940986,sparse,29.0,21.959771929824562,sparse,26.4,,insufficient,0.0,0.0,sparse,31.0,758.490558213716,sparse,29.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2017,12,70.74065306122449,sparse,32.9,135.4516417910448,sparse,33.0,13.865940460081191,sparse,33.1,38.633707713125844,sparse,33.1,52.20534320323015,sparse,33.3,9.111646884272997,sparse,30.2,1.2851956815114711,sparse,33.2,11.474159891598916,sparse,33.1,45.79525730180807,sparse,32.2,3.6941970310391357,sparse,33.2,,insufficient,0.0,1.5075303643724696,sparse,33.2,4.5111740890688266,sparse,33.2,2.1948448043184885,sparse,33.2,,insufficient,0.0,0.9484387617765815,sparse,33.3,162.575666218035,sparse,33.3,52.545127860026916,sparse,33.3,18.28985195154778,sparse,33.3,,insufficient,0.0,0.0,sparse,33.3,755.0614535666217,sparse,33.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,1,62.99366666666667,sparse,32.3,162.3192222222222,sparse,32.3,14.336545961002784,sparse,32.2,26.075961002785515,sparse,32.2,40.190528511821974,sparse,32.2,13.75950920245399,sparse,29.2,0.9532869080779944,sparse,32.2,13.036155988857937,sparse,32.2,41.35119113573408,sparse,32.3,3.6856606397774683,sparse,32.2,,insufficient,0.0,2.417140845070423,sparse,31.8,4.770921787709496,sparse,32.1,2.909734265734266,sparse,32.0,,insufficient,0.0,0.9651385041551246,sparse,32.3,171.56948753462603,sparse,32.3,47.978781163434896,sparse,32.3,18.017867036011083,sparse,32.3,,insufficient,0.0,0.0,sparse,32.3,754.8137673130194,sparse,32.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,2,,insufficient,7.1,,insufficient,7.1,,insufficient,7.0,,insufficient,7.1,,insufficient,7.0,,insufficient,6.2,,insufficient,6.8,,insufficient,7.0,,insufficient,7.0,,insufficient,7.1,,insufficient,0.0,,insufficient,7.0,,insufficient,7.0,,insufficient,7.0,,insufficient,0.0,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,7.1,,insufficient,0.0,,insufficient,7.2,,insufficient,7.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,3,52.746920684292384,sparse,28.8,147.17877218934913,sparse,30.3,,insufficient,0.0,18.436243822075784,sparse,27.2,,insufficient,0.0,20.333399999999997,sparse,29.1,0.7160619469026549,sparse,30.4,,insufficient,22.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,4,61.132358642972534,sparse,28.7,162.8128250401284,sparse,28.8,,insufficient,0.0,9.876385542168675,sparse,26.9,,insufficient,0.0,12.021838111298482,sparse,27.5,0.6597301587301587,sparse,29.2,7.3516722972972985,sparse,27.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,5,78.73461428571429,sparse,31.4,196.6257001414427,sparse,31.7,,insufficient,15.8,8.919867841409692,sparse,30.5,,insufficient,15.8,10.711604584527219,sparse,31.3,0.6125211267605634,sparse,31.8,3.7185133020344288,sparse,28.6,,insufficient,15.9,,insufficient,15.9,,insufficient,0.0,,insufficient,14.0,,insufficient,13.2,,insufficient,8.5,,insufficient,0.0,,insufficient,16.0,,insufficient,16.0,,insufficient,16.0,,insufficient,16.0,,insufficient,0.0,,insufficient,16.0,,insufficient,16.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,6,24.06302034428795,sparse,29.6,148.58987519500778,sparse,29.7,11.384247226624407,sparse,29.2,10.130448717948715,sparse,28.9,6.502970711297071,sparse,33.2,4.451003184713376,sparse,29.1,0.17170153417015344,sparse,33.2,10.632947882736156,sparse,28.4,30.63962382445141,sparse,29.5,0.14443514644351466,sparse,33.2,,insufficient,0.0,,insufficient,8.9,,insufficient,9.3,,insufficient,3.8,,insufficient,0.0,2.061897356143079,sparse,29.8,242.36187981510014,sparse,30.0,44.85252321981424,sparse,29.9,34.532049689440996,sparse,29.8,,insufficient,0.0,0.002203626220362622,sparse,33.2,762.4014705882353,sparse,29.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
Kota,Rajasthan,Rajasthan,2018,7,23.53985645933014,sparse,28.1,122.05108150470218,sparse,28.6,19.661107644305773,sparse,28.7,24.45227202472952,sparse,29.0,11.041785216178523,sparse,32.1,9.117984496124032,sparse,28.9,0.1683124128312413,sparse,32.1,10.749158878504673,sparse,28.8,16.83952830188679,sparse,28.5,0.1291352859135286,sparse,32.1,,insufficient,0.0,,insufficient,11.5,,insufficient,14.9,,insufficient,8.6,,insufficient,0.0,1.9062345679012347,sparse,29.0,248.69987692307694,sparse,29.1,75.12782407407407,sparse,29.0,29.760262345679013,sparse,29.0,,insufficient,0.0,0.0019107391910739193,sparse,32.1,755.3203481012658,sparse,28.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,3
