city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Kozhikode,Kerala,Kerala,2020,1,,insufficient,17.5,,insufficient,17.5,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,0.0,,insufficient,21.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,2,37.57491124260355,good,97.1,83.14608946608948,good,99.6,25.050905172413792,good,100.0,25.834899425287357,good,100.0,46.26172413793104,good,100.0,4.234841954022989,good,100.0,0.9675287356321837,good,100.0,5.160704022988505,good,100.0,7.625790229885058,good,100.0,1.4441235632183909,good,100.0,210.22721264367814,good,100.0,66.62170977011495,good,100.0,,insufficient,0.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,3,27.784477401129944,good,95.2,56.101009817671816,good,95.8,18.078978494623655,good,100.0,15.084422043010752,good,100.0,29.232674731182797,good,100.0,4.095833333333333,good,100.0,0.5983467741935484,good,100.0,5.037715053763441,good,100.0,7.741922043010752,good,100.0,1.5262231182795702,good,100.0,198.9269892473118,good,100.0,66.60654569892473,good,100.0,,insufficient,0.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,4,26.884410112359546,good,98.9,43.31393258426966,good,98.9,6.6089166666666666,good,100.0,8.931125,good,100.0,13.052416666666666,good,100.0,2.270319444444444,good,100.0,0.3039916550764951,good,99.9,3.4218194444444445,good,100.0,9.776291666666667,good,100.0,1.4140555555555556,good,100.0,201.46406944444445,good,100.0,67.37797222222223,good,100.0,,insufficient,0.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,5,21.182032967032967,good,97.8,38.61078296703297,good,97.8,8.357486559139785,good,100.0,9.809905913978493,good,100.0,15.478951612903225,good,100.0,2.4264381720430106,good,100.0,0.1761827956989247,good,100.0,3.696693548387097,good,100.0,8.203534946236559,good,100.0,1.4426881720430107,good,100.0,204.50625000000002,good,100.0,71.3204435483871,good,100.0,,insufficient,0.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,6,15.580670826833073,good,89.0,29.33463302752294,good,90.8,18.514069444444445,good,100.0,8.278791666666667,good,100.0,24.969680555555552,good,100.0,2.2347638888888888,good,100.0,0.3192222222222222,good,100.0,3.635611111111111,good,100.0,4.051,good,100.0,1.0467083333333336,good,100.0,209.23290277777778,good,100.0,81.60820833333334,good,100.0,,insufficient,0.0,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,7,11.12385518590998,good,68.7,22.57632323232323,good,66.5,20.089313593539703,good,99.9,6.048936742934051,good,99.9,25.07109017496635,good,99.9,2.7683445491251684,good,99.9,0.1977792732166891,good,99.9,3.3293539703903097,good,99.9,3.3163391655450876,good,99.9,1.095006729475101,good,99.9,200.7034993270525,good,99.9,83.10776581426647,good,99.9,,insufficient,0.0,0.0,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,8,6.2201338432122375,good,70.3,24.202951167728237,good,63.3,17.08554945054945,good,97.8,5.709766483516484,good,97.8,21.70668956043956,good,97.8,2.904423076923077,good,97.8,0.15554945054945055,good,97.8,3.0536538461538463,good,97.8,3.4109065934065934,good,97.8,1.1397527472527473,good,97.8,188.079478021978,good,97.8,81.8570054945055,good,97.8,,insufficient,0.0,0.0,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,9,6.609982046678636,good,77.4,19.318081705150977,good,78.2,22.88464689265537,good,98.3,6.245621468926554,good,98.3,28.11881355932203,good,98.3,2.5820480225988702,good,98.3,0.2981638418079096,good,98.3,2.95909604519774,good,98.3,2.677598870056497,good,98.3,1.0778531073446327,good,98.3,198.04605932203387,good,98.3,83.38693502824859,good,98.3,,insufficient,0.0,0.0,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
Kozhikode,Kerala,Kerala,2020,10,11.26101321585903,good,91.5,37.47041116005874,good,91.5,18.476178623718887,good,91.8,10.580117130307467,good,91.8,26.528330893118593,good,91.8,2.644582723279649,good,91.8,0.5197950219619326,good,91.8,3.154407027818448,good,91.8,3.506896046852123,good,91.8,1.0119326500732067,good,91.8,198.9132210834553,good,91.8,77.60137628111275,good,91.8,,insufficient,0.0,0.0,good,94.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,4,2020,2023,1
