city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,1,,insufficient,0.0,,insufficient,0.0,,insufficient,10.6,,insufficient,10.0,,insufficient,22.3,,insufficient,10.3,,insufficient,9.2,,insufficient,8.7,,insufficient,1.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,9.4,,insufficient,9.4,,insufficient,0.0,,insufficient,0.0,,insufficient,22.0,,insufficient,0.0,,insufficient,9.2,,insufficient,0.1,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,2,,insufficient,0.0,,insufficient,0.0,,insufficient,11.7,,insufficient,11.4,,insufficient,19.4,,insufficient,11.5,,insufficient,5.6,,insufficient,5.2,,insufficient,5.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,12.4,,insufficient,12.4,,insufficient,0.0,,insufficient,0.0,,insufficient,20.4,,insufficient,0.0,,insufficient,12.2,,insufficient,1.7,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,3,,insufficient,0.0,,insufficient,0.0,8.077618374558304,sparse,27.2,17.644774839170836,sparse,26.9,17.617781715095674,sparse,27.1,24.076248226950355,sparse,27.1,,insufficient,5.4,,insufficient,4.6,,insufficient,13.3,,insufficient,13.1,,insufficient,9.2,,insufficient,9.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,6.560654008438819,sparse,27.3,240.5172503516174,sparse,27.3,,insufficient,0.0,,insufficient,0.0,192.5504219409283,sparse,27.3,,insufficient,0.0,990.9976582278481,sparse,27.3,,insufficient,11.3,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,4,,insufficient,0.0,,insufficient,0.0,7.849654112221368,sparse,25.8,28.48086856264412,sparse,25.8,25.144283513097072,sparse,25.8,24.480514820592827,sparse,25.4,,insufficient,4.4,,insufficient,5.1,,insufficient,12.8,,insufficient,12.9,,insufficient,4.0,,insufficient,4.0,,insufficient,4.0,,insufficient,4.0,,insufficient,0.0,6.153756715272449,sparse,25.9,222.47128933231002,sparse,25.9,,insufficient,4.2,,insufficient,1.9,216.46250959324638,sparse,25.9,,insufficient,0.0,988.0252918586791,sparse,25.8,,insufficient,8.4,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,5,,insufficient,0.0,,insufficient,0.0,7.565803571428572,sparse,25.8,35.56107646622124,sparse,25.9,42.038320950965826,sparse,25.8,17.706481069042315,sparse,25.9,,insufficient,9.6,,insufficient,9.9,,insufficient,9.9,,insufficient,2.2,,insufficient,2.4,,insufficient,2.2,,insufficient,2.4,,insufficient,2.2,,insufficient,0.0,1.4760288675055515,sparse,25.9,174.88780903034788,sparse,25.9,,insufficient,12.4,,insufficient,13.5,233.1967283493708,sparse,25.9,,insufficient,0.0,982.3149888971133,sparse,25.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,6,,insufficient,0.0,,insufficient,0.0,4.797057915057915,sparse,25.7,31.87993827160494,sparse,25.7,36.48759259259259,sparse,25.7,,insufficient,21.8,,insufficient,12.9,,insufficient,13.2,,insufficient,12.0,,insufficient,4.3,,insufficient,3.5,,insufficient,0.5,,insufficient,2.1,,insufficient,1.4,,insufficient,0.0,1.146196319018405,sparse,25.9,178.52321319018404,sparse,25.9,,insufficient,12.0,,insufficient,13.8,234.52869631901845,sparse,25.9,,insufficient,0.0,980.6310506134969,sparse,25.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,7,,insufficient,0.0,,insufficient,0.0,4.220652024708305,sparse,28.0,20.326831275720163,sparse,28.0,24.51551844119694,sparse,27.6,,insufficient,23.2,,insufficient,16.9,,insufficient,13.8,,insufficient,14.1,,insufficient,5.1,,insufficient,4.2,,insufficient,1.5,,insufficient,2.8,,insufficient,2.7,,insufficient,0.0,0.94375,sparse,28.0,145.72337671232876,sparse,28.0,,insufficient,14.1,,insufficient,13.9,185.8337123287671,sparse,28.0,,insufficient,0.0,981.6238150684932,sparse,28.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,8,,insufficient,0.0,,insufficient,0.0,3.7351382823871906,sparse,26.4,21.395857558139536,sparse,26.4,20.45890261627907,sparse,26.4,,insufficient,19.5,,insufficient,18.7,,insufficient,8.7,,insufficient,14.1,,insufficient,8.3,,insufficient,8.3,,insufficient,6.7,,insufficient,6.4,,insufficient,8.9,,insufficient,0.0,,insufficient,13.4,,insufficient,13.4,,insufficient,4.6,,insufficient,8.8,,insufficient,13.4,,insufficient,0.0,,insufficient,13.4,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,9,,insufficient,0.0,,insufficient,0.0,3.1307209302325583,sparse,25.6,24.39352688172043,sparse,27.7,12.22314492753623,sparse,27.4,,insufficient,22.8,0.5853070175438597,sparse,27.1,,insufficient,13.7,,insufficient,13.5,,insufficient,11.9,,insufficient,12.0,,insufficient,10.5,,insufficient,11.6,,insufficient,11.5,,insufficient,0.0,0.7930484330484331,sparse,27.9,174.9383903133903,sparse,27.9,,insufficient,14.0,,insufficient,13.9,163.7453205128205,sparse,27.9,,insufficient,0.0,985.0728276353276,sparse,27.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
Lucknow,Uttar Pradesh,Uttar Pradesh,2010,10,,insufficient,0.0,,insufficient,0.0,,insufficient,21.8,,insufficient,21.8,,insufficient,21.9,,insufficient,20.0,,insufficient,21.4,,insufficient,7.9,,insufficient,13.9,,insufficient,11.7,,insufficient,12.0,,insufficient,8.4,,insufficient,11.0,,insufficient,10.4,,insufficient,0.0,,insufficient,22.1,,insufficient,22.1,,insufficient,14.1,,insufficient,8.0,,insufficient,22.1,,insufficient,0.0,,insufficient,22.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,7
