city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Ludhiana,Punjab,Punjab,2017,5,55.05272214386461,good,95.3,88.722976022567,good,95.3,15.62554609929078,good,94.8,6.698258345428156,good,92.6,,insufficient,0.0,3.284042232277526,good,89.1,0.9241748942172073,good,95.3,,insufficient,0.0,19.042341325811,good,95.3,,insufficient,9.8,,insufficient,19.8,,insufficient,0.0,0.6710126582278482,good,95.6,182.47388418079098,good,95.2,34.457084507042254,good,95.4,32.72530324400564,good,95.3,248.69635327635328,good,94.4,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,6,76.22865051903115,good,80.3,119.8361433447099,good,81.4,19.523333333333333,good,85.8,5.411228070175438,sparse,47.5,,insufficient,0.0,5.502895683453238,good,77.2,0.7573828756058159,good,86.0,,insufficient,0.0,19.28287560581583,good,86.0,6.878000000000001,good,70.8,2.1440384615384613,good,65.0,,insufficient,0.0,0.6963548387096773,good,86.1,192.38599033816428,good,86.2,50.32427419354838,good,86.1,31.968129032258066,good,86.1,287.4359338842975,good,84.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,7,,insufficient,21.8,,insufficient,21.8,10.393041474654378,sparse,29.2,8.211818181818183,sparse,29.6,,insufficient,0.0,5.43586046511628,sparse,28.9,,insufficient,24.3,,insufficient,0.0,17.28390909090909,sparse,29.6,7.683056768558952,sparse,30.8,3.8372294372294373,sparse,31.0,,insufficient,0.4,0.7182832618025751,sparse,31.3,143.2318181818182,sparse,31.0,69.44995670995671,sparse,31.0,31.206347826086958,sparse,30.9,327.53244541484713,sparse,30.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,8,50.42680952380952,sparse,28.2,89.23247524752475,sparse,27.2,47.721310043668126,sparse,30.8,17.738238095238096,sparse,28.2,,insufficient,0.0,3.844,sparse,29.6,0.5466375545851528,sparse,30.8,,insufficient,0.0,6.352713567839195,sparse,26.7,0.4337991266375546,sparse,30.8,7.321359649122807,sparse,30.6,,insufficient,5.8,0.5669432314410481,sparse,30.8,139.92951965065504,sparse,30.8,78.05513157894737,sparse,30.6,29.474561403508773,sparse,30.6,228.97908296943234,sparse,30.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,9,52.14032934131736,good,92.8,134.7108095952024,good,92.6,21.011511194029847,good,74.4,28.27677304964539,good,78.3,,insufficient,0.0,1.1024148606811146,good,89.7,0.5820508982035929,good,92.8,,insufficient,9.3,9.53491935483871,good,86.1,3.5525,good,92.8,6.371855203619908,good,92.1,,insufficient,3.5,0.5966866566716641,good,92.6,226.41708898944194,good,92.1,74.02902548725638,good,92.6,28.576661676646705,good,92.8,229.6028785607197,good,92.6,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,10,,insufficient,16.7,,insufficient,16.7,,insufficient,16.7,,insufficient,16.5,144.2361796042618,good,88.3,,insufficient,16.7,0.08667136812411846,good,95.3,45.96350609756097,good,88.2,,insufficient,21.6,0.8664381720430105,good,100.0,2.848448043184885,good,99.6,,insufficient,7.8,0.3580454545454545,sparse,29.6,,insufficient,12.0,59.53086363636364,sparse,29.6,25.813004172461756,good,96.6,54.63815860215054,good,100.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,11,141.05338440111422,good,99.7,306.42707112970714,good,99.6,83.84864734299518,good,86.2,127.64469354838711,good,86.1,208.83619124797406,good,85.7,5.68548991354467,good,96.4,1.0727715877437325,good,99.7,54.55008291873963,good,83.8,12.508759811616953,good,88.5,4.609846796657381,good,99.7,1.786643454038997,good,99.7,,insufficient,0.1,0.31910863509749304,good,99.7,207.5649860724234,good,99.7,77.47459610027855,good,99.7,17.584080779944287,good,99.7,124.71609618104668,good,98.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2017,12,85.63234501347709,good,99.7,191.8815229110512,good,99.7,47.02330459770115,good,93.5,84.27466380543635,good,94.0,131.04780313837375,good,94.2,6.976757990867579,good,88.3,1.1016307277628032,good,99.7,50.26300429184549,good,94.0,20.8560529986053,good,96.4,3.0931940700808624,good,99.7,1.4001752021563343,good,99.7,,insufficient,0.0,0.38250673854447437,good,99.7,225.6420485175202,good,99.7,76.81297843665767,good,99.7,13.926994609164417,good,99.7,125.43033692722372,good,99.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2018,1,77.1294623655914,good,100.0,154.73477142857143,good,94.1,11.49608286252354,good,71.4,23.584363057324847,good,84.4,32.38,good,86.2,4.262108626198083,good,84.1,0.8230517711171661,good,98.7,50.157272727272726,good,85.8,6.61127688172043,good,100.0,2.465013440860215,good,100.0,0.9486290322580645,good,100.0,,insufficient,0.0,0.4940322580645162,good,100.0,226.5229301075269,good,100.0,83.96278225806451,good,100.0,12.280846774193547,good,100.0,140.82379542395697,good,99.9,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Ludhiana,Punjab,Punjab,2018,2,42.172068452380955,good,100.0,99.2817113095238,good,100.0,9.73855403348554,good,97.8,31.041182634730536,good,99.4,40.604828101644244,good,99.6,6.261388888888888,good,80.4,0.6451252086811352,good,89.1,9.537215568862274,good,99.4,5.379592145015105,good,98.5,2.879092261904762,good,100.0,0.6777232142857142,good,100.0,,insufficient,0.0,0.5525744047619048,good,100.0,230.84625,good,100.0,73.1529613095238,good,100.0,16.551473214285714,good,100.0,185.12993993993996,good,99.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
