city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Mandi Gobindgarh,Punjab,Punjab,2017,4,68.03317375886526,good,78.3,183.02103139013454,good,61.9,70.7568,sparse,41.7,43.89549342105263,sparse,42.2,,insufficient,0.0,17.062230971128606,good,52.9,0.6544112478031635,good,79.0,,insufficient,0.0,29.98739776951673,good,74.7,4.342900505902192,good,82.4,0.07521079258010119,good,82.4,,insufficient,1.2,,insufficient,1.1,,insufficient,3.6,1.3659405940594058,good,84.2,203.90693069306928,good,84.2,35.444892915980226,good,84.3,,insufficient,0.0,655.8360626029654,good,84.3,0.011911037891268534,good,84.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,5,73.7363948497854,good,94.0,204.69500693481277,good,96.9,57.129524680073125,good,73.5,17.452857142857145,good,74.3,,insufficient,0.0,25.158010657193604,good,75.7,0.525212298682284,good,91.8,,insufficient,0.0,25.380141643059485,good,94.9,4.616126373626374,good,97.8,22.894140302613483,good,97.7,,insufficient,17.7,,insufficient,17.9,9.577489082969432,good,61.6,1.2628733997155048,good,94.5,147.3870412517781,good,94.5,34.17709815078236,good,94.5,,insufficient,0.0,568.553764367816,good,93.5,0.014985795454545455,good,94.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,6,66.48719827586207,good,96.7,169.79738415545592,good,92.9,76.45994584837544,good,76.9,47.381223021582734,good,77.2,,insufficient,0.0,29.536714542190307,good,77.4,0.7853949329359166,good,93.2,,insufficient,0.0,29.253226744186048,sparse,47.8,7.191841726618705,good,96.5,144.8349928057554,good,96.5,11.88721098265896,good,96.1,88.41665223665224,good,96.2,28.19187861271676,good,96.1,0.894008620689655,good,96.7,188.682816091954,good,96.7,57.37779856115108,good,96.5,,insufficient,0.0,215.5230316091954,good,96.7,0.06853410740203193,good,95.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,7,28.959406130268203,good,70.2,99.53115606936416,good,69.8,24.416206896551724,good,66.3,15.892555780933064,good,66.3,,insufficient,0.0,11.497850287907868,good,70.0,0.7468737864077669,good,69.2,,insufficient,0.0,41.7958208955224,sparse,45.0,4.858884615384615,good,69.9,128.33924855491327,good,69.8,5.104126679462572,good,70.0,67.67607279693486,good,70.2,22.421108986615682,good,70.3,0.7539889705882353,good,73.1,139.33154275092937,good,72.3,79.3643148148148,good,72.6,,insufficient,0.0,247.66940630797774,good,72.4,0.04918669131238447,good,72.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,8,42.29338174273859,good,64.8,106.6791266375546,good,61.6,15.100868686868688,good,66.5,16.113333333333333,good,67.3,,insufficient,0.0,7.838623595505618,sparse,47.8,0.5677530364372471,good,66.4,,insufficient,0.0,26.314340425531913,good,63.2,1.2159680638722556,good,67.3,24.31752,good,67.2,1.0950199999999999,good,67.2,3.317250996015936,good,67.5,1.68796812749004,good,67.5,0.652797619047619,good,67.7,165.99658000000002,good,67.2,85.84940119760478,good,67.3,,insufficient,0.0,183.1075298804781,good,67.5,0.058545816733067725,good,67.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,9,76.79604210526315,good,66.0,148.08464480874318,good,76.2,18.69758415841584,good,70.1,15.503227722772275,good,70.1,,insufficient,0.0,15.83127659574468,good,58.8,0.8825693160813309,good,75.1,,insufficient,9.3,9.846847826086957,sparse,25.6,1.3410142348754448,good,78.1,18.314319419237748,good,76.5,1.3397090909090907,good,76.4,4.480675182481751,good,76.1,2.78925,good,72.2,1.5355454545454545,good,76.4,243.64769230769232,good,75.8,80.47259528130672,good,76.5,,insufficient,0.0,210.81102150537632,good,77.5,0.725475763016158,good,77.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,10,128.41345724907063,good,72.3,234.88600386100387,good,69.6,24.46081967213115,good,73.8,45.240750915750915,good,73.4,65.82350076103499,good,88.3,8.3575,good,69.4,0.6257246376811594,good,92.7,55.257899543379,good,88.3,,insufficient,2.2,2.499721835883171,good,96.6,8.122285191956125,good,73.5,7.1783254716981135,good,57.0,4.826385542168675,good,55.8,0.6644712990936555,sparse,44.5,0.5,good,73.3,194.62729281767957,good,73.0,62.202402957486136,good,72.7,,insufficient,0.0,125.60821937321937,good,94.4,0.0001671309192200557,good,96.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,11,148.34881720430107,good,90.4,267.86682515337424,good,90.6,36.99913446676971,good,89.9,112.38469953775038,good,90.1,139.12739726027397,good,91.2,8.315810397553516,good,90.8,0.9365413533834586,good,92.4,77.24436170212766,good,91.4,11.937100591715977,sparse,46.9,1.656159420289855,good,95.8,14.988919860627176,good,79.7,0.628449848024316,good,91.4,1.930977312390925,good,79.6,0.6363397548161122,good,79.3,0.6372408536585366,good,91.1,213.95179878048782,good,91.1,70.29125190839696,good,91.0,,insufficient,0.0,125.8390764790765,good,96.2,0.0003478260869565217,good,95.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2017,12,101.33301255230126,good,96.4,162.69439226519336,good,97.3,33.54400293255132,good,91.7,64.21047473200613,good,87.8,93.90239067055394,good,92.2,9.347875,good,96.8,1.1686187050359713,good,93.4,36.933176470588236,good,91.4,9.261454293628809,good,97.0,1.6465745856353589,good,97.3,,insufficient,0.0,0.6169613259668507,good,97.3,,insufficient,0.0,,insufficient,0.0,0.7811878453038673,good,97.3,232.9189502762431,good,97.3,77.01738950276243,good,97.3,,insufficient,0.0,151.39479281767956,good,97.3,0.0073066298342541434,good,97.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Mandi Gobindgarh,Punjab,Punjab,2018,1,82.8701971830986,good,95.4,131.4830056179775,good,95.7,11.605777777777778,sparse,42.3,32.39419047619048,sparse,42.3,42.98949206349206,sparse,42.3,11.857330508474575,good,95.2,1.1916975308641975,good,87.1,7.801198738170347,sparse,42.6,14.054022503516174,good,95.6,1.5119074333800842,good,95.8,,insufficient,0.0,0.5469901547116737,good,95.6,,insufficient,0.0,,insufficient,0.0,1.180126050420168,good,96.0,252.16008403361343,good,96.0,80.70887955182073,good,96.0,,insufficient,0.0,162.29204481792715,good,96.0,0.0142296918767507,good,96.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
