city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Manguraha,Bihar,Bihar,2021,11,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,insufficient,0.3,,insufficient,0.3,,insufficient,0.4,,insufficient,0.4,,insufficient,0.3,,insufficient,0.3,,insufficient,0.1,,insufficient,0.1,,insufficient,0.1,,insufficient,0.1,,insufficient,0.0,,insufficient,0.1,,insufficient,0.3,,insufficient,0.3,,insufficient,0.3,,insufficient,0.4,,insufficient,0.4,,insufficient,0.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2021,12,38.86734693877551,good,65.9,66.16326530612245,good,65.9,565.7253886010362,good,51.9,14.10293885601578,good,68.1,7.637436893203883,good,69.2,0.9668949771689498,sparse,29.4,2.1876717557251912,sparse,35.2,5.016262425447316,good,67.6,29.84870707070707,good,66.5,1.266877192982456,sparse,38.3,8.314,sparse,38.3,0.18453488372093027,sparse,34.7,0.3323574144486692,sparse,35.3,,insufficient,0.0,0.07919298245614036,sparse,38.3,0.3001533742331288,sparse,43.8,194.64521472392636,sparse,43.8,55.809080459770115,sparse,35.1,22.096483180428134,sparse,44.0,33.73129230769231,sparse,43.7,0.0,good,69.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,1,66.26900485436893,good,55.4,102.90763819095478,good,53.5,4926.342281879195,sparse,40.1,20.05803970223325,good,54.2,19.767369727047146,good,54.2,4.1633937823834195,good,51.9,,insufficient,16.9,8.926887755102042,good,52.7,26.82819672131148,good,57.4,1.5942227378190252,good,57.9,7.9432482598607885,good,57.9,0.9763711911357341,sparse,48.5,3.0022252747252747,sparse,48.9,,insufficient,0.0,0.7166357308584687,good,57.9,0.3839641943734015,good,52.6,181.74130434782606,good,52.6,60.635070821529744,sparse,47.4,16.093724137931034,good,58.5,34.47471264367816,good,58.5,0.007586206896551723,good,58.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,2,50.85125429553265,good,86.6,82.07881556683587,good,87.9,1196.9683257918552,good,65.8,31.33276,good,74.4,16.775559845559844,good,77.1,3.882455516014235,good,83.6,,insufficient,12.1,46.030524534686975,good,87.9,45.53088282504012,good,92.7,0.9718120805369126,good,88.7,7.061711409395974,good,88.7,0.7795302013422818,good,88.7,2.7292114093959734,good,88.7,,insufficient,0.0,0.846493288590604,good,88.7,0.4288924558587481,good,92.7,143.75828250401284,good,92.7,30.60797124600639,good,93.2,18.89421052631579,good,93.3,59.77842105263158,good,93.3,0.1904944178628389,good,93.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,3,57.55061933534743,good,89.0,122.97779761904762,good,90.3,824.4283121597097,good,74.1,52.171697171381034,good,80.8,28.157471074380165,good,81.3,6.3238147566719,good,85.6,,insufficient,8.1,4.986452554744526,good,92.1,56.44485064011379,good,94.5,0.9951440922190203,good,93.3,4.8728530259366,good,93.3,0.4196069182389937,good,85.5,1.3910725552050474,good,85.2,,insufficient,0.0,0.3735878962536023,good,93.3,0.4779001468428781,good,91.5,144.08508076358297,good,91.5,40.89363247863248,good,94.4,28.502258522727274,good,94.6,79.93276988636363,good,94.6,0.08754261363636363,good,94.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,4,77.18202733485194,good,61.0,137.63662790697674,good,59.7,1019.3305439330544,sparse,33.2,37.01524163568773,sparse,37.4,22.26151079136691,sparse,38.6,5.201672862453532,good,74.7,,insufficient,2.5,9.288136200716846,good,77.5,52.75394782608696,good,79.9,0.6599186991869918,sparse,34.2,3.6365853658536587,sparse,34.2,0.7025242718446602,sparse,28.6,1.2706122448979593,sparse,27.2,,insufficient,0.0,0.21703252032520326,sparse,34.2,0.47474609375000004,good,71.1,146.537265625,good,71.1,50.612946273830154,good,80.1,34.188058925476604,good,80.1,92.17590987868284,good,80.1,0.09876949740034663,good,80.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,5,18.390957943925233,good,57.5,47.17099322799097,good,59.5,,insufficient,5.2,,insufficient,6.2,,insufficient,6.7,2.978129175946548,good,60.3,,insufficient,22.6,9.053950177935942,good,75.5,37.26237024221453,good,77.7,,insufficient,10.1,,insufficient,10.1,,insufficient,5.6,,insufficient,5.8,,insufficient,0.0,,insufficient,10.1,0.43261862917398947,good,76.5,147.93746924428822,good,76.5,52.57303092783505,good,65.2,34.364349315068495,good,78.5,95.40239726027397,good,78.5,0.008715753424657535,good,78.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,6,21.317355623100305,sparse,45.7,125.58394265232974,sparse,38.8,5954.763231197771,sparse,49.9,30.485348837209305,good,59.7,16.89197752808989,good,61.8,4.136106666666667,good,52.1,0.6358194774346794,good,58.5,6.243104125736739,good,70.7,31.427973733583492,good,74.0,36.34830802603037,good,64.0,3.551955990220048,good,56.8,30.61761904761905,good,58.3,36.31122352941176,good,59.0,,insufficient,0.0,3.8740441176470584,good,56.7,0.43193877551020404,good,68.1,150.51530612244898,good,68.1,66.33172284644195,good,74.2,34.875580524344564,good,74.2,67.83709737827716,good,74.2,0.0,good,74.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,7,8.129606299212599,sparse,34.1,54.75429032258065,sparse,41.7,2399.678111587983,good,62.6,21.172660377358486,good,71.2,11.183450184501844,good,72.8,3.8506693711967546,good,66.3,0.446636197440585,good,73.5,3.7603442622950825,good,82.0,17.640112,good,84.0,1.1170137524557955,good,68.4,7.696123260437376,good,67.6,2.1763883089770357,good,64.4,2.66775,good,64.5,,insufficient,0.0,2.9553373015873015,good,67.7,0.4170588235294117,good,80.0,141.32045378151264,good,80.0,74.3377033492823,good,84.3,35.967172523961665,good,84.1,55.927731629392966,good,84.1,0.10603833865814696,good,84.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Manguraha,Bihar,Bihar,2022,8,10.587343173431735,sparse,36.4,37.047513513513515,sparse,49.7,3121.8004338394794,good,62.0,23.702100840336133,good,64.0,12.54102,good,67.2,5.387759433962263,good,57.0,0.32630885122410547,good,71.4,3.2662941176470586,good,68.5,12.913846153846153,good,69.9,2.2079678068410464,good,66.8,22.465184426229513,good,65.6,5.407152173913043,good,61.8,5.357108695652175,good,61.8,,insufficient,0.0,4.31465306122449,good,65.9,0.4695112016293279,good,66.0,144.51999999999998,good,66.0,83.83428037383179,good,71.9,33.77302063789869,good,71.6,43.66094876660342,good,70.8,0.11929924242424242,good,71.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
