city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Motihari,Bihar,Bihar,2021,7,16.550060975609757,sparse,44.1,26.266960486322187,sparse,44.2,0.23459214501510575,sparse,44.5,4.737832369942196,sparse,46.5,2.6748554913294793,sparse,46.5,1.9076898734177212,sparse,42.5,0.33346820809248556,sparse,46.5,12.546473988439306,sparse,46.5,38.20272463768116,sparse,46.4,0.8290462427745665,sparse,46.5,55.753150289017334,sparse,46.5,1.9706176470588235,sparse,45.7,6.767803468208092,sparse,46.5,,insufficient,0.0,2.5071387283236994,sparse,46.5,0.44098837209302333,sparse,46.2,156.51232558139534,sparse,46.2,70.45375722543352,sparse,46.5,31.09820809248555,sparse,46.5,108.01997109826588,sparse,46.5,0.011763005780346822,sparse,46.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2021,8,,insufficient,18.7,,insufficient,19.4,,insufficient,22.2,,insufficient,23.3,,insufficient,23.3,,insufficient,22.6,,insufficient,23.3,,insufficient,23.3,,insufficient,23.1,,insufficient,17.1,,insufficient,17.1,,insufficient,15.7,,insufficient,16.8,,insufficient,0.0,,insufficient,17.1,,insufficient,23.3,,insufficient,23.3,,insufficient,23.3,,insufficient,23.3,,insufficient,23.3,,insufficient,23.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2021,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2021,10,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2021,11,212.74918072289157,good,57.6,284.39764423076923,good,57.8,1.9827688787185356,good,60.7,24.333061224489793,good,61.3,14.525011337868483,good,61.3,1.320581113801453,good,57.4,1.3599444444444446,good,50.0,21.465501222493884,good,56.8,113.12849658314352,good,61.0,1.6790523690773067,good,55.7,4.518478802992519,good,55.7,1.0699002493765586,good,55.7,1.7213636363636367,sparse,48.9,,insufficient,0.0,0.7429675810473815,good,55.7,0.31175,good,61.1,122.64586363636364,good,61.1,66.55328798185941,good,61.3,26.32775510204082,good,61.3,50.00907029478458,good,61.3,0.00027210884353741496,good,61.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2021,12,134.62268758526602,good,98.5,236.76855191256834,good,98.4,3.0438333333333336,good,88.7,23.675171939477302,good,97.7,14.763191196698763,good,97.7,1.3489655172413793,good,93.5,1.139794952681388,good,85.2,20.060730717185386,good,99.3,71.86939643347051,good,98.0,1.6463226744186048,good,92.5,4.268488372093023,good,92.5,0.914781976744186,good,92.5,2.0215697674418607,good,92.5,,insufficient,0.0,0.7821366279069766,good,92.5,0.37408355795148257,good,99.7,142.2188679245283,good,99.7,71.53460916442049,good,99.7,24.050175202156332,good,99.7,41.72180592991914,good,99.7,0.0,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2022,1,110.51256338028169,good,95.4,205.339029957204,good,94.2,2.7379431438127084,good,80.4,14.971488178025036,good,96.6,9.659972183588316,good,96.6,1.3077044025157234,good,85.5,1.8741417322834644,good,85.3,26.290615384615382,good,87.4,30.913444909344495,good,96.4,0.9691822094691535,good,93.7,1.9595121951219514,good,93.7,0.3556747967479675,good,82.7,0.7526268656716418,good,90.1,,insufficient,0.0,0.23428981348637018,good,93.7,0.540803324099723,good,97.0,185.6295429362881,good,97.0,82.92987270155587,good,95.0,13.286495844875347,good,97.0,36.82409972299169,good,97.0,0.0004986149584487534,good,97.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2022,2,96.28036418816389,good,98.1,191.91923430321592,good,97.2,1.9046666666666667,good,93.8,22.839908396946566,good,97.5,13.601938931297711,good,97.5,3.265592105263158,good,90.5,1.4544916540212443,good,98.1,37.98425373134329,sparse,39.9,55.77726708074535,good,95.8,1.0635999999999999,good,85.6,2.740817391304348,good,85.6,0.36125,good,54.8,0.8655890410958904,good,54.3,,insufficient,0.0,1.025791304347826,good,85.6,0.5104374057315234,good,98.7,197.61187028657616,good,98.7,71.65524886877829,good,98.7,17.50980392156863,good,98.7,58.09831070889894,good,98.7,0.0,good,98.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2022,3,90.59113486842107,good,81.7,207.32817292006524,good,82.4,0.9276232394366198,good,76.3,44.88614006514658,good,82.5,24.516938110749184,good,82.5,4.503198653198653,good,79.8,1.541983606557377,good,82.0,21.77929319371728,good,51.3,77.3907328990228,good,82.5,1.0394435351882159,good,82.1,1.9257610474631752,good,82.1,0.34132780082987546,good,64.8,0.7590405117270789,good,63.0,,insufficient,0.0,0.5070049099836333,good,82.1,0.5368130081300813,good,82.7,177.08456910569106,good,82.7,58.24040518638574,good,82.9,30.755105348460294,good,82.9,69.28701782820097,good,82.9,0.0,good,82.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Motihari,Bihar,Bihar,2022,4,86.79469476744185,good,95.6,170.44669106881406,good,94.9,1.2410693641618495,good,96.1,64.37553956834532,good,96.5,35.21860431654676,good,96.5,6.1684393063583824,good,96.1,1.4282639885222381,good,96.8,33.87592125984252,good,88.2,78.3193567251462,good,95.0,0.7132923076923077,good,90.3,1.4959692307692307,good,90.3,0.3125653594771242,good,85.0,0.8125115562403697,good,90.1,,insufficient,0.0,0.34107692307692306,good,90.3,0.5272481203007519,good,92.4,233.36204511278197,good,92.4,57.54257510729614,good,97.1,29.46266857962697,good,96.8,62.86752503576537,good,97.1,0.006795422031473534,good,97.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
