city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Muzaffarpur,Bihar,Bihar,2015,10,,insufficient,14.2,,insufficient,0.0,,insufficient,20.3,,insufficient,20.3,,insufficient,20.3,,insufficient,20.2,,insufficient,20.0,,insufficient,0.0,,insufficient,20.3,,insufficient,20.3,,insufficient,20.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,20.3,,insufficient,20.3,,insufficient,20.3,,insufficient,20.3,,insufficient,20.3,,insufficient,20.3,,insufficient,19.4,,insufficient,20.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2015,11,221.78520625889047,sparse,32.5,,insufficient,0.0,27.689644886363634,sparse,32.6,12.513181818181819,sparse,32.6,40.157301136363635,sparse,32.6,7.136420454545455,sparse,32.6,1.4471322436849927,sparse,31.2,,insufficient,0.0,23.716946022727278,sparse,32.6,0.28268465909090906,sparse,32.6,0.5768607954545455,sparse,32.6,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.42840909090909096,sparse,32.6,0.4350213068181818,sparse,32.6,81.52370738636364,sparse,32.6,77.86477272727274,sparse,32.6,27.583167613636366,sparse,32.6,172.4234943181818,sparse,32.6,0.0,sparse,29.0,749.7605539772726,sparse,32.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2015,12,263.4654374158816,sparse,33.3,,insufficient,0.0,34.17469717362046,sparse,33.3,17.512489905787348,sparse,33.3,51.49510094212651,sparse,33.3,12.467119784656797,sparse,33.3,2.0050874831763124,sparse,33.3,,insufficient,0.0,21.60312668463612,sparse,33.2,0.29768506056527594,sparse,33.3,0.5553028263795424,sparse,33.3,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.4066487213997308,sparse,33.3,0.47415881561238227,sparse,33.3,60.3471870794078,sparse,33.3,81.88137466307278,sparse,33.2,22.31671601615074,sparse,33.3,153.5878734858681,sparse,33.3,0.0,sparse,30.5,749.8233243606999,sparse,33.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,1,290.1631445603577,sparse,30.1,,insufficient,0.0,7.736542473919522,sparse,30.1,2.6949701492537312,sparse,30.0,10.322935916542475,sparse,30.1,11.439570063694267,sparse,28.1,1.8373170731707316,sparse,29.4,,insufficient,0.0,19.980312965722803,sparse,30.1,0.30858420268256337,sparse,30.1,0.5950223546944859,sparse,30.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.4608643815201192,sparse,30.1,0.5852160953800299,sparse,30.1,55.228286140089416,sparse,30.1,82.20348733233979,sparse,30.1,18.0873174366617,sparse,30.1,153.48973174366614,sparse,30.1,0.0,sparse,28.3,749.7999701937407,sparse,30.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,2,179.13812600969305,sparse,29.6,,insufficient,0.0,4.835425361155698,sparse,29.8,2.4738064516129032,sparse,29.7,7.292407704654896,sparse,29.8,9.764669887278583,sparse,29.7,1.556199021207178,sparse,29.4,,insufficient,0.0,17.206918032786884,sparse,29.2,0.18194221508828248,sparse,29.8,0.30160513643659714,sparse,29.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.19412520064205457,sparse,29.8,0.8046634615384615,sparse,29.9,72.32408653846154,sparse,29.9,72.92083601286173,sparse,29.8,21.19142628205128,sparse,29.9,178.14200320512822,sparse,29.9,0.0,sparse,26.3,749.7644711538462,sparse,29.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,3,,insufficient,23.9,,insufficient,0.0,,insufficient,20.9,,insufficient,23.9,,insufficient,23.9,,insufficient,23.4,,insufficient,23.2,,insufficient,0.0,,insufficient,23.3,,insufficient,23.9,,insufficient,23.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,23.9,,insufficient,23.9,,insufficient,23.9,,insufficient,23.9,,insufficient,23.9,,insufficient,23.9,,insufficient,20.7,,insufficient,23.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,4,,insufficient,24.4,,insufficient,0.0,,insufficient,14.5,,insufficient,24.4,,insufficient,24.4,,insufficient,17.9,,insufficient,24.5,,insufficient,0.0,,insufficient,23.0,,insufficient,24.5,,insufficient,24.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.5,,insufficient,24.5,,insufficient,24.5,,insufficient,24.4,,insufficient,24.5,,insufficient,24.5,,insufficient,20.5,,insufficient,24.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,5,,insufficient,22.4,,insufficient,0.0,,insufficient,21.3,,insufficient,22.7,,insufficient,22.8,,insufficient,21.4,,insufficient,22.6,,insufficient,0.0,,insufficient,15.8,,insufficient,22.8,,insufficient,22.8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,22.8,,insufficient,22.9,,insufficient,21.8,,insufficient,22.7,,insufficient,22.9,,insufficient,22.9,,insufficient,18.3,,insufficient,22.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,6,,insufficient,24.3,,insufficient,0.0,,insufficient,24.5,,insufficient,24.5,,insufficient,24.5,,insufficient,23.6,,insufficient,24.4,,insufficient,0.0,,insufficient,12.8,,insufficient,24.5,,insufficient,24.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.5,,insufficient,24.5,,insufficient,24.5,,insufficient,24.5,,insufficient,24.5,,insufficient,24.5,,insufficient,24.6,,insufficient,24.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
Muzaffarpur,Bihar,Bihar,2016,7,,insufficient,22.9,,insufficient,0.0,,insufficient,23.7,,insufficient,23.8,,insufficient,23.8,,insufficient,22.4,,insufficient,23.7,,insufficient,0.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,insufficient,24.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,3
