city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Nagpur,Maharashtra,Maharashtra,2016,4,47.68077409162717,good,87.9,94.83724522292992,good,87.2,16.533779904306222,good,87.1,74.09707547169812,good,88.3,52.09068362480127,good,87.4,13.756878980891718,good,87.2,0.9482324840764331,good,87.2,84.59253658536585,good,85.4,42.2392356687898,good,87.2,4.563667711598746,good,88.6,21.970488958990536,good,88.1,3.6827172195892572,good,87.9,11.708878357030015,good,87.9,5.005687203791469,good,87.9,0.6049608763693272,good,88.8,215.1740095087163,good,87.6,23.535574803149608,good,88.2,38.1184094488189,good,88.2,309.24940659340655,good,63.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,5,32.41798890429959,good,96.9,73.44038834951456,good,96.9,9.104806094182825,good,97.0,52.28387275242048,good,97.2,34.80257617728532,good,97.0,13.219271708683475,good,96.0,0.7519861111111112,good,96.8,41.91544321329639,good,97.0,64.29564245810056,good,96.2,3.2491922005571032,good,96.5,16.784142259414224,good,96.4,2.7041422594142257,good,96.4,8.660500715307583,good,94.0,3.8975628930817607,good,85.5,0.7353453038674033,good,97.3,206.87657458563538,good,97.3,33.63063623789765,good,97.2,37.14008321775312,good,96.9,415.250284090909,sparse,47.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,6,30.409013157894737,good,84.4,65.36511551155115,good,84.2,4.985711920529801,good,83.9,38.551338842975206,good,84.0,25.262450331125827,good,83.9,9.516872909698996,good,83.1,0.7494314381270902,good,83.1,25.992809364548496,good,83.1,67.76422442244225,good,84.2,2.3481311475409834,good,84.7,14.07872131147541,good,84.7,2.753853989813243,good,81.8,7.642413793103447,good,84.6,3.0929556650246304,good,84.6,0.6804098360655738,good,84.7,199.2036617405583,good,84.6,54.24686274509804,good,85.0,35.10910130718954,good,85.0,341.61006493506494,sparse,42.8,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,7,15.935277777777777,good,53.2,33.078502538071064,good,53.0,18.155257731958766,good,52.2,26.436333333333334,good,52.4,27.12407216494845,good,52.2,2.2853015873015874,sparse,42.3,0.7962790697674419,good,52.0,12.581352112676056,sparse,47.7,28.45284634760705,good,53.4,3.4498162729658794,good,51.2,20.779472295514513,good,50.9,4.475620052770449,good,50.9,11.16976377952756,good,51.2,4.932329842931938,good,51.3,0.6157002457002456,good,54.7,205.55229426433917,good,53.9,86.50403990024937,good,53.9,29.850150753768844,good,53.5,242.45181818181817,sparse,29.6,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,8,18.503287858117325,good,98.5,40.06993234100135,good,99.3,20.86754507628294,good,96.9,32.14560941828255,good,97.0,21.356617100371746,sparse,36.2,3.1559805285118223,good,96.6,0.6276177658142664,good,99.9,8.355427509293682,sparse,36.2,27.003238866396764,good,99.6,2.139177897574124,good,99.7,16.905283018867923,good,99.7,3.099514824797844,good,99.7,8.683167115902965,good,99.7,3.5727897574123992,good,99.7,0.5969199457259158,good,99.1,212.5693894165536,good,99.1,76.14977011494253,good,81.9,29.811609686609685,good,94.4,253.5,sparse,47.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,9,21.232496513249654,good,99.6,39.84766197183098,good,98.6,13.033946188340806,good,92.9,17.40624251497006,good,92.8,,insufficient,0.0,4.893328358208956,good,93.1,0.6080450070323488,good,98.8,,insufficient,0.0,31.491492329149235,good,99.6,2.0926853146853146,good,99.3,10.093496503496503,good,99.3,1.883748251748252,good,99.3,5.9402377622377625,good,99.3,2.591484593837535,good,99.2,0.5456160458452721,good,96.9,203.48741058655224,good,97.1,61.996208869814026,good,97.1,29.5850929899857,good,97.1,301.40774193548384,sparse,43.1,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,10,50.39884615384616,good,80.4,99.8245893719807,good,83.5,7.118526490066225,good,81.2,44.87296357615894,good,81.2,33.82692857142857,good,56.5,10.746164383561643,good,68.7,1.1358756137479542,good,82.1,,insufficient,0.0,49.46810147299509,good,82.1,5.530338164251208,good,83.5,21.148244766505634,good,83.5,4.325596638655462,good,80.0,13.380016103059582,good,83.5,5.787085346215782,good,83.5,0.5057852564102564,good,83.9,208.16902086677365,good,83.7,47.56280448717949,good,83.9,28.402852564102567,good,83.9,349.61628,sparse,33.6,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,11,85.95889818688981,good,99.6,142.03635983263598,good,99.6,13.65077363896848,good,96.9,74.94054519368723,good,96.8,50.60809455587392,good,96.9,14.668536585365853,good,96.8,1.8513881019830027,good,98.1,11.865838383838383,good,68.8,60.991319942611185,good,96.8,10.43963687150838,good,99.4,33.4863687150838,good,99.4,7.488347338935575,good,99.2,22.853916083916086,good,99.3,10.530448179271708,good,99.2,0.49407252440725247,good,99.6,192.2791631799163,good,99.6,40.717377963737796,good,99.6,24.52327754532776,good,99.6,116.56176046176047,good,96.2,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2016,12,97.21319180087848,good,91.8,155.6311566617862,good,91.8,45.41971428571428,good,89.4,80.35321212121212,good,88.7,80.26367469879519,good,89.2,16.907807407407407,good,90.7,2.30597667638484,good,92.2,,insufficient,0.0,50.29148748159057,good,91.3,13.93609329446064,good,92.2,42.98230320699709,good,92.2,9.399344023323614,good,92.2,29.471240875912407,good,92.1,13.175641399416909,good,92.2,0.4949309392265194,good,97.3,186.90591160220995,good,97.3,43.793798342541436,good,97.3,22.604157458563535,good,97.3,87.37831491712707,good,97.3,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
Nagpur,Maharashtra,Maharashtra,2017,1,99.47171896316506,good,98.5,140.63587994542974,good,98.5,30.799836289222373,good,98.5,31.482079343365257,good,98.3,41.325661664392904,good,98.5,17.344765840220386,good,97.6,2.207316076294278,good,98.7,,insufficient,0.0,55.261913407821226,good,96.2,12.275476839237058,good,98.7,40.9833378746594,good,98.7,8.163542234332425,good,98.7,27.213160762942778,good,98.7,11.605940054495914,good,98.7,0.5005449591280654,good,98.7,192.02558583106267,good,98.7,67.30239782016349,good,98.7,23.060068119891014,good,98.7,95.41948228882833,good,98.7,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,8,2016,2023,1
