city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Narnaul,Haryana,Haryana,2019,1,82.5039405204461,good,72.3,153.17869649805448,good,69.1,26.043838951310857,good,71.8,39.39243445692883,good,71.8,39.28911985018726,good,71.8,12.438038461538463,good,69.9,0.0007245604395604395,good,73.4,,insufficient,0.0,9.311538461538461,good,73.4,6.577689463955638,good,72.7,0.5545691906005221,good,51.5,7.052828096118299,good,72.7,10.452408477842004,good,69.8,4.903770794824399,good,72.7,0.9157824427480916,good,70.4,194.1490458015267,good,70.4,64.34423228346456,good,68.3,13.30740518962076,good,67.3,301.8557096774193,sparse,41.7,0.0,good,73.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,2,72.83933933933933,good,99.1,121.91539170506913,good,96.9,28.162800608828004,good,97.8,40.04357686453577,good,97.8,38.01682926829268,good,97.6,7.2688421052631575,good,99.0,0.0005905714285714286,good,99.0,45.46088050314466,good,94.6,21.804290030211483,good,98.5,5.611666666666666,good,56.2,0.6655722891566265,sparse,49.4,5.149124668435014,good,56.1,7.434353562005277,good,56.4,3.701288659793814,good,57.7,1.5456586826347305,good,99.4,185.17570359281436,good,99.4,68.36733009708738,good,92.0,15.479579288025892,good,92.0,257.70945595854926,good,57.4,0.0,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,3,57.90039563437926,good,98.5,110.17351800554016,good,97.0,8.868869209809265,good,98.7,19.84840877914952,good,98.0,25.05437756497948,good,98.3,5.405634588563459,good,96.4,0.00045624489795918364,good,98.8,38.503201634877385,good,98.7,45.825246575342454,good,98.1,5.564019769357496,good,81.6,0.4397364085667216,good,81.6,4.058945634266887,good,81.6,6.529686985172982,good,81.6,3.7260790774299837,good,81.6,2.658882833787466,good,98.7,209.5841689373297,good,98.7,54.18509971509972,good,94.4,20.564757834757835,good,94.4,290.9259897172236,good,52.3,0.003233695652173913,good,98.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,4,72.35262411347519,good,97.9,167.70764109985527,good,96.0,9.128843441466856,good,98.5,19.81949928469242,good,97.1,13.723627311522048,good,97.6,5.431283880171184,good,97.4,0.00044589310829817164,good,98.8,47.39173789173789,good,97.5,23.950963855421683,good,92.2,4.823818466353678,good,88.8,0.45810641627543036,good,88.8,2.661909233176839,good,88.8,5.060745542949757,good,85.7,2.1421752738654147,good,88.8,2.537862165963432,good,98.8,203.08435825105784,good,98.5,30.777592867756315,good,93.5,30.20020802377414,good,93.5,359.0896240601504,good,55.4,0.006334269662921348,good,98.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,5,60.08728658536586,good,88.2,139.38345565749236,good,87.9,13.962030534351147,good,88.0,18.456301369863013,good,88.3,16.434237804878048,good,88.2,6.581973929236499,good,72.2,0.0006671537290715374,good,88.3,21.670350609756095,good,88.2,11.491876046901172,good,80.2,3.7568858131487888,good,77.7,0.6707958477508651,good,77.7,2.4350865051903114,good,77.7,2.0111764705882353,good,77.7,1.6560034602076121,good,77.7,3.2815443425076456,good,87.9,238.92347094801224,good,87.9,26.59552262090484,good,86.2,32.62625585023401,good,86.2,394.91326781326785,good,54.7,0.008455772113943027,good,89.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,6,65.52159651669085,good,95.7,130.6075149700599,good,92.8,9.051244695898163,good,98.2,13.847934936350777,good,98.2,13.475233380480905,good,98.2,,insufficient,0.0,0.0004042998585572843,good,98.2,27.342421991084695,good,93.5,8.485957446808511,good,97.9,3.5016091954022985,good,96.7,1.8832348111658455,good,84.6,1.9085632183908048,good,96.7,3.7057040229885057,good,96.7,1.677772988505747,good,96.7,3.141756373937677,good,98.1,214.71218130311618,good,98.1,37.93184971098266,good,96.1,34.2203323699422,good,96.1,404.0410947368421,good,66.0,0.009717514124293787,good,98.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,7,37.95109266943292,good,97.2,82.01235483870968,good,83.3,12.58,good,97.7,8.940811554332875,good,97.7,15.587070151306738,good,97.7,,insufficient,0.0,0.0002620055325034578,good,97.2,14.21199362041467,good,84.3,4.1150826446280995,good,97.6,2.0559071729957807,good,95.6,1.9643484419263455,good,94.9,2.0050773558368498,good,95.6,6.387398030942334,good,95.6,1.6235724331926866,good,95.6,3.3443681318681318,good,97.8,186.24467032967033,good,97.8,69.09663407821229,good,96.2,29.914175977653635,good,96.2,309.55758130081307,good,66.1,0.0299041095890411,good,98.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,8,,insufficient,19.9,39.3416814159292,good,91.1,28.519510791366905,good,93.4,17.530045045045046,good,89.5,32.87070072992701,good,92.1,6.10990675990676,good,57.7,0.00034722527472527475,good,97.8,17.866210045662097,good,88.3,6.992249657064472,good,98.0,2.074135446685879,good,93.3,1.8247049924357037,good,88.8,1.5604466858789625,good,93.3,3.433587896253602,good,93.3,1.2615850144092218,good,93.3,2.7506858710562416,good,98.0,169.15964334705077,good,98.0,78.08943262411348,good,94.8,28.73324822695036,good,94.8,305.0434000000001,good,60.5,0.002,good,98.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,9,,insufficient,13.8,47.12777452415813,good,94.9,16.072329545454547,good,97.8,12.326107954545451,good,97.8,19.542883522727273,good,97.8,4.605378031383737,good,97.4,0.0003458345021037868,good,99.0,31.01096590909091,good,97.8,12.360771388499298,good,99.0,2.2138198757763976,good,89.4,1.109887459807074,good,86.4,1.3616770186335405,good,89.4,3.4135714285714287,good,89.4,1.4123447204968944,good,89.4,2.886774193548387,good,99.0,142.29451612903227,good,99.0,72.5822967189729,good,97.4,28.874293865905845,good,97.4,275.23071246819336,good,54.6,0.0019747899159663863,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Narnaul,Haryana,Haryana,2019,10,82.88408391608392,good,96.1,146.4216106442577,good,96.0,24.37922330097087,good,96.9,24.85580332409972,good,97.0,32.378116343490305,good,97.0,3.978199445983379,good,97.0,0.0005807479224376732,good,97.0,40.95026352288488,good,96.9,10.130563961485556,good,97.7,4.3343793584379355,good,96.4,1.4589406779661014,good,95.2,1.1289275766016713,good,96.5,3.6836350974930365,good,96.5,3.2122701949860724,good,96.5,3.4674552957359013,good,97.7,200.8875790921596,good,97.7,49.879545454545465,good,91.7,25.873284457478007,good,91.7,228.14127717391307,sparse,49.5,0.0007005494505494506,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
