city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Pali,Rajasthan,Rajasthan,2017,10,69.13846820809249,sparse,46.5,170.28554913294798,sparse,46.5,9.49671469740634,sparse,46.6,28.68913793103448,sparse,46.8,,insufficient,0.1,8.980381231671554,sparse,45.8,0.594277456647399,sparse,46.5,27.922500000000003,sparse,46.8,49.944797687861275,sparse,46.5,1.2602023121387285,sparse,46.5,2.625739130434783,sparse,46.4,0.9645744680851064,sparse,25.3,,insufficient,12.0,3.6977521613832858,sparse,46.6,1.0177011494252874,sparse,46.8,187.2935734870317,sparse,46.6,38.77238505747127,sparse,46.8,29.625404624277454,sparse,46.5,138.1329768786127,sparse,46.5,0.0008620689655172414,sparse,46.8,757.1697406340058,sparse,46.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2017,11,98.30575601374571,good,80.8,162.5616295025729,good,81.0,5.1452397260273965,good,81.1,25.478595890410954,good,81.1,27.07639534883721,sparse,35.8,10.481993127147767,good,80.8,0.6435690235690236,good,82.5,25.10458762886598,good,80.8,64.54198630136987,good,81.1,1.3624242424242423,good,82.5,17.231643454039,sparse,49.9,0.6985526315789475,good,52.8,,insufficient,21.5,2.667101200686106,good,81.0,1.030582191780822,good,81.1,159.23224315068495,good,81.1,46.089383561643835,good,81.1,24.282568493150684,good,81.1,111.71291245791247,good,82.5,0.0,good,82.5,758.2040651801028,good,81.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2017,12,76.91996296296296,sparse,36.3,145.6693382352941,sparse,36.6,7.325746268656717,sparse,36.0,28.895335820895518,sparse,36.0,35.956022304832715,sparse,36.2,13.021654135338347,sparse,35.8,0.6894852941176471,sparse,36.6,17.94367816091954,sparse,35.1,47.05792592592592,sparse,36.3,1.4088104089219329,sparse,36.2,,insufficient,0.0,,insufficient,17.2,,insufficient,6.5,2.4293103448275866,sparse,42.9,1.0123333333333333,sparse,36.3,126.99555555555557,sparse,36.3,42.62507352941176,sparse,36.6,20.679408099688473,sparse,43.1,138.1214705882353,sparse,36.6,0.0,sparse,42.9,755.8341544117648,sparse,36.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,1,100.01744318181818,good,94.6,150.46717514124296,good,95.2,10.113985815602838,good,94.8,28.07286524822695,good,94.8,37.91645980253879,good,95.3,15.833881673881676,good,93.1,0.9154765291607396,good,94.5,24.521810466760964,good,95.0,43.77787234042553,good,94.8,1.5787685459940655,good,90.6,,insufficient,0.0,0.8248011363636363,sparse,47.3,,insufficient,17.9,3.119521674140508,good,89.9,0.9851966292134832,good,95.7,153.9043117977528,good,95.7,43.48228291316527,good,96.0,19.979313725490197,good,96.0,137.32739130434783,good,95.8,0.028926080892608088,good,96.4,756.7410364145658,good,96.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,2,87.0185102739726,good,86.9,161.64008488964348,good,87.6,7.958372483221476,good,88.7,16.72461799660441,good,87.6,24.482285714285712,good,88.5,19.323178694158077,good,86.6,0.7932828282828284,good,88.4,19.129123102866778,good,88.2,44.060550918196995,good,89.1,1.2645068027210884,good,87.5,,insufficient,0.0,0.7402475247524752,sparse,30.1,,insufficient,13.8,2.804572953736655,good,83.6,1.1102504173622705,good,89.1,155.5371,good,89.3,37.96828333333333,good,89.3,23.562133333333332,good,89.3,155.6325,good,88.7,0.0,good,89.1,756.3957095158598,good,89.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,3,82.89704802259887,good,95.2,152.07717086834734,good,96.0,4.35344055944056,good,96.1,11.56829577464789,good,95.4,15.811536312849164,good,96.2,20.114893314367,good,94.5,0.6463687150837989,good,96.2,26.066125874125877,good,96.1,45.94406380027739,good,96.9,0.8889915966386555,good,96.0,,insufficient,0.0,0.5760299625468165,sparse,35.9,,insufficient,15.1,2.8742285714285716,good,94.1,1.2567638888888888,good,96.8,196.24677777777777,good,96.8,26.88786998616874,good,97.2,29.634923928077455,good,97.2,183.22955739972338,good,97.2,0.0,good,97.2,756.7252143845091,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,4,105.78551480959096,good,98.5,193.82650280898878,good,98.9,3.6781818181818178,good,99.3,8.842727272727274,good,99.3,12.50209497206704,good,99.4,16.19617771509168,good,98.5,0.427538247566064,good,99.9,36.89276536312849,good,99.4,44.68582984658298,good,99.6,0.5393566433566434,good,99.3,,insufficient,0.0,0.2475661375661376,sparse,26.2,,insufficient,7.4,1.9194142857142855,good,97.2,1.5187777777777778,good,100.0,207.28405555555554,good,100.0,23.339111111111112,good,100.0,34.43695833333334,good,100.0,209.67002777777776,good,100.0,0.0,good,100.0,756.0404583333334,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,5,121.90332432432432,good,99.5,226.08499999999998,good,99.5,49.29864130434782,good,98.9,14.555190217391303,good,98.9,63.805040760869566,good,98.9,17.504132791327915,good,99.2,0.4756216216216217,good,99.5,23.270993103448276,good,97.4,41.74136302294197,good,99.6,0.47200819672131145,good,98.4,,insufficient,0.0,0.1611320754716981,sparse,28.5,,insufficient,8.5,2.5029271708683476,good,96.0,1.7269086021505375,good,100.0,224.58563172043014,good,100.0,26.63684139784946,good,100.0,37.75358870967742,good,100.0,245.03938088829074,good,99.9,0.0,good,100.0,756.2979301075268,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,6,84.94608695652174,good,99.0,148.92260869565217,good,99.0,38.457405329593264,good,99.0,16.643352033660587,good,99.0,55.05410939691445,good,99.0,11.298473389355744,good,99.2,0.3999581589958159,good,99.6,19.820294530154275,good,99.0,35.03562674094708,good,99.7,0.31131170662905505,good,98.5,,insufficient,0.0,0.09634218289085544,sparse,47.1,,insufficient,6.8,2.087940761636107,good,98.5,2.104052924791086,good,99.7,220.43091922005576,good,99.7,49.79576011157601,good,99.6,35.60403899721448,good,99.7,252.8902228412256,good,99.7,0.016643454038997214,good,99.7,754.6976880222841,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,7,48.98060728744939,good,99.6,110.69518867924529,good,99.7,17.53260458839406,good,99.6,26.78939271255061,good,99.6,44.3180701754386,good,99.6,5.779728629579376,good,99.1,0.2850953678474114,good,98.7,27.813292517006808,good,98.8,38.468763440860215,good,100.0,0.4052909336941813,good,99.3,,insufficient,0.0,0.10862773722627737,good,92.1,,insufficient,3.2,1.6316388888888889,good,96.8,1.7448252688172043,good,100.0,209.63231182795698,good,100.0,70.35016129032259,good,100.0,31.682903225806452,good,100.0,233.56231182795696,good,100.0,0.057661290322580654,good,100.0,755.3791129032259,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,8,54.05023448275862,good,97.4,118.39879566982408,good,99.3,14.758062330623305,good,99.2,12.525514905149052,good,99.2,26.281585365853655,good,99.2,3.5720987654320986,good,98.0,0.2623770491803279,good,98.4,26.317344173441736,good,99.2,34.58556005398111,good,99.6,0.45238030095759235,good,98.3,,insufficient,0.0,0.6539950372208437,good,54.2,,insufficient,12.1,1.120055632823366,good,96.6,1.7155795148247979,good,99.7,216.0214016172507,good,99.7,73.95006830601092,good,98.4,30.611064690026954,good,99.7,199.25766846361185,good,99.7,0.021698113207547172,good,99.7,755.0955390835579,good,99.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,9,42.72727653631285,good,99.4,87.9249720670391,good,99.4,8.49186013986014,good,99.3,22.738825174825173,good,99.3,30.91144055944056,good,99.3,3.338114525139665,good,99.4,0.45044630404463043,good,99.6,22.177034965034967,good,99.3,31.544138888888888,good,100.0,0.37611190817790535,good,96.8,,insufficient,0.0,0.20785714285714288,sparse,31.1,,insufficient,7.1,1.8720704845814977,good,94.6,1.5371004243281472,good,98.2,199.97787835926448,good,98.2,65.398410041841,good,99.6,29.977736111111113,good,100.0,245.54064156206417,good,99.6,0.009305555555555556,good,100.0,756.1040555555556,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,10,64.30073669849932,good,98.5,141.88959016393443,good,98.4,6.29987721691678,good,98.5,26.69824250681199,good,98.7,32.85072207084469,good,98.7,6.408253094910591,good,97.7,0.6540915395284328,good,96.9,22.11726158038147,good,98.7,45.802890094979645,good,99.1,0.7074351978171896,good,98.5,,insufficient,0.0,,insufficient,23.0,,insufficient,11.7,2.367733142037303,good,93.7,1.2499595141700406,good,99.6,177.92828609986503,good,99.6,34.47176788124156,good,99.6,30.68551956815115,good,99.6,229.06449392712548,good,99.6,0.0,good,99.6,757.2600134952767,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,11,88.75156643356644,good,99.3,157.90412011173186,good,99.4,38.264002808988764,good,98.9,48.79369382022472,good,98.9,86.6807713884993,good,99.0,9.710782122905028,good,99.4,0.9380726256983242,good,99.4,44.92810393258428,good,98.9,41.568593314763234,good,99.7,0.9343600562587905,good,98.8,,insufficient,0.0,,insufficient,22.8,,insufficient,14.2,3.1903285714285716,good,97.2,1.1221140472878999,good,99.9,139.11682892906816,good,99.9,34.02801112656467,good,99.9,25.609179415855355,good,99.9,182.62084840055635,good,99.9,0.0008333333333333333,good,100.0,759.0618776077886,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2018,12,70.09197297297297,good,99.5,136.44536784741143,good,98.7,16.849319727891157,good,98.8,33.64248979591837,good,98.8,49.30396739130435,good,98.9,8.765216216216217,good,99.5,0.9423956931359353,good,99.9,32.77624489795919,good,98.8,43.61313858695652,good,98.9,0.9581496598639456,good,98.8,,insufficient,0.0,0.25227979274611395,sparse,25.9,,insufficient,15.1,3.0549379310344826,good,97.4,1.1333109017496634,good,99.9,139.8520861372813,good,99.9,38.962907133243604,good,99.9,19.688317631224763,good,99.9,158.28811574697173,good,99.9,0.0,good,100.0,760.1606460296097,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2019,1,71.02669811320754,good,99.7,146.10777027027027,good,99.5,28.150998650472335,good,99.6,34.88219676549865,good,99.7,61.692129380053906,good,99.7,9.373239247311828,good,100.0,0.8795430107526884,good,100.0,36.2034008097166,good,99.6,42.32870619946091,good,99.7,0.9758728010825439,good,99.3,,insufficient,0.0,0.20607438016528928,sparse,32.5,,insufficient,13.2,1.9647123287671233,good,98.1,1.186491935483871,good,100.0,146.49825268817204,good,100.0,41.03680107526881,good,100.0,19.041814516129033,good,100.0,177.3860752688172,good,100.0,0.0004032258064516129,good,100.0,760.3444623655914,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Pali,Rajasthan,Rajasthan,2019,2,57.59675187969924,good,99.0,110.33744360902257,good,99.0,10.184468085106381,good,97.9,35.058538812785386,good,97.8,45.00743550834598,good,98.1,10.332805970149254,good,99.7,0.6139046199701937,good,99.9,22.425966514459663,good,97.8,45.88946348733234,good,99.9,0.6453373313343328,good,99.3,,insufficient,0.0,,insufficient,18.5,,insufficient,7.6,1.2741052631578946,good,99.0,1.4818749999999998,good,100.0,165.7548214285714,good,100.0,37.740312499999995,good,100.0,21.523482142857144,good,100.0,218.91526785714285,good,100.0,0.0012202380952380954,good,100.0,759.3588839285715,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
