city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Palwal,Haryana,Haryana,2019,2,80.46144776119402,good,99.7,135.3137724550898,good,99.4,94.8184776119403,good,99.7,11.591646153846153,good,96.7,85.77885074626866,good,99.7,4.197865671641791,good,99.7,1.2520298507462686,good,99.7,175.760223880597,good,99.7,19.571194029850748,good,99.7,5.856957186544342,good,97.3,2.517957317073171,good,97.6,17.708837920489298,good,97.3,14.339207317073171,good,97.6,7.849678899082569,good,97.3,1.7919253731343285,good,99.7,198.2159104477612,good,99.7,75.17371641791044,good,99.7,15.465955223880595,good,99.7,320.89211538461535,sparse,31.0,0.0,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,3,67.6570794078062,good,99.9,139.54558704453441,good,99.6,52.85850806451612,good,100.0,23.560870748299315,good,98.8,47.285107526881724,good,100.0,8.590013440860215,good,100.0,1.5111962365591396,good,100.0,175.04584677419354,good,100.0,28.374193548387098,good,100.0,5.878492597577388,good,99.9,0.921144827586207,good,97.4,18.7884811827957,good,100.0,15.643991935483871,good,100.0,8.459395161290322,good,100.0,1.751182795698925,good,100.0,224.03389784946233,good,100.0,57.11779569892473,good,100.0,20.767150537634407,good,100.0,347.4373182957393,good,53.6,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,4,118.45902616279069,good,95.6,229.10110619469026,good,94.2,18.63730659025788,good,96.9,23.412985714285714,good,97.2,37.99091428571428,good,97.2,11.082214285714286,good,97.2,0.8913142857142858,good,97.2,48.35091569767442,good,95.6,29.435142857142854,good,97.2,5.147161961367013,good,93.5,0.998538812785388,good,91.2,12.829955423476967,good,93.5,10.3511441307578,good,93.5,5.55041604754829,good,93.5,1.7080571428571427,good,97.2,201.06717142857144,good,97.2,38.46618025751073,good,97.1,29.709628040057222,good,97.1,373.7779326923077,good,57.8,0.0,good,97.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,5,116.61438108484006,good,96.6,189.27513966480447,good,96.2,11.739167822468792,good,96.9,18.899473684210527,good,97.0,29.561745152354572,good,97.0,8.969085872576178,good,97.0,0.9894060773480662,good,97.3,69.68403068340307,good,96.4,37.32141470180305,good,96.9,3.616574202496533,good,96.9,0.45359486447931524,good,94.2,7.272402777777777,good,96.8,6.906440443213296,good,97.0,3.428013888888889,good,96.8,2.128587257617729,good,97.0,238.57034530386738,good,97.3,29.499333333333333,good,96.8,32.60868055555556,good,96.8,412.36256235827665,good,59.3,0.0,good,97.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,6,89.59454672245467,good,99.6,202.15931468531474,good,99.3,10.021805555555556,good,100.0,16.02202777777778,good,100.0,24.748624999999997,good,100.0,5.442500000000001,good,100.0,1.1266805555555555,good,100.0,83.98428969359331,good,99.7,28.715625,good,100.0,3.9503138373751785,good,97.4,0.44077611940298517,good,93.1,8.532524964336664,good,97.4,7.545107604017217,good,96.8,3.7737375178316697,good,97.4,2.0660833333333333,good,100.0,174.81834722222223,good,100.0,43.58080555555556,good,100.0,33.82476388888889,good,100.0,386.67503480278424,good,59.9,0.0,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,7,52.45340086830681,good,92.9,99.52512372634645,good,92.3,10.029698708751795,good,93.7,12.639742489270386,good,94.0,21.03217453505007,good,94.0,2.067884892086331,good,93.4,1.2242918454935623,good,94.0,86.76877697841726,good,93.4,25.76392386530015,good,91.8,2.5247707736389686,good,93.8,0.31078832116788324,good,92.1,8.868665710186514,good,93.7,7.872679083094555,good,93.8,3.865587392550143,good,93.8,1.8667954220314733,good,94.0,157.8738340486409,good,94.0,68.4406772334294,good,93.3,30.9771469740634,good,93.3,293.7849103139013,good,59.9,0.0,good,94.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,8,33.85001422475107,good,94.5,71.0596690647482,good,93.4,10.569029957203995,good,94.2,11.640654338549075,good,94.5,20.46706552706553,good,94.4,2.5336,good,94.1,0.9716500711237555,good,94.5,92.3021776504298,good,93.8,16.032924393723253,good,94.2,2.2093562231759654,good,94.0,0.2837101449275362,good,92.7,7.423934191702432,good,94.0,7.221430615164522,good,94.0,3.3427753934191706,good,94.0,1.824358974358974,good,94.4,149.4231623931624,good,94.4,80.63479256080115,good,94.0,29.217859195402294,good,93.5,308.1211910669975,good,54.2,0.0,good,94.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,9,33.22321856287425,good,92.8,74.84731343283582,good,93.1,11.680571428571428,good,92.4,9.793273542600895,good,92.9,21.15866965620329,good,92.9,1.5181598793363498,good,92.1,0.8078805970149253,good,93.1,161.13322869955158,good,92.9,11.54783536585366,good,91.1,2.364056886227545,good,92.8,0.3455187969924812,good,92.4,5.156032934131736,good,92.8,5.086392215568862,good,92.8,2.3248502994011977,good,92.8,1.685283582089552,good,93.1,105.9817313432836,good,93.1,80.8862951807229,good,92.2,28.48,good,92.2,316.4208174386921,good,51.0,0.0,good,93.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,10,94.95768777614138,good,91.3,183.5213569321534,good,91.1,27.24340175953079,good,91.7,21.075014619883042,good,91.9,49.27375730994152,good,91.9,2.331970802919708,good,92.1,1.1502186588921282,good,92.2,143.6079970760234,good,91.9,19.233586005830904,good,92.2,6.625125184094256,good,91.3,0.8691899852724594,good,91.3,4.524521354933726,good,91.3,6.935979381443299,good,91.3,3.083078055964654,good,91.3,1.3164577259475219,good,92.2,194.39306122448983,good,92.2,60.63497810218978,good,92.1,25.663839416058394,good,92.1,304.0387811634349,sparse,48.5,0.0,good,92.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Palwal,Haryana,Haryana,2019,11,163.91488549618322,good,91.0,253.94920367534453,good,90.7,56.46441754916793,good,91.8,33.7918154311649,good,91.8,91.25331316187595,good,91.8,2.5171100917431195,good,90.8,1.4449167927382753,good,91.8,220.10169724770643,good,90.8,14.366995447647952,good,91.5,8.51531202435312,good,91.2,6.800882800608829,good,91.2,7.1876712328767125,good,91.2,9.342374429223746,good,91.2,4.386312594840668,good,91.5,1.4650909090909092,good,91.7,219.84046898638425,good,91.8,62.09747352496217,good,91.8,21.005,good,91.7,208.27014925373135,sparse,46.5,0.0,good,92.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
