city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Panchkula,Haryana,Haryana,2015,12,58.407354838709686,sparse,41.7,,insufficient,12.2,1.7922429906542057,good,57.5,23.113714953271028,good,57.5,24.455280373831776,good,57.5,13.650877742946712,sparse,42.9,0.7315654205607477,good,57.5,14.18126168224299,good,57.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7000339366515836,good,59.4,181.71049773755658,good,59.4,51.703125,good,58.1,17.870927601809953,good,59.4,58.305022624434386,good,59.4,722.8604977375564,good,59.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,1,71.22387931034484,good,62.4,,insufficient,0.0,3.1487835420393555,good,75.1,21.84114490161002,good,75.1,24.542915921288014,good,75.1,6.462007434944239,good,72.3,0.7488129496402878,good,74.7,19.351842576028623,good,75.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.695840787119857,good,75.1,201.97731663685153,good,75.1,59.51213261648746,good,75.0,16.468602150537635,good,75.0,63.06999999999999,good,75.0,724.0564336917564,good,75.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,2,48.80263157894737,good,73.7,,insufficient,0.0,3.828370786516854,good,76.7,22.16685393258427,good,76.7,25.904438202247192,good,76.7,7.467714884696017,good,68.5,0.7906593406593406,good,78.4,33.46001821493625,good,78.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7203085299455535,good,79.2,184.14274047186933,good,79.2,47.63887640449438,good,76.7,20.081666666666667,good,78.4,86.88320512820512,good,78.4,720.5788644688646,good,78.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,3,34.24496957403651,good,66.3,,insufficient,0.0,2.726471774193548,good,66.7,24.725665322580642,good,66.7,26.360020161290322,good,66.7,5.9990845070422525,good,57.3,0.7135353535353535,good,66.5,27.796189516129036,good,66.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.2718951612903226,good,66.7,185.19381048387098,good,66.7,55.153232323232324,good,66.5,24.63472727272727,good,66.5,148.98292929292927,good,66.5,725.7966262626263,good,66.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,4,41.81277533039648,good,63.1,,insufficient,0.0,3.427792494481236,good,62.9,22.46584988962472,good,62.9,26.40061946902655,good,62.8,8.374601366742596,good,61.0,0.8684,good,62.5,47.02604395604395,good,63.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8645054945054944,good,63.2,188.54835164835166,good,63.2,31.94570484581498,good,63.1,30.704911894273124,good,63.1,174.106563876652,good,63.1,724.3979241071429,good,62.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,5,51.08356984478936,good,60.6,,insufficient,0.0,3.523018018018018,good,59.7,24.236839729119637,good,59.5,27.579616252821673,good,59.5,11.713092550790067,good,59.5,0.8308278867102395,good,61.7,45.171560439560444,good,61.2,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.8386739130434782,good,61.8,193.01625272331154,good,61.7,36.31784615384616,good,61.2,32.94527472527472,good,61.2,222.13290748898677,good,61.0,726.9713626373626,good,61.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,6,43.38931818181818,sparse,36.7,,insufficient,0.0,4.076117216117216,sparse,37.9,16.083223443223446,sparse,37.9,18.968168498168495,sparse,37.9,3.5920522388059704,sparse,37.2,1.0394814814814815,sparse,37.5,37.71930656934307,sparse,38.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,1.0454562043795619,sparse,38.1,181.60503649635035,sparse,38.1,57.68182481751825,sparse,38.1,32.98335766423357,sparse,38.1,211.06536496350367,sparse,38.1,729.1453649635037,sparse,38.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,7,40.050314769975785,good,55.5,,insufficient,0.0,4.43603406326034,good,55.2,19.3552427184466,good,55.4,23.756262135922334,good,55.4,2.8580697050938335,good,50.1,0.8157281553398059,good,55.4,26.275690072639225,good,55.5,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.7765169902912622,good,55.4,175.9695641646489,good,55.5,73.40661016949153,good,55.5,30.38811138014528,good,55.5,168.70216019417478,good,55.4,729.4013075060533,good,55.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,8,33.64273936170212,good,50.5,,insufficient,0.0,5.114465240641711,good,50.3,19.93561170212766,good,50.5,23.25822281167109,good,50.7,6.6499999999999995,sparse,44.1,0.92072,good,50.4,18.199522546419097,good,50.7,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.5030371352785146,good,50.7,161.60867374005306,good,50.7,73.50026666666666,good,50.4,29.96058510638298,good,50.5,171.71837765957446,good,50.5,729.3709333333333,good,50.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
Panchkula,Haryana,Haryana,2016,9,57.20885057471264,good,72.5,,insufficient,0.0,3.1313851992409867,good,73.2,21.48735238095238,good,72.9,24.514667931688805,good,73.2,4.6847925311203324,good,66.9,1.062476007677543,good,72.4,27.683022813688215,good,73.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,0.6843927893738141,good,73.2,176.10100569259964,good,73.2,66.07973333333334,good,72.9,29.68577142857143,good,72.9,166.9084440227704,good,73.2,726.1935047619048,good,72.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_1,9,2015,2023,1
