city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Purnia,Bihar,Bihar,2021,11,182.28021978021977,sparse,25.3,275.54431578947367,sparse,26.4,11.659447513812152,sparse,25.1,34.59,sparse,25.1,28.05094444444445,sparse,25.0,,insufficient,24.4,1.4921243523316061,sparse,26.8,,insufficient,23.8,19.890463917525768,sparse,26.9,1.3785492227979272,sparse,26.8,12.921450777202075,sparse,26.8,1.082279792746114,sparse,26.8,3.0329319371727754,sparse,26.5,,insufficient,0.0,1.6780829015544039,sparse,26.8,0.18319587628865985,sparse,26.9,184.15478947368422,sparse,26.4,80.44118556701031,sparse,26.9,24.159230769230767,sparse,27.1,44.526923076923076,sparse,27.1,0.01523076923076923,sparse,27.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2021,12,159.8709794628752,good,85.1,248.3849289099526,good,85.1,11.14297253634895,good,83.2,35.10737520128824,good,83.5,27.758115015974443,good,84.1,4.500847457627119,good,87.2,1.5261809815950922,good,87.6,49.22273148148148,good,87.1,30.402632398753898,good,86.3,1.4106174957118356,good,78.4,11.820085763293312,good,78.4,1.2315437392795883,good,78.4,3.497924528301887,good,78.4,,insufficient,0.0,1.7672898799313892,good,78.4,0.21260124610591902,good,86.3,224.85137715179965,good,85.9,72.22782874617737,good,87.9,23.7712996941896,good,87.9,42.60894495412844,good,87.9,0.0,good,87.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,1,154.4488416988417,good,69.6,229.72877394636018,good,70.2,11.308121739130433,good,77.3,50.45365573770492,good,82.0,35.02668292682927,good,82.7,2.5715551839464883,good,80.4,1.5781626016260162,good,82.7,60.97939189189189,good,79.6,10.241572649572651,good,78.6,0.929297385620915,good,82.3,20.94312091503268,good,82.3,1.3448360655737703,good,82.0,3.444542483660131,good,82.3,,insufficient,0.0,2.129950980392157,good,82.3,0.2602415458937198,good,83.5,237.09571658615138,good,83.5,78.1827536231884,good,83.5,16.747262479871175,good,83.5,39.62436392914654,good,83.5,0.0,good,83.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,2,109.41626623376624,good,91.7,208.03832258064514,good,92.3,8.32996913580247,good,96.4,65.34880184331796,good,96.9,41.19865443425076,good,97.3,5.021240310077519,good,96.0,1.1702752293577983,good,97.3,63.69391371340524,good,96.6,19.957251908396948,good,97.5,0.6635555555555556,good,80.4,17.3435,good,80.4,1.0983148148148147,good,80.4,2.7897222222222227,good,80.4,,insufficient,0.0,1.7533518518518523,good,80.4,0.2703745928338762,good,91.4,210.7979315960912,good,91.4,67.36734351145039,good,97.5,17.359756468797567,good,97.8,63.19179604261795,good,97.8,0.0,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,3,100.73934426229509,good,90.2,159.7134328358209,good,90.1,8.633384401114206,good,96.5,70.26844444444446,good,96.8,44.30639389736477,good,96.9,6.687666666666667,good,96.8,0.9979056865464633,good,96.9,47.29695833333334,good,96.8,27.905644937586686,good,96.9,0.5422884882108183,good,96.9,16.828599167822468,good,96.9,1.4483055555555557,good,96.8,3.047198335644938,good,96.9,,insufficient,0.0,2.2971844660194174,good,96.9,0.30091539528432737,good,96.9,198.3473231622746,good,96.9,58.83487359550562,good,95.7,31.60215577190542,good,96.6,68.88314840499307,good,96.9,0.0,good,96.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,4,34.937083333333334,good,56.7,76.53728489483747,good,72.6,14.589338709677419,good,86.1,65.49479032258066,good,86.1,46.271584,good,86.8,5.37621359223301,good,85.8,0.6357945425361156,good,86.5,36.90760904684976,good,86.0,12.30634028892456,good,86.5,0.32665523156089193,good,81.0,11.838782161234992,good,81.0,1.4326116838487972,good,80.8,3.2957289879931393,good,81.0,,insufficient,0.0,2.3675128644939964,good,81.0,0.32384991843393146,good,85.1,106.15823817292006,good,85.1,71.91871900826447,good,67.2,32.1012077294686,good,86.2,78.33346709470305,good,86.5,0.0,good,86.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,5,61.997589743589735,good,78.6,137.39636042402827,good,76.1,12.724485294117647,good,91.4,50.44311499272198,good,92.3,35.789956647398846,good,93.0,5.597272727272728,good,91.7,0.7267489114658926,good,92.6,14.750555555555554,good,91.9,10.28975165562914,good,81.2,0.265030549898167,good,66.0,8.664175152749491,good,66.0,1.366482617586912,good,65.7,2.9645473251028807,good,65.3,,insufficient,0.0,2.055519348268839,good,66.0,0.7022257551669316,good,84.5,115.90247191011237,good,83.7,70.86456628477904,good,82.1,31.87985549132948,good,93.0,82.79212427745664,good,93.0,0.043497109826589594,good,93.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,6,70.20286912751678,good,82.8,140.74917073170732,good,85.4,8.615438871473353,good,88.6,29.899546875,good,88.9,22.63412403100775,good,89.6,4.964319248826291,good,88.8,0.8779166666666666,good,80.0,7.856912225705329,good,88.6,7.505681818181818,good,79.4,0.2102254428341385,good,86.2,7.908373590982287,good,86.2,1.2946859903381642,good,86.2,2.3052504038772215,good,86.0,,insufficient,0.0,1.8613204508856684,good,86.2,0.7967924528301886,good,88.3,99.8040787401575,good,88.2,79.4973051948052,good,85.6,32.295286821705425,good,89.6,63.214,good,89.6,0.21303875968992253,good,89.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,7,41.05450564971751,good,95.2,90.95543385490754,good,94.5,5.600922865013773,good,97.6,22.778739726027403,good,98.1,16.651865569272974,good,98.0,4.781141678129299,good,97.7,0.298577291381669,good,98.3,6.344271978021977,good,97.8,7.461685082872927,good,97.3,0.16455056179775282,good,95.7,5.547022471910112,good,95.7,0.6784285714285714,good,94.1,1.5371067415730337,good,95.7,,insufficient,0.0,0.9499859550561798,good,95.7,0.8397668038408779,good,98.0,106.28770919067215,good,98.0,48.2525170998632,good,98.3,29.020232558139536,good,98.3,77.655731874145,good,98.3,0.0661969904240766,good,98.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
Purnia,Bihar,Bihar,2022,8,63.60593080724877,good,81.6,125.08303571428573,good,82.8,6.461023054755044,good,93.3,22.52228120516499,good,93.7,16.924729344729343,good,94.4,4.6805499276411,good,92.9,1.1048502139800285,good,94.2,9.222374100719424,good,93.4,14.292060518731986,good,93.3,0.5900157728706624,good,85.2,4.323264984227129,good,85.2,0.5573617693522906,good,85.1,1.385126984126984,good,84.7,,insufficient,0.0,0.6966876971608833,good,85.2,0.8645661450924609,good,94.5,128.32631578947368,good,94.5,39.35726884779516,good,94.5,21.82204836415363,good,94.5,59.96920341394026,good,94.5,0.06914651493598861,good,94.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_3,3,2021,2023,1
